sample,analysis_type_uid,PC1,PC2,PC3
C1d,9,-0.07731569548519845,0.0,0.0
C1d-C42.2-C1,6,-0.07167162798824578,-0.0,0.0
C17d/C31-C21,7,0.14898732347344426,0.0,0.0
proportion_explained,0.0,1.0,0.0,0.0
