sample,analysis_type_uid,PC1,PC2,PC3
C1d,9,0.07889675873016261,-0.0,0.0
C1d-C42.2-C1,6,0.060939400489916556,0.0,0.0
C17d/C31-C21,7,-0.13983615922007925,-0.0,0.0
proportion_explained,0.0,1.0,0.0,0.0
