sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
C1d-C42.2-C1,10,-0.0988316389474189,-0.004795370877075775,-0.00020484828215455597,6.824549473949546e-05,-0.0012643953592043665,-6.978973046192374e-05,-0.0,0.0,0.0
C1d-5523-C42.2-C1-5524,11,-0.10015355707801611,-0.007065867439564867,0.00039507389102189664,-6.999167317868429e-05,0.004218613830427454,-9.095059535846523e-05,-0.0,0.0,0.0
C1d/C42.2-C1-C3cg,12,-0.09503118799751964,-0.005388913987168403,-8.951247085353592e-05,-0.00012367596216282046,0.0005171434693460192,0.0001926298134293054,-0.0,0.0,0.0
C1d-5527-C42.2-C1,13,-0.10115192629977732,-0.0059486321537299,9.47188509968404e-05,0.0001223898788628467,-0.003634433297574604,-1.014098238735083e-05,-0.0,0.0,0.0
C1d-3290-1444,17,-0.08206052114661652,0.024420477047734916,-0.0038009570917591335,0.00010476202741070097,0.00020746748168934452,-1.1374488134437229e-05,-0.0,0.0,0.0
3290-C17d-C31.1-C31-C21-C31a-1373,14,0.14564137625639867,-0.003770449445450178,-0.016858708676990197,-0.0021275288607542926,1.0413795510951654e-06,0.0003849689497512875,-0.0,0.0,0.0
C17d/3290_C-C21-C21ac-C17e-C17f,15,0.09983005954284463,0.002345668795485605,0.012956337562331548,-0.004793470164212725,-6.357605456931714e-05,0.000815225403785432,-0.0,0.0,0.0
3290_C/C17d-C21-C31-C21ac-C31.9,16,0.11700722515483118,8.030556388681883e-05,0.003920939272679079,0.006572706165108789,8.877317844599351e-05,0.0007982630370057315,-0.0,0.0,0.0
3290_C/C17d-C21-C31-C21ac-C31a-C17e,19,0.11475017051527409,0.00012278249588182444,0.0035869569447268264,0.0002465630941861534,-7.063462811147731e-05,-0.002008831407631767,-0.0,0.0,0.0
proportion_explained,0,0.9870925282667702,0.0071628426033764755,0.004705697636781921,0.0006732278776830499,0.0003130751966926243,5.262841869575308e-05,0.0,0.0,0.0
