Species,Plug_ID,Count1,Count2,Count3
Pacuta,1770,,,
Pacuta,1772,,,
Mcapitata,1774,,,
Pacuta,1778,,,
Pacuta,1811,,,
Mcapitata,1822,,,
Mcapitata,1824,,,
Pacuta,1825,,,
Pacuta,1908,,,
Mcapitata,1998,,,
Mcapitata,2001,,,
Mcapitata,2003,,,
Mcapitata,2004,,,
Mcapitata,2008,,,
Mcapitata,2010,,,
Mcapitata,2011,,,
Pacuta,2013,,,
Pacuta,2014,,,
Pacuta,2015,,,
Mcapitata,2018,,,
Pacuta,2022,,,
Mcapitata,2023,,,
Mcapitata,2044,,,
Pacuta,2058,,,
Pacuta,2060,,,
Pacuta,2062,,,
Pacuta,2063,,,
Mcapitata,2070,,,
Pacuta,2074,,,
Pacuta,2075,,,
Pacuta,2079,,,
Pacuta,2156,,,
Mcapitata,2164,,,
Mcapitata,2165,,,
Mcapitata,2168,,,
Pacuta,2169,,,
Mcapitata,2172,,,
Mcapitata,2184,,,
Pacuta,2189,,,
Pacuta,2192,,,
Mcapitata,2193,,,
Mcapitata,2198,,,
Mcapitata,2200,,,
Pacuta,2203,,,
Pacuta,2208,,,
Mcapitata,2211,,,
Mcapitata,2279,,,
Mcapitata,2297,,,
Mcapitata,2301,,,
Mcapitata,2303,,,
Mcapitata,2360,,,
Mcapitata,2372,,,
Mcapitata,2376,,,
Mcapitata,2378,,,
Pacuta,2382,,,
Pacuta,2384,,,
Pacuta,2388,,,
Mcapitata,2389,,,
Mcapitata,2391,,,
Pacuta,2393,,,
Mcapitata,2394,,,
Pacuta,2396,,,
Mcapitata,2397,,,
Mcapitata,2398,,,
Pacuta,2401,,,
Mcapitata,2404,,,
Mcapitata,2407,,,
Pacuta,2416,,,
Mcapitata,2512,,,
Pacuta,2515,,,
Mcapitata,2517,,,
Pacuta,2519,,,
Pacuta,2521,,,
Pacuta,2522,,,
Pacuta,2523,,,
Mcapitata,2525,,,
Mcapitata,2528,,,
Mcapitata,2529,,,
Pacuta,2530,,,
Pacuta,2531,,,
Mcapitata,2532,,,
Mcapitata,2535,,,
Pacuta,2540,,,
Pacuta,2541,,,
Mcapitata,2552,,,
Mcapitata,2565,,,
Pacuta,2566,,,
Pacuta,2666,,,
Pacuta,2669,,,
Pacuta,2728,,,
Pacuta,2729,,,
Mcapitata,2732,,,
Mcapitata,2740,,,
Mcapitata,2741,,,
Pacuta,2744,,,
Mcapitata,2749,,,
Pacuta,2751,,,
Pacuta,2752,,,
Mcapitata,2852,,,
Pacuta,2853,,,
Mcapitata,2857,,,
Pacuta,2858,,,
Pacuta,2859,,,
Mcapitata,2863,,,
Pacuta,2864,,,
Mcapitata,2867,,,
Mcapitata,2869,,,
Pacuta,2871,,,
Mcapitata,2872,,,
Mcapitata,2153,,,
Pacuta,2874,,,
Mcapitata,2876,,,
Pacuta,2880,,,
Pacuta,2882,,,
Mcapitata,2976,,,
Mcapitata,2978,,,
Pacuta,2981,,,
Pacuta,2982,,,
Pacuta,2984,,,
Mcapitata,2989,,,
Pacuta,2992,,,
Pacuta,2996,,,
Pacuta,2997,,,
Pacuta,2998,,,
Mcapitata,3000,,,
Mcapitata,3002,,,
Mcapitata,3003,,,
