Date,Timepoint,Date.Num,Run.Number,Start.Time,Stop.Time,Chamber,Channel,Position,Species,Fragment.ID,Plug.ID,Treatment,Tank,Light.or.Dark,Vol.ml,pH.mV,Temp.C,Salinity,Surface.Area,Bottle.Number,TA.Start.Time,TA.Stop.Time,Notes
20180922,Day1,9/22/18,Run1,11:24,12:08,10,10,12,Montipora,M-1066_20180922,1066,ATAC,1,Photo,588,-61.9,28.44,34.04,29.4129793,"19,20",11:20,12:42,
20180922,Day1,9/22/18,Run1,13:04,14:01,10,10,12,Montipora,M-1066_20180922,1066,ATAC,1,Resp,588,NA,NA,NA,29.4129793,NA,NA,NA,
20180922,Day1,9/22/18,Run1,11:24,12:08,7,7,7,Pocillopora,P-1100_20180922,1100,ATAC,1,Photo,596,-64.4,28.43,34.13,16.34231,"22,23",11:20,12:53,
20180922,Day1,9/22/18,Run1,13:04,14:01,7,7,7,Pocillopora,P-1100_20180922,1100,ATAC,1,Resp,596,NA,NA,NA,16.34231,NA,NA,NA,
20180922,Day1,9/22/18,Run1,11:24,12:08,9,9,10,Pocillopora,P-1116_20180922,1116,ATAC,1,Photo,592,-68.6,28.43,34.12,27.92737,"17,18",11:20,12:45,
20180922,Day1,9/22/18,Run1,13:04,14:01,9,9,10,Pocillopora,P-1116_20180922,1116,ATAC,1,Resp,592,NA,NA,NA,27.92737,NA,NA,NA,
20180922,Day1,9/22/18,Run1,11:24,12:08,8,8,9,Montipora,M-1305_20180922,1305,ATAC,1,Photo,596,-62.4,28.4,34.15,27.5380699,"15,16",11:19,12:49,
20180922,Day1,9/22/18,Run1,13:04,14:01,8,8,9,Montipora,M-1305_20180922,1305,ATAC,1,Resp,596,NA,NA,NA,27.5380699,NA,NA,NA,
20180922,Day1,9/22/18,Run1,11:24,12:08,1,1,1,Pocillopora,P-1488_20180922,1488,HTAC,7,Photo,590,-61,29.79,34.18,34.17856,"9,10",11:18,12:33,
20180922,Day1,9/22/18,Run1,13:04,14:01,1,1,1,Pocillopora,P-1488_20180922,1488,HTAC,7,Resp,590,NA,NA,NA,34.17856,NA,NA,NA,
20180922,Day1,9/22/18,Run1,11:24,12:08,2,2,3,Montipora,M-1585_20180922,1585,HTAC,7,Photo,586,-60.4,29.81,34.19,10.6996825,"5,6",11:17,12:24,
20180922,Day1,9/22/18,Run1,13:04,14:01,2,2,3,Montipora,M-1585_20180922,1585,HTAC,7,Resp,586,NA,NA,NA,10.6996825,NA,NA,NA,
20180922,Day1,9/22/18,Run1,11:24,12:08,5,5,6,Montipora,M-1640_20180922,1640,HTAC,7,Photo,596,-59.2,29.76,34.16,17.6578787,"1,2",11:17,12:15,
20180922,Day1,9/22/18,Run1,13:04,14:01,5,5,6,Montipora,M-1640_20180922,1640,HTAC,7,Resp,596,NA,NA,NA,17.6578787,NA,NA,NA,
20180922,Day1,9/22/18,Run1,11:24,12:08,4,4,4,Pocillopora,P-1770_20180922,1770,HTAC,7,Photo,598,-61.3,29.78,34.19,18.74076,"3,4",11:18,12:18,
20180922,Day1,9/22/18,Run1,13:04,14:01,4,4,4,Pocillopora,P-1770_20180922,1770,HTAC,7,Resp,598,NA,NA,NA,18.74076,NA,NA,NA,
20180922,Day1,9/22/18,Run1,11:24,12:08,6,6,8,Blank,B1AMB_20180922,B1AMB,ATAC,1,Photo,600,-56.7,28.44,34.14,NA,"21,24",11:19,12:55,
20180922,Day1,9/22/18,Run1,13:04,14:01,6,6,8,Blank,B1AMB_20180922,B1AMB,ATAC,1,Resp,600,NA,NA,NA,NA,NA,NA,NA,
20180922,Day1,9/22/18,Run1,11:24,12:08,3,3,2,Blank,B1HOT_20180922,B1HOT,HTAC,7,Photo,610,-57.3,29.77,34.19,NA,"7,8",11:18,12:29,
20180922,Day1,9/22/18,Run1,13:04,14:01,3,3,2,Blank,B1HOT_20180922,B1HOT,HTAC,7,Resp,610,NA,NA,NA,NA,NA,NA,NA,
20180922,Day1,9/22/18,Run2,14:15,15:36,3,3,3,Pocillopora,P-1098_20180922,1098,HTHC,2,Photo,592,-48.5,29.81,34.37,19.07189,"33,34",14:46,15:38,
20180922,Day1,9/22/18,Run2,16:16,16:48,3,3,3,Pocillopora,P-1098_20180922,1098,HTHC,2,Resp,592,NA,NA,NA,19.07189,NA,NA,NA,
20180922,Day1,9/22/18,Run2,14:15,15:36,7,7,9,Montipora,M-1146_20180922,1146,ATHC,3,Photo,593,-49.5,28.8,34.38,34.5857605,"43,44",14:52,16:00,
20180922,Day1,9/22/18,Run2,16:16,16:48,7,7,9,Montipora,M-1146_20180922,1146,ATHC,3,Resp,593,NA,NA,NA,34.5857605,NA,NA,NA,
20180922,Day1,9/22/18,Run2,14:15,15:36,4,4,4,Montipora,M-1163_20180922,1163,HTHC,2,Photo,599,-49.4,29.75,34.34,18.5841466,"31,32",14:49,15:41,
