observed	shannon	simperson	invsimperson	chao1	chao2	evenness	Gini
61	5	1.22184413179386	0.670273219563829	3.0328140124899	5	5	0.244368826358773	0.748803827751196
62	6	0.294313986671484	0.125749428214771	1.14383682696139	6	6	0.0490523311119141	0.890866585197386
63	3	0.26420219348921	0.112380348411044	1.1266086754725	3	3	0.0880673978297365	0.893454865510022
64	9	1.3058544947919	0.676704534500287	3.09314576514185	9	9	0.145094943865767	0.739524513991624
65	3	0.368879652066825	0.170837013134685	1.20603550308069	3	3	0.122959884022275	0.885533380924299
66	3	0.454793665038718	0.221284725313637	1.28416641166152	3	3	0.151597888346239	0.876137300457169
67	4	0.441935032616459	0.214387456874443	1.27289210024767	4	4	0.110483758154115	0.879595221005512
68	3	0.241658071724414	0.100741452132265	1.11202723885265	3	3	0.0805526905748046	0.895327808438348
69	5	0.818681129131906	0.42028663919917	1.72499043082011	5	5	0.163736225826381	0.83520071309377
70	3	0.437029406182825	0.213699795099095	1.27177888771634	3	3	0.145676468727609	0.880568199433492
71	6	1.20622061188336	0.666713002816078	3.00041708332281	6	6	0.201036768647227	0.751529502401885
72	4	0.994092686582738	0.54125199528541	2.179845993275	4	4	0.248523171645684	0.80766091455381
73	5	0.383328821620423	0.177737276508185	1.21615631042279	5	5	0.0766657643240845	0.884439782613861
74	4	0.473022658004503	0.232587727475122	1.30308054197502	4	4	0.118255664501126	0.875915659163271
75	9	1.28748438143565	0.676092889808164	3.08730487394285	9	9	0.143053820159517	0.738841097224477
76	8	1.78907458416014	0.798145769697551	4.95407006581753	8	8	0.223634323020017	0.573430072554416
77	3	0.259178761833871	0.109738266227949	1.12326517254986	3	3	0.0863929206112903	0.893827821662873
78	3	0.431420411791191	0.20746516722752	1.26177419420388	3	3	0.143806803930397	0.879399841573086
79	3	0.361066358755833	0.167120061475178	1.20065324393715	3	3	0.120355452918611	0.886735002064855
80	3	0.274434964810782	0.117976805245704	1.13375703263514	3	3	0.091478321603594	0.892968735555679
81	4	1.02859070439987	0.572509589617031	2.33923375989685	4	4	0.257147676099966	0.800608313619466
82	3	0.459575012027532	0.224298574847513	1.28915581121102	3	3	0.153191670675844	0.876010306985022
83	3	0.542085501519067	0.27614015928582	1.38148291113011	3	3	0.180695167173022	0.8667135333802
84	3	0.428862421187852	0.206080940125635	1.25957424445541	3	3	0.142954140395951	0.879837516138174
85	4	0.494361404431269	0.245054899182823	1.3245996283936	4	4	0.123590351107817	0.873297642528412
86	5	0.242131989446447	0.0994437734146307	1.11042483576144	5	5	0.0484263978892894	0.895333541668181
87	9	1.53746766995228	0.730654996158243	3.71271041131882	9	9	0.170829741105809	0.672589531680441
88	3	0.490463668648295	0.246523654105424	1.32718167656973	3	3	0.163487889549432	0.875266379505781
89	4	0.344162626650446	0.156508002399877	1.18554770269922	4	4	0.0860406566626114	0.888056927406936
90	8	1.21301878757735	0.665183616424165	2.98671166960234	8	8	0.151627348447168	0.750201717062071
91	3	0.426874964999928	0.20462301507219	1.25726544638548	3	3	0.142291654999976	0.879691778014592
92	4	0.604663539644502	0.298193730788268	1.42489465237066	4	4	0.151165884911125	0.863789454066215
93	6	1.07799427544648	0.617787499421782	2.61634561529825	6	6	0.179665712574413	0.779551167786462
94	5	0.369908176547654	0.170378747960892	1.20536931466271	5	5	0.0739816353095309	0.886208911022807
95	7	1.19543720729798	0.66358103921957	2.97248406475124	7	7	0.170776743899711	0.751907864293741
96	8	1.84157826638325	0.820557673558668	5.57282119459674	8	8	0.230197283297907	0.543773022236055
97	5	0.585621637192112	0.303472366665109	1.43569321896408	5	5	0.117124327438422	0.863520230408324
98	4	0.30763932403619	0.13502882049405	1.15610788393109	4	4	0.0769098310090475	0.890431944697859
99	6	1.19963422125355	0.659699418692176	2.93857858295997	6	6	0.199939036875592	0.75785197461498
100	6	1.18503952783637	0.635475630791226	2.7433008173653	6	6	0.197506587972729	0.760740121699616
101	9	1.21161001226854	0.66735309524722	3.00619060545052	9	9	0.134623334696504	0.750581918171105
102	3	0.274515748306169	0.117826467984768	1.13356382129898	3	3	0.0915052494353896	0.892626948081856
103	3	0.336613809768299	0.151995613587852	1.17923918322043	3	3	0.1122046032561	0.887853031422876
104	3	0.61477921718606	0.324679179064336	1.48077768224959	3	3	0.204926405728687	0.859882842025699
105	3	0.504402347982479	0.252132483749516	1.3371352255191	3	3	0.16813411599416	0.870958331874774
106	3	0.277290359474778	0.119478330915618	1.13569039253725	3	3	0.0924301198249259	0.892720875505495
107	3	0.406072646205369	0.19232404015381	1.23812029788584	3	3	0.135357548735123	0.88185182547537
108	3	0.553432699575225	0.285338525839518	1.39926389788215	3	3	0.184477566525075	0.867889395773206
109	3	0.257060846641072	0.1087783070131	1.12205527296865	3	3	0.0856869488803573	0.894252981311978
110	4	0.381819533557894	0.177177249830093	1.21532857446334	4	4	0.0954548833894735	0.884049519749586
111	4	0.257900707385888	0.108634305249149	1.12187400287994	4	4	0.064475176846472	0.894190871369295
112	5	1.19086673471073	0.659505845030478	2.93690797743507	5	5	0.238173346942146	0.756919615956293
113	5	0.905902142228761	0.461509422883621	1.85704270881583	5	5	0.181180428445752	0.815449560054645
114	4	1.20825350025649	0.665792550002845	2.99215352622604	4	4	0.302063375064123	0.749151091216651
115	4	0.277282271547344	0.118933438937527	1.13498802950155	4	4	0.069320567886836	0.892729127804516
116	4	0.438855419364081	0.212661361592746	1.27010151822721	4	4	0.10971385484102	0.879856632572202
117	3	0.608032836480528	0.319300723905255	1.46907751354919	3	3	0.202677612160176	0.858980852017064
118	7	1.19307930595783	0.656176566874743	2.9084695912384	7	7	0.170439900851118	0.759858433680179
119	3	0.620557508703177	0.329813215143121	1.49212133482094	3	3	0.206852502901059	0.860172248803828
