Well,Plug_ID
A1,StandardA
A2,StandardA
A3,StandardB
A4,StandardB
A5,StandardC
A6,StandardC
A7,StandardD
A8,StandardD
A9,StandardE
A10,StandardE
A11,StandardF
A12,StandardF
B1,StandardG
B2,StandardG
B3,StandardH
B4,StandardH
B5,StandardI
B6,StandardI
B7,2397
B8,2397
B9,1491
B10,1491
B11,1233
B12,1233
C1,2075
C2,2075
C3,1770
C4,1770
C5,1181
C6,1181
C7,2014
C8,2014
C9,2535
C10,2535
C11,2530
C12,2530
D1,1226
D2,1226
D3,1338
D4,1338
D5,1441
D6,1441
D7,2074
D8,2074
D9,1587
D10,1587
D11,1412
D12,1412
E1,1447
E2,1447
E3,1695
E4,1695
E5,2541
E6,2541
E7,1242
E8,1242
E9,1731
E10,1731
E11,2376
E12,2376
F1,2023
F2,2023
F3,2540
F4,2540
F5,1214
F6,1214
F7,1104
F8,1104
F9,1489
F10,1489
F11,1130
F12,1130
G1,1622
G2,1622
G3,1046
G4,1046
G5,1098
G6,1098
G7,2741
G8,2741
G9,2388
G10,2388
G11,1252
G12,1252
H1,2989
H2,2989
H3,2997
H4,2997
H5,1311
H6,1311
H7,1713
H8,1713
H9,2519
H10,2519
H11,NA
H12,NA
