sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
C1d-noName-C42.2-C1-noName,10,-0.11298351137594059,-0.011926539531616615,-0.00043896323399354845,-5.019163827764356e-05,0.007683783095007577,0.0005846618112358868,0.005643020997931713,-0.0,0.0,0.0,0.0
C1d/C42.2-C1-C3cg,11,-0.09545789515105903,-0.007734286183833016,0.0011765754372795403,9.108466315201232e-05,-0.000484073646920788,-0.000219999395436024,0.00035067744474183123,-0.0,0.0,0.0,0.0
C1d-noName-C42.2-C1,13,-0.11308841088017386,-0.012049807996954499,-0.00046664594263751016,-5.367451425957595e-05,0.0051830681903909034,0.00048250236531679986,-0.006769368878941013,-0.0,0.0,0.0,0.0
C1d-C31-C42.2-C1,15,-0.06046284867707408,0.004963345567378506,0.005668990288253483,0.00022556552794249717,-0.0012148396994603522,-0.0011842306088666443,7.282487580189653e-05,-0.0,0.0,0.0,0.0
C1d/C31/C17d-2099_C,16,-0.04449994772937513,0.05664657439299671,0.011378868442900446,-0.0008034248623568583,-0.00021538803890537226,0.00025798328846382817,-1.417802281222867e-05,-0.0,0.0,0.0,0.0
C1d,20,-0.12155193163455388,-0.015297039217432962,-0.00176245385579243,-5.909917651525527e-05,-0.010925062273812468,-0.0003827454728328803,0.0007313732185484313,-0.0,0.0,0.0,0.0
C31-C17d-C31.1-C21-C31a-noName,12,0.12948450220310415,-0.009291117926602635,0.01076878131188135,-0.02205737466413106,0.00016139605721340753,-0.002847745915435167,-8.01786201402602e-06,-0.0,0.0,0.0,0.0
C31/C17d-C21-C21ac-C31.9,14,0.09103020310034632,0.0019663614442862482,-0.014987792995764785,0.005207435800721727,-0.0005790189009621466,0.008605316884972545,1.5918978975413544e-05,-0.0,0.0,0.0,0.0
C31-C17d-C21-C21ac-C31a-C17e,18,0.09413780888328285,0.0016840736877880911,-0.016994717566224116,-0.006409404685504697,-0.0002244489236907964,0.0038379150868005493,7.681601660113654e-06,-0.0,0.0,0.0,0.0
C31/C17d-C21-C21ac-C17e-C17f-C31.9,19,0.08730347441584983,0.005312694915830064,-0.023614153944504744,0.009182017405250341,0.0006764882901709685,-0.009379963882966025,-2.4103403022382953e-05,-0.0,0.0,0.0,0.0
C31,21,0.14608855684559327,-0.014274259151840028,0.029271512058602712,0.01472706614397868,-6.190414902975174e-05,0.0002463058387471268,-5.828950869011102e-06,-0.0,0.0,0.0,0.0
proportion_explained,0.0,0.9388697531034207,0.03295024689069112,0.01759359684803402,0.006818393011257628,0.0016547131407344145,0.0014898095881489897,0.0006234874177131682,0.0,0.0,0.0,0.0
