Date,Time,Tank,Position,PAR,Instrument,Measure_Type,Notes
20180917,15:40,8,5,57,LICOR-193,Six-point,Cloudy
20180917,15:40,8,6,50,LICOR-193,Six-point,Cloudy
20180917,15:40,7,1,65,LICOR-193,Six-point,Cloudy
20180917,15:40,7,2,63,LICOR-193,Six-point,Cloudy
20180917,15:40,7,3,59,LICOR-193,Six-point,Cloudy
20180917,15:40,7,4,78,LICOR-193,Six-point,Cloudy
20180917,15:40,7,5,70,LICOR-193,Six-point,Cloudy
20180917,15:40,7,6,71,LICOR-193,Six-point,Cloudy
20180917,15:40,1,1,67,LICOR-193,Six-point,Cloudy
20180917,15:40,1,2,75,LICOR-193,Six-point,Cloudy
20180917,15:40,1,3,69,LICOR-193,Six-point,Cloudy
20180917,15:40,1,4,70,LICOR-193,Six-point,Cloudy
20180917,15:40,1,5,82,LICOR-193,Six-point,Cloudy
20180917,15:40,1,6,76,LICOR-193,Six-point,Cloudy
20180917,15:40,2,1,51,LICOR-193,Six-point,Cloudy
20180917,15:40,2,2,52,LICOR-193,Six-point,Cloudy
20180917,15:40,2,3,42,LICOR-193,Six-point,Cloudy
20180917,15:40,2,4,45,LICOR-193,Six-point,Cloudy
20180917,15:40,2,5,53,LICOR-193,Six-point,Cloudy
20180917,15:40,2,6,44,LICOR-193,Six-point,Cloudy
20180917,15:40,3,1,43,LICOR-193,Six-point,Cloudy
20180917,15:40,3,2,43,LICOR-193,Six-point,Cloudy
20180917,15:40,3,3,39,LICOR-193,Six-point,Cloudy
20180917,15:40,3,4,42,LICOR-193,Six-point,Cloudy
20180917,15:40,3,5,47,LICOR-193,Six-point,Cloudy
20180917,15:40,3,6,43,LICOR-193,Six-point,Cloudy
20180917,15:40,4,1,51,LICOR-193,Six-point,Cloudy
20180917,15:40,4,2,52,LICOR-193,Six-point,Cloudy
20180917,15:40,4,3,56,LICOR-193,Six-point,Cloudy
20180917,15:40,4,4,53,LICOR-193,Six-point,Cloudy
20180917,15:40,4,5,61,LICOR-193,Six-point,Cloudy
20180917,15:40,4,6,55,LICOR-193,Six-point,Cloudy
20180917,15:40,5,1,60,LICOR-193,Six-point,Cloudy
20180917,15:40,5,2,73,LICOR-193,Six-point,Cloudy
20180917,15:40,5,3,77,LICOR-193,Six-point,Cloudy
20180917,15:40,5,4,72,LICOR-193,Six-point,Cloudy
20180917,15:40,5,5,88,LICOR-193,Six-point,Cloudy
20180917,15:40,5,6,77,LICOR-193,Six-point,Cloudy
20180917,15:40,6,1,75,LICOR-193,Six-point,Cloudy
20180917,15:40,6,2,70,LICOR-193,Six-point,Cloudy
20180917,15:40,6,3,63,LICOR-193,Six-point,Cloudy
20180917,15:40,6,4,83,LICOR-193,Six-point,Cloudy
20180917,15:40,6,5,78,LICOR-193,Six-point,Cloudy
20180917,15:40,6,6,67,LICOR-193,Six-point,Cloudy
20180919,10:10,12,1,590,Apogee,Six-point,Sunny
20180919,10:10,12,1,425,LICOR-193,Six-point,Sunny
20180919,10:10,12,2,603,Apogee,Six-point,Sunny
20180919,10:10,12,2,478,LICOR-193,Six-point,Sunny
20180919,10:10,12,3,580,Apogee,Six-point,Sunny
20180919,10:10,12,3,458,LICOR-193,Six-point,Sunny
