file.ID,Date.Time,PAR
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T07:56:00Z,17
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T07:57:00Z,17
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T07:58:00Z,17
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T07:59:00Z,14
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T08:00:00Z,20
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T08:01:00Z,24
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T08:02:00Z,27
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T08:03:00Z,27
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T08:04:00Z,20
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T08:05:00Z,17
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T08:06:00Z,17
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T08:07:00Z,11
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T08:08:00Z,17
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T08:09:00Z,14
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T08:10:00Z,14
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T08:11:00Z,14
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T08:12:00Z,17
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T08:13:00Z,24
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T08:14:00Z,24
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T08:15:00Z,24
