Treatment,N,Temperature,sd,se,ci
ATAC,39783,27.829831837719627,0.6054059826062465,0.0030352742911900626,0.005949209298136574
ATHC,39783,27.687215142146144,2.523660787763621,0.012652670982548606,0.024799533957811763
HTAC,39783,29.36290375285926,0.4680655393365507,0.002346701781875627,0.004599590917107641
HTHC,39783,28.935122037051002,2.5700371515401033,0.012885184351649532,0.02525526565277299
