sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
HP01,47.0,-0.1000619375676898,0.0029011820302740007,-0.009636334095652,0.00013244747888695098,2.0126233532506904e-05,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
HP02,48.0,-0.09980788601424997,0.029437704859648646,0.005218093930718448,-0.0004061814194389728,-4.229939735807785e-05,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
HP03,49.0,-0.10164809831899276,-0.012470071124591416,0.002972312325002771,0.0033738330999014718,2.688688876746605e-05,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
HP05,51.0,0.18808169841373973,0.015594488485892104,-0.018328609003481232,0.0004078762988359176,-7.40816360063997e-07,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
HP07,53.0,-0.052113388843308475,-0.021781448593997426,0.004935699175118983,-0.003462931203353171,0.00010602907266585764,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
HP08,54.0,-0.10023650538759075,0.0013577893858005684,-0.00931844642066509,0.0005808738697433579,-2.5168884140494575e-05,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
HP09,55.0,-0.09927211212465573,0.029348055146228562,0.005158576784848428,0.0002288273535311037,-1.0496687182461483e-05,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
HP10,56.0,-0.10164006644092652,-0.012845164028960104,0.0028994693581450336,0.0036870846944037777,5.043781594563632e-05,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
HP12,58.0,0.20411409091979332,0.048127505080621906,0.009528474677308404,-0.0003357274090132545,4.197745455699188e-06,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
HP14,60.0,-0.06858302142838463,-0.012830475871558706,-0.0017220500523099217,-0.0054632441083074445,-0.00011278891633835969,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
HP06,52.0,0.16609546975395773,-0.03268407697827119,0.0039527092406721745,0.000484769913862933,0.0017882958721461755,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
HP13,59.0,0.16507175703830756,-0.03415548839108668,0.00434010408029468,0.0007723714309476792,-0.0018044789271474439,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
proportion_explained,0.0,0.9600926487761273,0.03599518347872611,0.0035519102312241623,0.00032910361600401724,3.1153897918352585e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
