sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
C1d-C42.2-C1,10,-0.46700322774014924,-0.011104940916939286,-0.01663650642196497,0.0020724954064500435,-0.007131118536740453,0.03640850888736362,0.045482253653738515,0.0,0.0
C1d-5523-C42.2-C1-5524,11,-0.4442597631950903,0.14461012799615539,0.16238362212139756,-0.0761864606209932,-0.026946029581433415,-0.025451567202106336,-0.005232887128957296,0.0,0.0
C1d/C42.2-C1-C3cg,12,-0.46607415644522393,0.0020078440788500085,-0.002001422039978416,0.030642592102337027,0.006723049620730716,0.06656090372853654,-0.03405879665780799,0.0,0.0
C1d-5527-C42.2-C1,13,-0.46293695259614914,0.00441635038386266,0.0006980365842051902,0.08644598961929927,0.04292952113583538,-0.060570016026079115,-0.0008708598137698967,0.0,0.0
3290-C17d-C31.1-C31-C21-C31a-1373,14,0.4930537091466109,-0.1928760089428338,0.18353325826570538,-0.013191123089683045,0.024439684243662694,-0.0014835080081252823,-0.004710825337174081,0.0,0.0
C17d/3290_C-C21-C21ac-C17e-C17f,15,0.5055162139197343,0.1680854263794186,-0.13776713751190992,-0.027169042887558045,0.04032801339840575,-0.003372190047694607,-0.0069685357618404,0.0,0.0
3290_C/C17d-C21-C31-C21ac-C31.9,16,0.5235970004493925,0.03742106539902261,-0.004355114342561586,0.05630602132994211,-0.10430873190338448,-0.005358870912900725,-0.0004082527101964162,0.0,0.0
C1d-3290-1444,17,-0.211860560924824,-0.17986006478094552,-0.19369798991505405,-0.05851037982515662,-0.023164397852700542,-0.023574791910383766,-0.006889609011325842,0.0,0.0
3290_C/C17d-C21-C31-C21ac-C31a-C17e,19,0.5299677373856982,0.027300200403409875,0.007843253260161536,-0.0004100920346391135,0.047130009475623916,0.01684153149139229,0.013657512767333143,0.0,0.0
proportion_explained,0,0.8692316064163005,0.05406398459621312,0.05223453397087062,0.009707059069264511,0.008277433504915301,0.004894090006814972,0.0015912924356209508,0.0,0.0
