sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
C1d-C42.2-C1,10,-0.09076413398174532,-0.010974672685093542,-0.0009914483652111068,-2.151819642399917e-05,-0.00011949836107457379,-0.000881088589793672,0.0,0.0,0.0
C1d-5523-C42.2-C1-5524,11,-0.09833869524844878,-0.01433777799101296,-0.00016616212710202677,0.0002327397011478723,-0.0060880127416839975,-0.00025300861795657246,0.0,0.0,0.0
C1d/C42.2-C1-C3cg,12,-0.08131496629883492,-0.012179603972943494,-0.0006128094307057595,-0.0005633786635661702,6.418704977244734e-05,0.0014758827240258566,0.0,0.0,0.0
C1d-5527-C42.2-C1,13,-0.09857937635695636,-0.013047911520278316,-0.0004903290670019011,0.00028525620136611053,0.006236316443633427,-0.00026646467995995255,0.0,0.0,0.0
C1d-3290-1444,17,-0.07204274244907412,0.0549468537304272,-0.004583284419214209,4.29785553375006e-05,-0.00012125902361066986,1.2758156768998728e-05,0.0,0.0,0.0
3290-C17d-C31.1-C31-C21-C31a-1373,14,0.13932096707208766,-0.006264723406694442,-0.026743425532466447,-0.003032292643823363,-2.7932067093785158e-05,0.00037201115524689894,0.0,0.0,0.0
C17d/3290_C-C21-C21ac-C17e-C17f,15,0.08913535240418759,0.0028471830271591505,0.02207964872088137,-0.0059513985720155765,2.0431903538903654e-05,0.0007789269606874655,0.0,0.0,0.0
3290_C/C17d-C21-C31-C21ac-C31.9,16,0.10642862323605087,-0.0004944051606244332,0.005642068022525957,0.01125071772711982,-1.5273290596657897e-05,0.00029134637279691335,0.0,0.0,0.0
3290_C/C17d-C21-C31-C21ac-C31a-C17e,19,0.10615497162273342,-0.0004949420209389938,0.005865742198293913,-0.002243104109143486,5.104008711442007e-05,-0.00153036348181611,0.0,0.0,0.0
proportion_explained,0,0.9443997729311612,0.03921719065082106,0.013647116477168236,0.0018668115598364688,0.0008029462042068185,6.616217680622439e-05,0.0,0.0,0.0
