colony_id,Light_Value,Run,micromol.cm2.s,micromol.cm2.h
MC-1128_20180914,0,PI,-4.718047755245189e-5,-0.1698497191888268
MC-1128_20180914,110,PI,7.854103628205012e-5,0.28274773061538044
MC-1128_20180914,160,PI,8.565693186111469e-5,0.3083649547000129
MC-1128_20180914,21,PI,-1.8764098753695463e-5,-0.06755075551330367
MC-1128_20180914,270,PI,1.1430189978005813e-4,0.4114868392082093
MC-1128_20180914,43,PI,2.3691294112156194e-6,0.00852886588037623
MC-1128_20180914,473,PI,1.4407723099019905e-4,0.5186780315647166
MC-1128_20180914,618,PI,1.3716869814986326e-4,0.4938073133395077
MC-1128_20180914,79,PI,4.661021143170364e-5,0.1677967611541331
MC-1128_20180914,838,PI,1.3626087473470706e-4,0.4905391490449454
MC-1270_20181031,0,PI,-4.6480857582173497e-5,-0.16733108729582458
MC-1270_20181031,110,PI,3.0423925225056143e-5,0.10952613081020211
MC-1270_20181031,160,PI,4.285351818861987e-5,0.15427266547903154
MC-1270_20181031,21,PI,-1.2958397624479534e-5,-0.04665023144812632
MC-1270_20181031,270,PI,5.6403627517739596e-5,0.20305305906386253
MC-1270_20181031,43,PI,9.892638600701894e-7,0.0035613498962526816
MC-1270_20181031,473,PI,6.632156027875311e-5,0.2387576170035112
MC-1270_20181031,618,PI,6.2011174686122e-5,0.2232402288700392
MC-1270_20181031,79,PI,1.9754552860623344e-5,0.07111639029824404
MC-1270_20181031,838,PI,6.1201248929943755e-05,0.2203244961477975
MC-1272_20181115,0,PI,-8.40466265251336e-5,-0.302567855490481
MC-1272_20181115,126,PI,9.633779403053053e-5,0.34681605850990993
MC-1272_20181115,14,PI,-3.035173795147407e-5,-0.10926625662530665
MC-1272_20181115,210,PI,1.347590571435241e-4,0.48513260571668676
MC-1272_20181115,28,PI,6.242484958058149e-6,0.022472945849009336
MC-1272_20181115,385,PI,1.5280673126420808e-4,0.550104232551149
MC-1272_20181115,490,PI,1.3535337444248356e-4,0.48727214799294083
MC-1272_20181115,56,PI,4.386552463744882e-5,0.15791588869481576
MC-1272_20181115,700,PI,1.44537822772153e-4,0.5203361619797509
MC-1272_20181115,84,PI,7.354099138641463e-5,0.26474756899109264
MC-1337_20181115,0,PI,-5.288760103121035e-5,-0.19039536371235727
MC-1337_20181115,126,PI,6.795398298974874e-5,0.24463433876309545
MC-1337_20181115,14,PI,-2.050617706128149e-5,-0.07382223742061336
MC-1337_20181115,210,PI,8.830740003859868e-5,0.31790664013895525
MC-1337_20181115,28,PI,3.549076554948772e-6,0.01277667559781558
MC-1337_20181115,385,PI,9.778569154683146e-5,0.3520284895685933
MC-1337_20181115,490,PI,9.10192571896219e-5,0.3276693258826388
MC-1337_20181115,56,PI,2.8837913874595253e-5,0.10381648994854291
MC-1337_20181115,700,PI,8.76809738858535e-5,0.3156515059890726
MC-1337_20181115,84,PI,5.046573970085556e-5,0.18167666292308002
MC-1447_20181031,0,PI,-9.599987908079046e-5,-0.3455995646908457
MC-1447_20181031,110,PI,7.080764075133703e-5,0.2549075067048133
MC-1447_20181031,160,PI,1.0316238520157455e-4,0.3713845867256684
MC-1447_20181031,21,PI,-3.663828237510168e-5,-0.13189781655036603
MC-1447_20181031,270,PI,1.4392700381717115e-4,0.5181372137418162
MC-1447_20181031,43,PI,5.699588315197446e-6,0.020518517934710805
MC-1447_20181031,473,PI,1.7209105179971914e-4,0.6195277864789889
MC-1447_20181031,618,PI,1.6086288435585898e-4,0.5791063836810924
MC-1447_20181031,79,PI,4.114253409131397e-5,0.14811312272873028
MC-1447_20181031,838,PI,1.6127509381175302e-4,0.5805903377223108
MC-1498_20180914,0,PI,-8.611301479358942e-5,-0.3100068532569219
MC-1498_20180914,110,PI,7.01925128846241e-5,0.2526930463846468
MC-1498_20180914,160,PI,1.2557006556479874e-4,0.4520522360332755
MC-1498_20180914,21,PI,-4.8365256568838456e-5,-0.17411492364781844
MC-1498_20180914,270,PI,1.6135431074592617e-4,0.5808755186853342
MC-1498_20180914,43,PI,-2.1035683673929414e-5,-0.07572846122614589
MC-1498_20180914,473,PI,2.2299535513516962e-4,0.8027832784866106
MC-1498_20180914,618,PI,2.2544643780709166e-4,0.81160717610553
MC-1498_20180914,79,PI,2.9507930768060184e-5,0.10622855076501667
MC-1498_20180914,838,PI,2.2946718439205302e-4,0.8260818638113909
MC-1568_20180914,0,PI,-7.356640152748655e-5,-0.26483904549895154
MC-1568_20180914,110,PI,1.6996851110738636e-4,0.6118866399865909
MC-1568_20180914,160,PI,1.9798793804056794e-4,0.7127565769460446
MC-1568_20180914,21,PI,-2.0741123557346764e-5,-0.07466804480644836
MC-1568_20180914,270,PI,2.7473227584350746e-4,0.9890361930366268
MC-1568_20180914,43,PI,3.3425801877672525e-5,0.12033288675962109
MC-1568_20180914,473,PI,3.087756804169578e-4,1.111592449501048
MC-1568_20180914,618,PI,2.948217996958387e-4,1.0613584789050192
MC-1568_20180914,79,PI,1.1343493580390203e-4,0.4083657688940473
MC-1568_20180914,838,PI,2.925167385645423e-4,1.0530602588323523
MC-1737_20181031,0,PI,-7.21083179476423e-5,-0.2595899446115123
MC-1737_20181031,110,PI,8.731053382612957e-5,0.3143179217740665
MC-1737_20181031,160,PI,1.2313611549325798e-4,0.44329001577572874
MC-1737_20181031,21,PI,-1.3466312842512691e-5,-0.04847872623304569
MC-1737_20181031,270,PI,1.6868023695744059e-4,0.6072488530467861
MC-1737_20181031,43,PI,1.481769920817075e-5,0.0533437171494147
MC-1737_20181031,473,PI,1.9411424576046485e-4,0.6988112847376735
MC-1737_20181031,618,PI,1.7597987952787096e-4,0.6335275663003355
MC-1737_20181031,79,PI,5.63670385081509e-5,0.20292133862934325
MC-1737_20181031,838,PI,1.6189297886641762e-4,0.5828147239191035
MC-1824_20181115,0,PI,-1.460488164731042e-4,-0.5257757393031751
MC-1824_20181115,126,PI,2.7427964349782154e-4,0.9874067165921575
MC-1824_20181115,14,PI,-2.706019481950518e-5,-0.09741670135021864
MC-1824_20181115,210,PI,3.673248394536337e-4,1.3223694220330813
MC-1824_20181115,28,PI,5.483597893085332e-5,0.19740952415107196
MC-1824_20181115,385,PI,4.0849556113042103e-4,1.4705840200695157
MC-1824_20181115,490,PI,3.616333116024263e-4,1.3018799217687347
MC-1824_20181115,56,PI,1.3033259450125184e-4,0.46919734020450665
MC-1824_20181115,700,PI,4.04512099225275e-4,1.45624355721099
MC-1824_20181115,84,PI,2.020072626316356e-4,0.7272261454738882
MC-2011_20181031,0,PI,-5.7521456926009175e-5,-0.20707724493363303
MC-2011_20181031,110,PI,1.3380334775947952e-4,0.4816920519341263
MC-2011_20181031,160,PI,1.7896652944786163e-4,0.6442795060123019
MC-2011_20181031,21,PI,7.0101460684677145e-6,0.02523652584648377
MC-2011_20181031,270,PI,2.3236710783878245e-4,0.8365215882196169
MC-2011_20181031,43,PI,3.9424504831937586e-5,0.1419282173949753
MC-2011_20181031,473,PI,2.503666312176281e-4,0.9013198723834611
MC-2011_20181031,618,PI,2.3380395146968221e-4,0.841694225290856
MC-2011_20181031,79,PI,8.752485265476676e-5,0.31508946955716033
MC-2011_20181031,838,PI,2.1015542562165701e-4,0.7565595322379652
MC-2024_20181017,0,PI,-8.103957298199775e-5,-0.2917424627351919
MC-2024_20181017,110,PI,1.1438462726813566e-4,0.41178465816528836
MC-2024_20181017,160,PI,1.6471402285662344e-4,0.5929704822838444
MC-2024_20181017,21,PI,-2.079725563467846e-5,-0.07487012028484245
MC-2024_20181017,270,PI,2.2839186102616754e-4,0.8222106996942031
MC-2024_20181017,43,PI,1.9092493082151623e-5,0.06873297509574584
MC-2024_20181017,473,PI,2.69986855378652e-4,0.9719526793631473
MC-2024_20181017,618,PI,2.5761721043323586e-4,0.9274219575596491
MC-2024_20181017,79,PI,7.440909533630767e-5,0.2678727432107076
MC-2024_20181017,838,PI,2.419943767049646e-4,0.8711797561378726
MC-2163_20181017,0,PI,-7.073178399905125e-5,-0.2546344223965845
MC-2163_20181017,110,PI,3.519894321243295e-5,0.12671619556475863
MC-2163_20181017,160,PI,5.41109229727173e-5,0.19479932270178227
MC-2163_20181017,21,PI,-3.628827790467561e-5,-0.1306378004568322
MC-2163_20181017,270,PI,7.630826052478478e-5,0.2747097378892252
MC-2163_20181017,43,PI,-1.0108577194816084e-5,-0.0363908779013379
MC-2163_20181017,473,PI,8.245533591740284e-5,0.29683920930265023
MC-2163_20181017,618,PI,7.797414005355554e-5,0.2807069041927999
MC-2163_20181017,79,PI,1.7530471747260714e-5,0.06310969829013857
MC-2163_20181017,838,PI,7.712257696241748e-5,0.27764127706470293
MC-2190_20181115,0,PI,-3.800967943667823e-5,-0.13683484597204165
MC-2190_20181115,126,PI,8.241327445017501e-5,0.29668778802063006
MC-2190_20181115,14,PI,-3.7974278399519627e-6,-0.013670740223827065
MC-2190_20181115,210,PI,1.0020371576486478e-4,0.3607333767535132
MC-2190_20181115,28,PI,1.9562823041257912e-5,0.07042616294852848
MC-2190_20181115,385,PI,9.685088126808342e-5,0.3486631725651003
MC-2190_20181115,490,PI,8.29331147425034e-5,0.2985592130730122
MC-2190_20181115,56,PI,4.4799202642661856e-5,0.16127712951358267
MC-2190_20181115,700,PI,9.312013855103156e-5,0.3352324987837136
MC-2190_20181115,84,PI,6.568586936402737e-5,0.23646912971049855
MC-2299_20181017,0,PI,-4.308619781473707e-5,-0.15511031213305346
MC-2299_20181017,110,PI,5.974685527780966e-5,0.21508867900011477
MC-2299_20181017,160,PI,9.060617494160425e-5,0.3261822297897753
MC-2299_20181017,21,PI,-1.38795297734356e-5,-0.04996630718436816
MC-2299_20181017,270,PI,1.4072332153546228e-4,0.5066039575276642
MC-2299_20181017,43,PI,5.498749748972776e-6,0.019795499096301992
MC-2299_20181017,473,PI,1.9346797472697452e-4,0.6964847090171082
MC-2299_20181017,618,PI,1.8309724472263998e-4,0.659150081001504
MC-2299_20181017,79,PI,3.498258565436324e-5,0.12593730835570766
MC-2299_20181017,838,PI,1.6255899134920863e-4,0.5852123688571511
MC-2517_20181017,0,PI,-7.952452666229812e-5,-0.28628829598427324
MC-2517_20181017,110,PI,1.2032237407873887e-4,0.43316054668345993
MC-2517_20181017,160,PI,1.7720484221312976e-4,0.6379374319672672
MC-2517_20181017,21,PI,-1.4486530981990629e-05,-0.05215151153516626
MC-2517_20181017,270,PI,2.496446302035675e-4,0.898720668732843
MC-2517_20181017,43,PI,2.30689573603625e-5,0.08304824649730501
MC-2517_20181017,473,PI,2.899843190933111e-4,1.0439435487359199
MC-2517_20181017,618,PI,2.730912586054892e-4,0.983128530979761
MC-2517_20181017,79,PI,8.011924573645485e-5,0.28842928465123746
MC-2517_20181017,838,PI,2.6127491641339816e-4,0.9405896990882334
MC-2986_20180914,0,PI,-3.509173972416751e-5,-0.12633026300700304
MC-2986_20180914,110,PI,4.842068909022902e-5,0.17431448072482447
MC-2986_20180914,160,PI,7.061128469108682e-5,0.25420062488791256
MC-2986_20180914,21,PI,-1.796160235588304e-5,-0.06466176848117895
MC-2986_20180914,270,PI,1.0009027724531174e-4,0.36032499808312224
MC-2986_20180914,43,PI,-1.8388208991965828e-7,-6.619755237107698e-4
MC-2986_20180914,473,PI,1.1501859080444455e-4,0.4140669268960004
MC-2986_20180914,618,PI,1.1440517493909724e-4,0.41185862978075005
MC-2986_20180914,79,PI,2.6599541117211515e-5,0.09575834802196145
MC-2986_20180914,838,PI,1.0909120026086562e-4,0.39272832093911625
PA-1059_20180914,0,PI,-4.992807426510143e-5,-0.17974106735436512
PA-1059_20180914,110,PI,5.3726757784191164e-5,0.1934163280230882
PA-1059_20180914,160,PI,8.2845801156593e-5,0.2982448841637348
PA-1059_20180914,21,PI,-3.191000043020758e-5,-0.11487600154874728
PA-1059_20180914,270,PI,1.0444355872605899e-4,0.37599681141381236
PA-1059_20180914,43,PI,-1.0680572591681785e-5,-0.03845006133005442
PA-1059_20180914,473,PI,1.5756396425874555e-4,0.567230271331484
PA-1059_20180914,618,PI,1.6355482741496732e-4,0.5887973786938824
PA-1059_20180914,79,PI,2.4700122606981148e-5,0.08892044138513214
PA-1059_20180914,838,PI,1.561106226623279e-4,0.5619982415843804
PA-1280_20181115,0,PI,-3.21615145015511e-5,-0.11578145220558395
PA-1280_20181115,126,PI,4.509904552854311e-5,0.16235656390275519
PA-1280_20181115,14,PI,-5.578223333524129e-6,-0.020081604000686863
PA-1280_20181115,210,PI,5.6511880664441675e-5,0.20344277039199002
PA-1280_20181115,28,PI,9.876622272111006e-6,0.035555840179599625
PA-1280_20181115,385,PI,6.626773375577263e-5,0.23856384152078147
PA-1280_20181115,490,PI,6.223222354309774e-5,0.22403600475515187
PA-1280_20181115,56,PI,2.423710230937667e-5,0.08725356831375601
PA-1280_20181115,700,PI,6.105683104656897e-5,0.2198045917676483
PA-1280_20181115,84,PI,3.5417676997012815e-5,0.12750363718924612
PA-1326_20180914,0,PI,-1.2552010017267008e-4,-0.4518723606216123
PA-1326_20180914,110,PI,3.23964822584896e-5,0.11662733613056256
PA-1326_20180914,160,PI,1.1157188028330653e-4,0.4016587690199035
PA-1326_20180914,21,PI,-1.0251529045725863e-4,-0.36905504564613106
PA-1326_20180914,270,PI,2.0701209949442316e-4,0.7452435581799234
PA-1326_20180914,43,PI,-7.282829735282517e-5,-0.2621818704701706
PA-1326_20180914,473,PI,3.351123697142238e-4,1.2064045309712057
PA-1326_20180914,618,PI,3.2456701502073514e-4,1.1684412540746465
PA-1326_20180914,79,PI,-2.1207966096136994e-5,-0.07634867794609318
PA-1326_20180914,838,PI,3.578877744262639e-4,1.28839598793455
PA-1411_20181017,0,PI,-9.25144143061209e-5,-0.33305189150203524
PA-1411_20181017,110,PI,7.144740666878744e-5,0.25721066400763476
PA-1411_20181017,160,PI,1.1962892927754702e-4,0.43066414539916925
PA-1411_20181017,21,PI,-4.570230590075511e-5,-0.1645283012427184
PA-1411_20181017,270,PI,1.9740885618931472e-4,0.710671882281533
PA-1411_20181017,43,PI,-1.4480144370316481e-5,-0.05212851973313933
PA-1411_20181017,473,PI,2.5473739773802307e-4,0.9170546318568831
PA-1411_20181017,618,PI,2.5035283872250195e-4,0.901270219401007
PA-1411_20181017,79,PI,3.223123298949475e-5,0.11603243876218111
PA-1411_20181017,838,PI,2.3188754397085134e-4,0.8347951582950648
PA-1441_20181031,0,PI,-4.936013976032088e-5,-0.17769650313715515
PA-1441_20181031,110,PI,2.0323109194633138e-5,0.0731631931006793
PA-1441_20181031,160,PI,3.2505386350643814e-5,0.11701939086231773
PA-1441_20181031,21,PI,-2.3358306375335033e-5,-0.08408990295120612
PA-1441_20181031,270,PI,4.6085549472040205e-5,0.16590797809934474
PA-1441_20181031,43,PI,-1.1071899411681845e-5,-0.03985883788205464
PA-1441_20181031,473,PI,5.319060003991656e-5,0.19148616014369962
PA-1441_20181031,618,PI,5.063415928631289e-5,0.1822829734307264
PA-1441_20181031,79,PI,6.2666399043110705e-6,0.022559903655519853
PA-1441_20181031,838,PI,5.1858167500708606e-5,0.186689403002551
PA-1441_20181115,0,PI,-2.6745275702510103e-5,-0.09628299252903637
PA-1441_20181115,126,PI,-9.760236872918388e-7,-0.0035136852742506195
PA-1441_20181115,14,PI,-1.714109788378716e-5,-0.06170795238163378
PA-1441_20181115,210,PI,2.560082832281659e-6,0.009216298196213973
PA-1441_20181115,28,PI,-1.1333067905339685e-5,-0.04079904445922287
PA-1441_20181115,385,PI,7.692733326236966e-6,0.02769383997445308
PA-1441_20181115,490,PI,8.842983260586147e-6,0.03183473973811013
PA-1441_20181115,56,PI,-7.726633982915062e-6,-0.027815882338494222
PA-1441_20181115,700,PI,1.0782007818900158e-5,0.038815228148040566
PA-1441_20181115,84,PI,-3.932257702318928e-6,-0.01415612772834814
PA-1465_20181031,0,PI,-7.618952553075921e-5,-0.27428229191073317
