Well,490:490
A1,1.343
B1,0.077
C1,0.125
D1,0.102
E1,0.121
F1,0.099
G1,0.097
H1,0.191
A2,1.316
B2,0.076
C2,0.124
D2,0.101
E2,0.118
F2,0.099
G2,0.098
H2,0.193
A3,0.708
B3,0.068
C3,0.105
D3,0.096
E3,0.091
F3,0.195
G3,0.149
H3,0.106
A4,0.696
B4,0.067
C4,0.075
D4,0.097
E4,0.192
F4,0.197
G4,0.149
H4,0.107
A5,0.383
B5,0.066
C5,0.184
D5,0.135
E5,0.134
F5,0.086
G5,0.144
H5,0.176
A6,0.381
B6,0.066
C6,0.187
D6,0.136
E6,0.134
F6,0.087
G6,0.15
H6,0.183
A7,0.217
B7,0.06
C7,0.208
D7,0.07
E7,0.093
F7,0.234
G7,0.163
H7,0.116
A8,0.217
B8,0.059
C8,0.213
D8,0.07
E8,0.094
F8,0.24
G8,0.175
H8,0.121
A9,0.133
B9,0.088
C9,0.12
D9,0.177
E9,0.149
F9,0.13
G9,0.084
H9,0.163
A10,0.135
B10,0.087
C10,0.121
D10,0.182
E10,0.154
F10,0.133
G10,0.086
H10,0.176
A11,0.099
B11,0.089
C11,0.079
D11,0.128
E11,0.127
F11,0.089
G11,0.128
H11,0.08
A12,0.099
B12,0.101
C12,0.08
D12,0.137
E12,0.133
F12,0.095
G12,0.138
H12,0.083
