Well,Plug_ID
A1,1484
A2,1484
A3,1599
A4,1599
A5,NA
A6,NA
A7,1756
A8,1756
A9,1258
A10,1258
A11,1470
A12,1470
B1,1304
B2,1304
B3,1211
B4,1211
B5,1495
B6,1495
B7,1256
B8,1256
B9,2729
B10,2729
B11,1305
B12,1305
C1,2404
C2,2404
C3,1688
C4,1688
C5,1100
C6,1100
C7,1217
C8,1217
C9,1327
C10,1327
C11,1180
C12,1180
D1,1483
D2,1483
D3,1811
D4,1811
D5,NA
D6,NA
D7,2169
D8,2169
D9,NA
D10,NA
D11,1146
D12,1146
E1,1325
E2,1325
E3,1065
E4,1065
E5,1723
E6,1723
E7,1690
E8,1690
E9,2156
E10,2156
E11,1116
E12,1116
F1,1409
F2,1409
F3,2858
F4,2858
F5,1560
F6,1560
F7,1344
F8,1344
F9,2394
F10,2394
F11,1285
F12,1285
G1,1630
G2,1630
G3,1175
G4,1175
G5,1240
G6,1240
G7,1127
G8,1127
G9,2203
G10,2203
G11,1625
G12,1625
H1,2996
H2,2996
H3,1300
H4,1300
H5,1576
H6,1576
H7,1764
H8,1764
H9,1091
H10,1091
H11,2013
H12,2013
