Mooring Name,Latitude,Longitude,Date,Time,xCO2  SW (wet) (umol/mol),QF,H2O (mmol/mol),xCO2  Air (wet) (umol/mol),QF,H2O (mmol/mol),Licor Atm Pressure  (hPa),Licor Temp (C),% O2,SST (C),Salinity,xCO2  SW (dry) (umol/mol),xCO2  Air (dry) (umol/mol),fCO2  SW (sat) uatm,fCO2  Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2
CRIMP2_158W_21N,21.458,-157.798,11/28/2013,15:17,531.6,2,10.56,391.1,2,10.34,1009.9,26,98.8,24.932,34.781,537.3,395.2,517.4,380.6,136.8,519.1,381.8,137.2
CRIMP2_158W_21N,21.458,-157.798,11/28/2013,18:17,-999,4,10.69,-999,4,10.48,1011.2,25.7,98.51,24.825,34.713,-999,-999,-999,-999,-999,-999,-999,-999
CRIMP2_158W_21N,21.458,-157.798,11/28/2013,21:17,525.3,2,11.98,390.3,2,11.78,1010.4,26.1,98.31,25.071,34.733,531.7,394.9,512.2,380.4,131.8,513.8,381.6,132.2
CRIMP2_158W_21N,21.458,-157.798,11/29/2013,0:17,521.1,2,11.77,389.5,2,11.17,1008.2,26.8,98.31,25.379,34.83,527.3,393.9,506.5,378.4,128.2,508.1,379.6,128.6
CRIMP2_158W_21N,21.458,-157.798,11/29/2013,3:17,508,2,11.64,389.5,2,11.05,1008.9,27.1,98.6,25.572,34.917,514,393.9,493.9,378.5,115.4,495.4,379.7,115.8
CRIMP2_158W_21N,21.458,-157.798,11/29/2013,6:17,508.9,2,10.81,390,2,10.57,1010.3,27,98.94,25.446,34.942,514.5,394.2,495.2,379.4,115.8,496.8,380.6,116.2
CRIMP2_158W_21N,21.458,-157.798,11/29/2013,9:17,505,2,11.01,391.1,2,11.13,1010.6,26.7,98.99,25.378,35.036,510.7,395.5,491.8,380.8,110.9,493.3,382.1,111.3
CRIMP2_158W_21N,21.458,-157.798,11/29/2013,12:17,486.4,2,11.24,390.5,2,11.02,1008.4,26.5,98.89,25.398,35.185,492,394.9,472.7,379.4,93.3,474.2,380.6,93.6
CRIMP2_158W_21N,21.458,-157.798,11/29/2013,15:17,510.4,2,11.11,390.8,2,10.88,1008,26.3,98.79,25.189,34.99,516.1,395.1,495.9,379.6,116.3,497.4,380.8,116.7
CRIMP2_158W_21N,21.458,-157.798,11/29/2013,18:17,524,2,10.22,397.2,2,10.34,1009.8,26,98.6,25.071,34.946,529.4,401.4,509.7,386.4,123.3,511.3,387.6,123.7
CRIMP2_158W_21N,21.458,-157.798,11/29/2013,21:17,521.5,2,11.65,389.1,2,11.42,1009,26.1,98.41,25.17,34.972,527.7,393.6,507.5,378.5,129,509.1,379.7,129.4
CRIMP2_158W_21N,21.458,-157.798,11/30/2013,0:17,514.5,2,11.95,389.8,2,11.39,1006.5,26.5,98.45,25.238,35.008,520.8,394.3,499.5,378.2,121.3,501.1,379.4,121.7
CRIMP2_158W_21N,21.458,-157.798,11/30/2013,3:17,497.1,2,11.05,390.2,2,10.82,1006.8,26.7,98.74,25.179,34.767,502.7,394.5,482.4,378.5,103.8,483.9,379.7,104.1
CRIMP2_158W_21N,21.458,-157.798,11/30/2013,6:17,540,2,10.92,392.5,2,10.69,1008.7,26.6,98.55,25.104,34.787,545.9,396.8,525,381.6,143.4,526.6,382.8,143.9
CRIMP2_158W_21N,21.458,-157.798,11/30/2013,9:17,570.1,2,11.1,391,2,10.88,1008.6,26.3,98.12,25.049,34.922,576.5,395.3,554.4,380.1,174.3,556.2,381.3,174.8
CRIMP2_158W_21N,21.458,-157.798,11/30/2013,12:17,506.9,2,10.62,391.1,2,10.72,1008.3,26.1,98.07,25.03,35.104,512.3,395.3,492.5,380,112.5,494.1,381.2,112.9
CRIMP2_158W_21N,21.458,-157.798,11/30/2013,15:17,503.5,2,10.75,391.5,2,10.55,1006.2,25.7,98.02,24.939,34.763,509,395.7,488.3,379.7,108.7,489.9,380.9,109
CRIMP2_158W_21N,21.458,-157.798,11/30/2013,18:17,557.7,2,11.03,391.1,2,10.83,1008.6,25.7,97.59,24.839,34.781,563.9,395.4,542.5,380.3,162.1,544.2,381.5,162.6
CRIMP2_158W_21N,21.458,-157.798,11/30/2013,21:17,545.6,2,11.5,390.2,2,11.3,1008.6,25.9,97.59,24.843,34.818,551.9,394.7,530.9,379.7,151.3,532.6,380.9,151.7
CRIMP2_158W_21N,21.458,-157.798,12/1/2013,0:17,526.7,2,11.45,390.4,2,11.23,1006.9,26.3,97.73,24.903,34.92,532.8,394.9,511.6,379.1,132.5,513.2,380.4,132.9
CRIMP2_158W_21N,21.458,-157.798,12/1/2013,3:17,491.3,2,10.9,390.8,2,10.65,1007.4,26.5,97.97,24.977,34.959,496.8,395,477.2,379.5,97.7,478.7,380.7,98
CRIMP2_158W_21N,21.458,-157.798,12/1/2013,6:17,554.3,2,10.84,391.7,2,10.62,1009.5,26.5,97.73,24.794,34.933,560.4,395.9,539.6,381.3,158.3,541.3,382.5,158.8
CRIMP2_158W_21N,21.458,-157.798,12/1/2013,9:17,549.6,2,11.13,390.9,2,10.56,1008.8,26.4,97.44,24.663,34.948,555.8,395,534.9,380.2,154.7,536.6,381.4,155.2
CRIMP2_158W_21N,21.458,-157.798,12/1/2013,12:17,498,2,10.69,390.9,2,10.47,1007.1,26.2,97.44,24.652,35.191,503.4,395,483.7,379.6,104.1,485.2,380.8,104.4
CRIMP2_158W_21N,21.458,-157.798,12/1/2013,15:17,493.5,2,10.91,391.2,2,10.67,1008.1,26,97.64,24.783,34.973,499,395.4,479.8,380.2,99.6,481.3,381.5,99.9
