Mooring Name,Latitude,Longitude,Date,Time,xCO2  SW (wet) (umol/mol),QF,H2O (mmol/mol),xCO2  Air (wet) (umol/mol),QF,H2O (mmol/mol),Licor Atm Pressure  (hPa),Licor Temp (C),% O2,SST (C),Salinity,xCO2  SW (dry) (umol/mol),xCO2  Air (dry) (umol/mol),fCO2  SW (sat) uatm,fCO2  Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2
CRIMP2_158W_21N,21.458,-157.798,11/2/2012,0:17,483.7,2,3.86,390.6,2,4.04,1009.4,29.2,100.76,26.638,35.377,485.5,392.2,465.8,376.3,89.6,467.3,377.4,89.8
CRIMP2_158W_21N,21.458,-157.798,11/2/2012,3:17,460.2,2,3.66,389.2,2,3.79,1009.4,28.6,101.48,26.806,35.326,461.9,390.7,443,374.7,68.3,444.4,375.9,68.5
CRIMP2_158W_21N,21.458,-157.798,11/2/2012,6:17,542.9,2,3.33,390,2,3.37,1010.9,27.9,100.85,26.482,35.339,544.7,391.4,523.6,376.2,147.4,525.2,377.3,147.9
CRIMP2_158W_21N,21.458,-157.798,11/2/2012,9:17,641.4,2,3.32,393.5,2,3.39,1010.8,27.3,99.66,26.02,35.32,643.6,394.9,619.1,379.9,239.2,621.1,381.1,240
CRIMP2_158W_21N,21.458,-157.798,11/2/2012,12:17,654.5,2,3.05,398,2,3.11,1010,26.8,98.85,25.942,35.336,656.5,399.2,631.1,383.8,247.4,633.1,385,248.1
CRIMP2_158W_21N,21.458,-157.798,11/2/2012,15:17,815.2,2,3.02,394.1,2,3.1,1009.3,26.1,96.97,25.726,35.335,817.6,395.3,785.8,380,405.9,788.3,381.2,407.2
CRIMP2_158W_21N,21.458,-157.798,11/2/2012,18:17,649.6,2,3.22,391.3,2,3.42,1010.1,25.8,97.21,25.748,35.318,651.7,392.7,626.8,377.7,249.1,628.8,378.9,249.9
CRIMP2_158W_21N,21.458,-157.798,11/2/2012,21:17,556,2,3.38,391.2,2,3.56,1009.2,26.7,97.43,26.283,35.322,557.9,392.6,535.6,376.9,158.7,537.2,378.1,159.2
CRIMP2_158W_21N,21.458,-157.798,11/3/2012,0:17,503.2,2,3.32,389.7,2,3.41,1006.3,27.5,98.3,26.643,35.32,504.9,391.1,482.9,374,108.9,484.4,375.2,109.2
CRIMP2_158W_21N,21.458,-157.798,11/3/2012,3:17,467.7,2,3.19,389.5,2,3.32,1007,27.6,99.45,26.746,35.329,469.2,390.8,448.9,374,74.9,450.3,375.1,75.2
