Well,630,663,750
A1,0.028,0.027,0.027
B1,0.036,0.063,0.027
C1,0.121,0.4,0.029
D1,0.186,0.625,0.029
E1,0.096,0.294,0.028
F1,0.117,0.386,0.029
G1,0.086,0.257,0.028
H1,0.137,0.492,0.029
A2,0.027,0.027,0.027
B2,0.037,0.067,0.028
C2,0.126,0.421,0.029
D2,0.198,0.671,0.029
E2,0.099,0.31,0.028
F2,0.121,0.407,0.029
G2,0.089,0.269,0.028
H2,0.144,0.524,0.029
A3,0.111,0.357,0.029
B3,0.066,0.184,0.029
C3,0.082,0.227,0.028
D3,0.092,0.293,0.029
E3,0.091,0.268,0.029
F3,0.037,0.063,0.029
G3,0.096,0.306,0.028
H3,0.071,0.201,0.028
A4,0.115,0.375,0.029
B4,0.067,0.193,0.028
C4,0.082,0.227,0.029
D4,0.098,0.314,0.029
E4,0.095,0.28,0.029
F4,0.036,0.063,0.028
G4,0.102,0.323,0.031
H4,0.074,0.212,0.028
A5,0.092,0.273,0.029
B5,0.089,0.267,0.028
C5,0.203,0.702,0.03
D5,0.06,0.159,0.028
E5,0.059,0.143,0.028
F5,0.065,0.172,0.028
G5,0.073,0.206,0.029
H5,0.045,0.092,0.028
A6,0.098,0.294,0.029
B6,0.093,0.277,0.03
C6,0.214,0.744,0.03
D6,0.064,0.169,0.03
E6,0.061,0.151,0.029
F6,0.07,0.181,0.03
G6,0.076,0.216,0.028
H6,0.046,0.097,0.028
A7,0.066,0.172,0.029
B7,0.1,0.313,0.029
C7,0.12,0.365,0.029
D7,0.072,0.22,0.028
E7,0.047,0.1,0.028
F7,0.158,0.527,0.035
G7,0.111,0.382,0.028
H7,0.115,0.373,0.028
A8,0.068,0.18,0.028
B8,0.103,0.327,0.029
C8,0.123,0.375,0.03
D8,0.075,0.23,0.028
E8,0.047,0.103,0.028
F8,0.158,0.55,0.029
G8,0.115,0.401,0.028
H8,0.122,0.398,0.028
A9,0.051,0.113,0.029
B9,0.099,0.301,0.029
C9,0.194,0.673,0.03
D9,0.088,0.249,0.029
E9,0.059,0.151,0.028
F9,0.102,0.345,0.028
G9,0.123,0.397,0.03
H9,0.134,0.445,0.028
A10,0.054,0.119,0.029
B10,0.102,0.312,0.029
C10,0.203,0.709,0.029
D10,0.091,0.257,0.029
E10,0.064,0.16,0.032
F10,0.105,0.356,0.028
G10,0.126,0.412,0.029
H10,0.139,0.46,0.029
A11,0.069,0.169,0.03
B11,0.114,0.335,0.036
C11,0.121,0.403,0.028
D11,0.093,0.279,0.032
E11,0.053,0.127,0.028
F11,0.078,0.241,0.029
G11,0.103,0.339,0.028
H11,0.078,0.217,0.029
A12,0.07,0.176,0.029
B12,0.116,0.344,0.035
C12,0.123,0.413,0.028
D12,0.096,0.29,0.033
E12,0.054,0.131,0.028
F12,0.082,0.253,0.029
G12,0.107,0.35,0.029
H12,0.08,0.227,0.028
