Well,490:490
A1,1.477
B1,0.076
C1,0.086
D1,0.206
E1,0.046
F1,0.045
G1,0.045
H1,0.045
A2,1.476
B2,0.076
C2,0.084
D2,0.2
E2,0.045
F2,0.045
G2,0.045
H2,0.044
A3,0.623
B3,0.069
C3,0.101
D3,0.129
E3,0.046
F3,0.045
G3,0.045
H3,0.045
A4,0.641
B4,0.071
C4,0.099
D4,0.127
E4,0.045
F4,0.045
G4,0.045
H4,0.046
A5,0.354
B5,0.063
C5,0.085
D5,0.166
E5,0.045
F5,0.045
G5,0.051
H5,0.046
A6,0.348
B6,0.064
C6,0.085
D6,0.165
E6,0.045
F6,0.045
G6,0.045
H6,0.045
A7,0.199
B7,0.062
C7,0.215
D7,0.103
E7,0.045
F7,0.046
G7,0.044
H7,0.046
A8,0.202
B8,0.06
C8,0.214
D8,0.102
E8,0.047
F8,0.045
G8,0.044
H8,0.045
A9,0.129
B9,0.159
C9,0.14
D9,0.045
E9,0.045
F9,0.045
G9,0.045
H9,0.045
A10,0.131
B10,0.158
C10,0.14
D10,0.045
E10,0.044
F10,0.045
G10,0.045
H10,0.044
A11,0.093
B11,0.136
C11,0.101
D11,0.045
E11,0.045
F11,0.045
G11,0.045
H11,0.045
A12,0.094
B12,0.135
C12,0.1
D12,0.049
E12,0.045
F12,0.046
G12,0.052
H12,0.046
