Plate,Well,Plug_ID
20201007 Plate 1,A1,Standard1
20201007 Plate 1,A2,Standard1
20201007 Plate 1,A3,Standard2
20201007 Plate 1,A4,Standard2
20201007 Plate 1,A5,Standard3
20201007 Plate 1,A6,Standard3
20201007 Plate 1,A7,Standard4
20201007 Plate 1,A8,Standard4
20201007 Plate 1,A9,Standard5
20201007 Plate 1,A10,Standard5
20201007 Plate 1,A11,Standard6
20201007 Plate 1,A12,Standard6
20201007 Plate 1,B1,Standard7
20201007 Plate 1,B2,Standard7
20201007 Plate 1,B3,Standard8
20201007 Plate 1,B4,Standard8
20201007 Plate 1,B5,Standard9
20201007 Plate 1,B6,Standard9
20201007 Plate 1,B7,Standard10
20201007 Plate 1,B8,Standard10
20201007 Plate 1,B9,2023
20201007 Plate 1,B10,2023
20201007 Plate 1,B11,2989
20201007 Plate 1,B12,2989
20201007 Plate 1,C1,2014
20201007 Plate 1,C2,2014
20201007 Plate 1,C3,1447
20201007 Plate 1,C4,1447
20201007 Plate 1,C5,1731
20201007 Plate 1,C6,1731
20201007 Plate 1,C7,1181
20201007 Plate 1,C8,1181
20201007 Plate 1,C9,1491
20201007 Plate 1,C10,1491
20201007 Plate 1,C11,1226
20201007 Plate 1,C12,1226
20201007 Plate 1,D1,1412
20201007 Plate 1,D2,1412
20201007 Plate 1,D3,2741
20201007 Plate 1,D4,2741
20201007 Plate 1,D5,1713
20201007 Plate 1,D6,1713
20201007 Plate 1,D7,1489
20201007 Plate 1,D8,1489
20201007 Plate 1,D9,1233
20201007 Plate 1,D10,1233
20201007 Plate 1,D11,1311
20201007 Plate 1,D12,1311
20201007 Plate 1,E1,1098
20201007 Plate 1,E2,1098
20201007 Plate 1,E3,2535
20201007 Plate 1,E4,2535
20201007 Plate 1,E5,2075
20201007 Plate 1,E6,2075
20201007 Plate 1,E7,2540
20201007 Plate 1,E8,2540
20201007 Plate 1,E9,1214
20201007 Plate 1,E10,1214
20201007 Plate 1,E11,1338
20201007 Plate 1,E12,1338
20201007 Plate 1,F1,2397
20201007 Plate 1,F2,2397
20201007 Plate 1,F3,1622
20201007 Plate 1,F4,1622
20201007 Plate 1,F5,1104
20201007 Plate 1,F6,1104
20201007 Plate 1,F7,1252
20201007 Plate 1,F8,1252
20201007 Plate 1,F9,1130
20201007 Plate 1,F10,1130
20201007 Plate 1,F11,1242
20201007 Plate 1,F12,1242
20201007 Plate 1,G1,2376
20201007 Plate 1,G2,2376
20201007 Plate 1,G3,1770
20201007 Plate 1,G4,1770
20201007 Plate 1,G5,2997
20201007 Plate 1,G6,2997
20201007 Plate 1,G7,2541
20201007 Plate 1,G8,2541
20201007 Plate 1,G9,1587
20201007 Plate 1,G10,1587
20201007 Plate 1,G11,2530
20201007 Plate 1,G12,2530
20201007 Plate 1,H1,1441
20201007 Plate 1,H2,1441
20201007 Plate 1,H3,2388
20201007 Plate 1,H4,2388
20201007 Plate 1,H5,2074
20201007 Plate 1,H6,2074
20201007 Plate 1,H7,1046
20201007 Plate 1,H8,1046
20201007 Plate 1,H9,2519
20201007 Plate 1,H10,2519
20201007 Plate 1,H11,1695
20201007 Plate 1,H12,1695
20201007 Plate 2,A1,1414
20201007 Plate 2,A2,1414
20201007 Plate 2,A3,1760
20201007 Plate 2,A4,1760
20201007 Plate 2,A5,1482
20201007 Plate 2,A6,1482
20201007 Plate 2,A7,1249
20201007 Plate 2,A8,1249
20201007 Plate 2,A9,2982
20201007 Plate 2,A10,2982
20201007 Plate 2,A11,1584
20201007 Plate 2,A12,1584
20201007 Plate 2,B1,1598
20201007 Plate 2,B2,1598
20201007 Plate 2,B3,1188
20201007 Plate 2,B4,1188
20201007 Plate 2,B5,1639
20201007 Plate 2,B6,1639
20201007 Plate 2,B7,2853
20201007 Plate 2,B8,2853
20201007 Plate 2,B9,1537
20201007 Plate 2,B10,1537
20201007 Plate 2,B11,1738
20201007 Plate 2,B12,1738
20201007 Plate 2,C1,1188
20201007 Plate 2,C2,1188
20201007 Plate 2,C3,2401
20201007 Plate 2,C4,2401
20201007 Plate 2,C5,2018
20201007 Plate 2,C6,2018
20201007 Plate 2,C7,1413
20201007 Plate 2,C8,1413
20201007 Plate 2,C9,1213
20201007 Plate 2,C10,1213
20201007 Plate 2,C11,2058
20201007 Plate 2,C12,2058
20201007 Plate 2,D1,1228
20201007 Plate 2,D2,1228
20201007 Plate 2,D3,1294
20201007 Plate 2,D4,1294
20201007 Plate 2,D5,1174
20201007 Plate 2,D6,1174
20201007 Plate 2,D7,2184
20201007 Plate 2,D8,2184
20201007 Plate 2,D9,1748
20201007 Plate 2,D10,1748
20201007 Plate 2,D11,1620
20201007 Plate 2,D12,1620
20201007 Plate 2,E1,1540
20201007 Plate 2,E2,1540
20201007 Plate 2,E3,1778
20201007 Plate 2,E4,1778
20201007 Plate 2,E5,1297
20201007 Plate 2,E6,1297
20201007 Plate 2,E7,1411
20201007 Plate 2,E8,1411
20201007 Plate 2,E9,1253
20201007 Plate 2,E10,1253
20201007 Plate 2,E11,1686
20201007 Plate 2,E12,1686
20201007 Plate 2,F1,2189
20201007 Plate 2,F2,2189
20201007 Plate 2,F3,2998
20201007 Plate 2,F4,2998
20201007 Plate 2,F5,1702
20201007 Plate 2,F6,1702
20201007 Plate 2,F7,1187
20201007 Plate 2,F8,1187
20201007 Plate 2,F9,1772
20201007 Plate 2,F10,1772
20201007 Plate 2,F11,1086
20201007 Plate 2,F12,1086
20201007 Plate 2,G1,1743
20201007 Plate 2,G2,1743
20201007 Plate 2,G3,1163
20201007 Plate 2,G4,1163
20201007 Plate 2,G5,1636
20201007 Plate 2,G6,1636
20201007 Plate 2,G7,1084
20201007 Plate 2,G8,1084
20201007 Plate 2,G9,1042
20201007 Plate 2,G10,1042
20201007 Plate 2,G11,1547
20201007 Plate 2,G12,1547
20201007 Plate 2,H1,2728
20201007 Plate 2,H2,2728
20201007 Plate 2,H3,1191
20201007 Plate 2,H4,1191
20201007 Plate 2,H5,2566
20201007 Plate 2,H6,2566
20201007 Plate 2,H7,1048
20201007 Plate 2,H8,1048
20201007 Plate 2,H9,2062
20201007 Plate 2,H10,2062
20201007 Plate 2,H11,1572
20201007 Plate 2,H12,1572
20201007 Plate 3,A1,1484
20201007 Plate 3,A2,1484
20201007 Plate 3,A3,1599
20201007 Plate 3,A4,1599
20201007 Plate 3,A5,2992
20201007 Plate 3,A6,2992
20201007 Plate 3,A7,1756
20201007 Plate 3,A8,1756
20201007 Plate 3,A9,1258
20201007 Plate 3,A10,1258
20201007 Plate 3,A11,1470
20201007 Plate 3,A12,1470
20201007 Plate 3,B1,1304
20201007 Plate 3,B2,1304
20201007 Plate 3,B3,1211
20201007 Plate 3,B4,1211
20201007 Plate 3,B5,1495
20201007 Plate 3,B6,1495
20201007 Plate 3,B7,1256
20201007 Plate 3,B8,1256
20201007 Plate 3,B9,2729
20201007 Plate 3,B10,2729
20201007 Plate 3,B11,1305
20201007 Plate 3,B12,1305
20201007 Plate 3,C1,2404
20201007 Plate 3,C2,2404
20201007 Plate 3,C3,1688
20201007 Plate 3,C4,1688
20201007 Plate 3,C5,1100
20201007 Plate 3,C6,1100
20201007 Plate 3,C7,1217
20201007 Plate 3,C8,1217
20201007 Plate 3,C9,1327
20201007 Plate 3,C10,1327
20201007 Plate 3,C11,1180
20201007 Plate 3,C12,1180
20201007 Plate 3,D1,1483
20201007 Plate 3,D2,1483
20201007 Plate 3,D3,1811
20201007 Plate 3,D4,1811
20201007 Plate 3,D5,NA
20201007 Plate 3,D6,NA
20201007 Plate 3,D7,2169
20201007 Plate 3,D8,2169
20201007 Plate 3,D9,NA
20201007 Plate 3,D10,NA
20201007 Plate 3,D11,1146
20201007 Plate 3,D12,1146
20201007 Plate 3,E1,1325
20201007 Plate 3,E2,1325
20201007 Plate 3,E3,1065
20201007 Plate 3,E4,1065
20201007 Plate 3,E5,1723
20201007 Plate 3,E6,1723
20201007 Plate 3,E7,1690
20201007 Plate 3,E8,1690
20201007 Plate 3,E9,2156
20201007 Plate 3,E10,2156
20201007 Plate 3,E11,1116
20201007 Plate 3,E12,1116
20201007 Plate 3,F1,1409
20201007 Plate 3,F2,1409
20201007 Plate 3,F3,2858
20201007 Plate 3,F4,2858
20201007 Plate 3,F5,1560
20201007 Plate 3,F6,1560
20201007 Plate 3,F7,1344
20201007 Plate 3,F8,1344
20201007 Plate 3,F9,2394
20201007 Plate 3,F10,2394
20201007 Plate 3,F11,1285
20201007 Plate 3,F12,1285
20201007 Plate 3,G1,1630
20201007 Plate 3,G2,1630
20201007 Plate 3,G3,1175
20201007 Plate 3,G4,1175
20201007 Plate 3,G5,1240
20201007 Plate 3,G6,1240
20201007 Plate 3,G7,1127
20201007 Plate 3,G8,1127
20201007 Plate 3,G9,2203
20201007 Plate 3,G10,2203
20201007 Plate 3,G11,1625
20201007 Plate 3,G12,1625
20201007 Plate 3,H1,2996
20201007 Plate 3,H2,2996
20201007 Plate 3,H3,1300
20201007 Plate 3,H4,1300
20201007 Plate 3,H5,1576
20201007 Plate 3,H6,1576
20201007 Plate 3,H7,1764
20201007 Plate 3,H8,1764
20201007 Plate 3,H9,1091
20201007 Plate 3,H10,1091
20201007 Plate 3,H11,2013
20201007 Plate 3,H12,2013
20201014 Plate 1,A1,Standard1
20201014 Plate 1,A2,Standard1
20201014 Plate 1,A3,Standard2
20201014 Plate 1,A4,Standard2
20201014 Plate 1,A5,Standard3
20201014 Plate 1,A6,Standard3
20201014 Plate 1,A7,Standard4
20201014 Plate 1,A8,Standard4
20201014 Plate 1,A9,Standard5
20201014 Plate 1,A10,Standard5
20201014 Plate 1,A11,Standard6
20201014 Plate 1,A12,Standard6
20201014 Plate 1,B1,Standard7
20201014 Plate 1,B2,Standard7
20201014 Plate 1,B3,Standard8
20201014 Plate 1,B4,Standard8
20201014 Plate 1,B5,Standard9
20201014 Plate 1,B6,Standard9
20201014 Plate 1,B7,Standard10
20201014 Plate 1,B8,Standard10
20201014 Plate 1,B9,1602
