Well,Plug_ID
A1,Standard1
A2,Standard1
A3,Standard2
A4,Standard2
A5,Standard3
A6,Standard3
A7,Standard4
A8,Standard4
A9,Standard5
A10,Standard5
A11,Standard6
A12,Standard6
B1,Standard7
B2,Standard7
B3,Standard8
B4,Standard8
B5,Standard9
B6,Standard9
B7,Standard10
B8,Standard10
B9,1602
B10,1602
B11,1727
B12,1727
C1,2165
C2,2165
C3,1423
C4,1423
C5,2871
C6,2871
C7,1549
C8,1549
C9,2001
C10,2001
C11,2864
C12,2864
D1,2168
D2,2168
D3,1718
D4,1718
D5,1232
D6,1232
D7,1439
D8,1439
D9,2192
D10,2192
D11,1753
D12,1753
E1,1288
E2,1288
E3,1156
E4,1156
E5,1570
E6,1570
E7,1621
E8,1621
E9,1088
E10,1088
E11,1655
E12,1655
F1,1710
F2,1710
F3,1724
F4,1724
F5,2063
F6,2063
F7,1432
F8,1432
F9,1752
F10,1752
F11,2666
F12,2666
G1,1298
G2,1298
G3,1626
G4,1626
G5,2060
G6,2060
G7,1717
G8,1717
G9,1444
G10,1444
G11,2003
G12,2003
H1,2515
H2,2515
H3,1741
H4,1741
H5,1430
H6,1430
H7,2521
H8,2521
H9,1286
H10,1286
H11,1500
H12,1500
