Well,Plug_ID
A1,Standard1
A2,Standard1
A3,Standard2
A4,Standard2
A5,Standard3
A6,Standard3
A7,Standard4
A8,Standard4
A9,Standard5
A10,Standard5
A11,Standard6
A12,Standard6
B1,Standard7
B2,Standard7
B3,Standard8
B4,Standard8
B5,Standard9
B6,Standard9
B7,Standard10
B8,Standard10
B9,1344
B10,1344
B11,2189
B12,2189
C1,2858
C2,2858
C3,1811
C4,1811
C5,1686
C6,1686
C7,2853
C8,2853
C9,1065
C10,1065
C11,1163
C12,1163
D1,1285
D2,1285
D3,2996
D4,2996
D5,1411
D6,1411
D7,1258
D8,1258
D9,1327
D10,1327
D11,1760
D12,1760
E1,1325
E2,1325
E3,2156
E4,2156
E5,2401
E6,2401
E7,1217
E8,1217
E9,2013
E10,2013
E11,1228
E12,1228
F1,1146
F2,1146
F3,1702
F4,1702
F5,1104
F6,1104
F7,1127
F8,1127
F9,1091
F10,1091
F11,1482
F12,1482
G1,1175
G2,1175
G3,1084
G4,1084
G5,2169
G6,2169
G7,1688
G8,1688
G9,1191
G10,1191
G11,1625
G12,1625
H1,1572
H2,1572
H3,1483
H4,1483
H5,1414
H6,1414
H7,2062
H8,2062
H9,2203
H10,2203
H11,1764
H12,1764
