Well,490:490
A1,1.048
B1,0.078
C1,0.098
D1,0.149
E1,0.111
F1,0.137
G1,0.083
H1,0.17
A2,1.04
B2,0.079
C2,0.097
D2,0.148
E2,0.11
F2,0.139
G2,0.083
H2,0.163
A3,0.552
B3,0.068
C3,0.16
D3,0.086
E3,0.118
F3,0.162
G3,0.135
H3,0.185
A4,0.55
B4,0.067
C4,0.159
D4,0.088
E4,0.119
F4,0.17
G4,0.12
H4,0.183
A5,0.312
B5,0.064
C5,0.133
D5,0.139
E5,0.129
F5,0.175
G5,0.124
H5,0.076
A6,0.311
B6,0.065
C6,0.134
D6,0.14
E6,0.133
F6,0.158
G6,0.128
H6,0.076
A7,0.188
B7,0.06
C7,0.099
D7,0.094
E7,0.1
F7,0.131
G7,0.127
H7,0.135
A8,0.185
B8,0.065
C8,0.105
D8,0.11
E8,0.101
F8,0.129
G8,0.124
H8,0.129
A9,0.122
B9,0.082
C9,0.1
D9,0.135
E9,0.09
F9,0.133
G9,0.182
H9,0.151
A10,0.123
B10,0.083
C10,0.135
D10,0.138
E10,0.093
F10,0.13
G10,0.189
H10,0.149
A11,0.091
B11,0.09
C11,0.098
D11,0.163
E11,0.092
F11,0.077
G11,0.102
H11,0.115
A12,0.091
B12,0.09
C12,0.099
D12,0.166
E12,0.135
F12,0.078
G12,0.083
H12,0.121
