Well,Plug_ID
A1,StandardA
A2,StandardA
A3,StandardB
A4,StandardB
A5,StandardC
A6,StandardC
A7,StandardD
A8,StandardD
A9,StandardE
A10,StandardE
A11,StandardF
A12,StandardF
B1,StandardG
B2,StandardG
B3,StandardH
B4,StandardH
B5,StandardI
B6,StandardI
B7,1469
B8,1469
B9,1149
B10,1149
B11,1135
B12,1135
C1,1998
C2,1998
C3,2297
C4,2297
C5,2301
C6,2301
C7,1638
C8,1638
C9,2378
C10,2378
C11,1679
C12,1679
D1,1247
D2,1247
D3,2211
D4,2211
D5,2398
D6,2398
D7,1480
D8,1480
D9,1533
D10,1533
D11,1538
D12,1538
E1,1426
E2,1426
E3,2044
E4,2044
E5,1066
E6,1066
E7,1036
E8,1036
E9,1210
E10,1210
E11,1438
E12,1438
F1,1166
F2,1166
F3,2529
F4,2529
F5,1568
F6,1568
F7,1102
F8,1102
F9,1578
F10,1578
F11,1592
F12,1592
G1,2826
G2,2826
G3,2372
G4,2372
G5,1045
G6,1045
G7,2011
G8,2011
G9,1309
G10,1309
G11,2852
G12,2852
H1,2153
H2,2153
H3,2172
H4,2172
H5,1640
H6,1640
H7,2396
H8,2396
H9,2749
H10,2749
H11,1585
H12,1585
