Calibration.Date,Time,Probe.Number,reads in 7.00,reads in 10.01,pH 7.00 signal,pH 10.01 signal,reads in 10.01,notes
20180916,16:00,1,NA,NA,746,1045,NA,calibrated
20180916,16:00,2,NA,NA,744,1046,NA,calibrated
20180916,16:00,3,NA,NA,747,1042,NA,calibrated
20180916,16:00,4,NA,NA,753,1047,NA,calibrated
20180916,16:00,5,NA,NA,739,1034,NA,calibrated
20180916,16:00,6,NA,NA,747,1042,NA,calibrated
20180916,16:00,7,NA,NA,738,1028,NA,calibrated
20180916,16:00,8,NA,NA,741,1039,NA,calibrated
20180916,16:00,9,NA,NA,739,1040,NA,calibrated
20180916,16:00,10,NA,NA,745,1044,NA,calibrated
20180916,16:00,11,NA,NA,749,1039,NA,calibrated
20180916,16:00,12,NA,NA,744,1035,NA,calibrated
20180921,830,4,6.82,NA,731,1026,NA,calibrated
20180921,8:40,6,6.85,NA,728,1015,NA,calibrated
20180922,8:30,6,7.08,10.1,733,1023,NA,calibrated
20180922,8:40,4,7.09,10.1,736,1032,NA,calibrated
20180925,10:00,4,NA,NA,734,1035,NA,calibrated
20180925,10:00,6,NA,NA,743,1040,NA,calibrated
20180927,7:45,6,NA,NA,NA,NA,NA,calibrated
20180927,7:50,8,NA,NA,NA,NA,NA,calibrated
20180928,15:39,1,6.83,NA,739,1034,10,calibrated
20180928,15:51,7,7.32,NA,729,1021,9.99,calibrated
20180928,16:01,8,7.13,NA,718,1012,10,calibrated
20180928,16:13,6,NA,NA,720,1008,10,calibrated
20180929,11:00,12,NA,NA,742,1036,NA,calibrated
20180930,10:24,12,NA,NA,740,1035,10,calibrated
20180930,10:27,11,NA,NA,743,1038,10,calibrated
20180930,10:30,10,NA,NA,743,1044,10,calibrated
20180930,10:37,9,NA,NA,728,1030,10,calibrated
20180930,10:39,2,NA,NA,735,1040,10,calibrated
20180930,10:43,3,NA,NA,744,1041,10,calibrated
20180930,10:47,4,NA,NA,735,1031,9.99,calibrated
20180930,10:52,5,NA,NA,733,1024,10,calibrated
20181001,12:18,5,NA,NA,729,1030,10,calibrated
20181004,9:03,6,NA,NA,733,1030,10,calibrated
20181004,9:11,8,NA,NA,734,1036,10,calibrated
20181009,13:50,1,7.01,9.99,NA,NA,NA,not calibrated
20181009,13:42,2,6.99,9.97,NA,NA,NA,not calibrated
20181009,12:07,3,7.04,10,747,1047,10,calibrated
20181009,11:56,4,6.94,9.95,728,1023,10,calibrated
20181009,11:45,5,6.99,10,NA,NA,NA,not calibrated
20181009,10:30,6,6.97,9.98,NA,NA,NA,not calibrated
20181009,14:00,7,7,10,NA,NA,NA,not calibrated
20181009,14:04,8,7.02,10,NA,NA,NA,not calibrated
20181009,14:14,9,6.99,9.95,NA,NA,NA,not calibrated
20181010,13:10,10,7.02,10,NA,NA,NA,not calibrated
