mVTris,TTris,,,,,
-73.1,22.74,,,,,
-72.7,23.28,,,,, 
-72.1,23.78,,,,,
-71.6,24.21,,,,,
-71,24.68,,,,,
-70.3,25.23,,,,,
-69.6,25.69,,,,,
-68.9,26.16,,,,,
-68.2,26.63,,,,,
-67.7,27.07,,,,,
-67.1,27.55,,,,,
-66.4,28.04,,,,,
