mVTris,TTris
-63.1,26.08
-62.1,26.37
-62.6,26.5
-62.1,26.88
-61.5,27.34
-61.1,27.65
-60.6,28.01
-60,28.48
-59.5,28.86
-58.9,29.3
-58.5,29.58
