mVTris,TTris,,,,,
-65.3,24.78,,,,,
-65.0,25.05,,,,, 
-64.5,25.41,,,,,
-64.0,25.81,,,,,
-63.6,26.10,,,,,
-63.1,26.51,,,,,
-62.6,26.85,,,,,
-62.3,27.12,,,,,
-61.9,27.42,,,,,
-61.4,27.75,,,,,
-61.0,28.08,,,,,
-60.6,28.40,,,,,
-60.1,28.76,,,,,
-59.8,29.03,,,,,
-59.3,29.36,,,,,
-58.8,29.73,,,,,
-58.4,30.06,,,,,
-58.0,30.40,,,,,
