mVTris,TTris
-63.8,26.18
-63.0,26.67
-62.6,27.01
-62.2,27.29
-61.8,27.55
-61.3,27.97
-60.6,28.48
-60.1,28.88
-59.6,29.20
-59.1,29.58
-58.8,29.86
-58.4,30.12
