mVTris,TTris,,,,,
-63.3,25.1,,,,,
-63,25.6,,,,, 
-62.5,26.1,,,,,
-62,26.54,,,,,
-61.4,26.99,,,,,
-61,27.35,,,,,
-60.5,27.75,,,,,
-59.9,28.17,,,,,
-59.4,28.58,,,,,
-58.8,28.95,,,,,
-58.3,29.35,,,,,
-57.7,29.77,,,,,
-57.4,30.05,,,,,
-56.9,30.44,,,,,
-56.3,30.86,,,,,
-55.7,31.28,,,,,
