mVTris,TTris,,,,,
-67.5,24.51,,,,,
-65.9,25.07,,,,, 
-65,25.54,,,,,
-64.4,26.01,,,,,
-63.6,26.61,,,,,
-63,26.99,,,,,
-62.4,27.44,,,,,
-61.9,27.83,,,,,
-61.3,28.23,,,,,
-60.6,28.73,,,,,
-60,29.23,,,,,
-59.3,29.65,,,,,
-58.8,30.07,,,,,
-58.2,30.49,,,,,
-57.6,30.89,,,,,
