mVTris,TTris,,,,,
-62.9,25.1,,,,,
-62.3,25.54,,,,, 
-61.7,25.97,,,,,
-61.1,26.44,,,,,
-60.5,26.88,,,,,
-60,27.26,,,,,
-59.5,27.64,,,,,
-59,28.03,,,,,
-58.4,28.45,,,,,
-57.9,28.85,,,,,
-57.3,29.27,,,,,
-56.8,29.67,,,,,
-56.2,30.06,,,,,
-55.8,30.42,,,,,
