mVTris,TTris,,,,,
-78.2,20.89,,,,,
-77.7,21.33,,,,, 
-77.2,21.72,,,,,
-76.6,22.14,,,,,
-76,22.59,,,,,
-75.5,22.91,,,,,
-75,23.32,,,,,
-74.4,23.71,,,,,
-73.9,24.05,,,,,
-73.5,24.41,,,,,
-73,24.8,,,,,
-72.5,25.18,,,,,
-72.1,25.51,,,,,
-71.5,25.94,,,,,
