mVTris,TTris,,,,,
-69.4,23.4,,,,,
-68.9,23.98,,,,, 
-68.1,24.55,,,,,
-67.5,25.03,,,,,
-66.9,25.44,,,,,
-66.1,25.96,,,,,
-65.4,26.43,,,,,
-64.8,26.9,,,,,
-64.1,27.4,,,,,
-63.6,27.84,,,,,
