mVTris,TTris,,,,,
-62,25.14,,,,,
-61.5,25.56,,,,, 
-60.9,26.02,,,,,
-60.2,26.5,,,,,
-59.6,26.95,,,,,
-59.1,27.34,,,,,
-58.6,27.78,,,,,
-58,28.21,,,,,
-57.5,28.6,,,,,
-57,28.98,,,,,
-56.5,29.37,,,,,
-55.9,29.82,,,,,
-55.4,30.2,,,,,
