Time,Apex.PAR,LICOR.PAR,Apogee.PAR,Date,Calib.Type,Tank
15:04:59,183,137,N/A,20180917,Apex-LICOR192,12
15:05:15,183,110,N/A,20180917,Apex-LICOR192,12
15:05:25,183,124,N/A,20180917,Apex-LICOR192,12
15:05:36,183,145,N/A,20180917,Apex-LICOR192,12
15:05:52,154,129,N/A,20180917,Apex-LICOR192,12
15:06:06,154,121,N/A,20180917,Apex-LICOR192,12
15:06:24,154,104,N/A,20180917,Apex-LICOR192,12
15:13:47,154,78,N/A,20180917,Apex-LICOR192,12
N/A,N/A,57,78,20180917,Apogee-LICOR192,12
N/A,N/A,58,79,20180917,Apogee-LICOR192,12
N/A,N/A,41,54,20180917,Apogee-LICOR192,12
12:50,N/A,582,796,20180919,Apogee-LICOR192,9
12:50,N/A,579,818,20180919,Apogee-LICOR192,9
12:50,N/A,550,772,20180919,Apogee-LICOR192,9
12:50,N/A,589,782,20180919,Apogee-LICOR192,9
12:50,N/A,526,741,20180919,Apogee-LICOR192,9
12:50,N/A,556,775,20180919,Apogee-LICOR192,9
12:50,N/A,542,742,20180919,Apogee-LICOR192,9
12:50,N/A,556,744,20180919,Apogee-LICOR192,9
12:50,N/A,541,727,20180919,Apogee-LICOR192,9
12:50,N/A,559,825,20180919,Apogee-LICOR192,9
12:50,N/A,593,803,20180919,Apogee-LICOR192,9
13:14:24,336,387,N/A,20180919,Apex-LICOR192,7
13:14:40,336,467,N/A,20180919,Apex-LICOR192,7
13:14:50,336,458,N/A,20180919,Apex-LICOR192,7
13:15:05,336,439,N/A,20180919,Apex-LICOR192,7
13:16:25,680,340,N/A,20180919,Apex-LICOR192,7
13:17:20,635,415,N/A,20180919,Apex-LICOR192,7
13:18:05,639,521,N/A,20180919,Apex-LICOR192,7
13:18:20,639,509,N/A,20180919,Apex-LICOR192,7
13:18:50,642,513,N/A,20180919,Apex-LICOR192,7
13:19:05,642,499,N/A,20180919,Apex-LICOR192,7
