Pan.ID,Plug_ID,partner,initial.mass.g,dry.pan.mass.g,burnt.pan.mass.g,
1,1180,Host,1.1146,1.1708,1.1579,
2,1634,Sym,1.1236,1.1462,1.1367,
3,1411,Host,1.112,1.1613,1.1521,
4,1492,Sym,1.1479,1.1616,1.158,
5,1764,Host,1.1224,1.1747,1.1654,
6,1247,Host,1.1219,1.17,1.1611,
7,2003,Sym,1.1184,1.1343,1.1288,
8,1130,Sym,1.1302,1.1436,1.1409,
9,2744,Host,1.1174,1.1737,1.1615,
10,2540,Host,1.131,1.1764,1.1718,
11,NA,NA,1.1382,1.1802,1.1726,
12,1052,Host,1.1234,1.1736,1.1682,
13,1690,Host,1.1195,1.1754,1.163,
14,1233,Sym,1.1809,1.1999,1.1921,
15,1038,Sym,1.1404,1.156,1.1509,
16,1086,Host,1.1164,1.1746,1.1607,
17,1482,Host,1.1472,1.1945,1.1882,
18,1549,Sym,1.1225,1.141,1.1341,
19,1741,Host,1.1142,1.166,1.1571,
20,1318,Host,1.1199,1.1668,1.1627,
21,1324,Sym,1.1194,1.1383,1.1314,
22,2566,Sym,1.1165,1.129,1.1267,
23,1213,Host,1.1264,1.1789,1.1688,
24,1214,Sym,1.114,1.1281,1.124,
25,1498,Sym,1.1237,1.1396,1.1343,
26,1311,Sym,1.1248,1.137,1.1345,
27,1615,Host,1.125,1.1769,1.1695,
28,NA,NA,1.1238,1.1381,1.1337,
29,1213,Sym,1.12,1.1336,1.13,
30,2018,Sym,1.1472,1.1588,1.1578,
31,2992,Sym,1.1356,1.1478,1.1458,
32,1620,Sym,1.1425,1.1542,1.1519,
33,1489,Sym,1.1432,1.1554,1.1538,
34,2869,Sym,1.142,1.1587,1.1536,
35,2168,Sym,1.1411,1.1561,1.1516,
36,2015,Sym,1.1356,1.1525,1.1462,
37,1718,Sym,1.1515,1.1663,1.1618,
38,1606,Sym,1.1345,1.1456,1.1433,
39,1752,Sym,1.1107,1.1274,1.1216,
40,1294,Sym,1.1134,1.1253,1.1237,
41,2001,Sym,1.1383,1.1573,1.1508,
42,2867,Sym,1.1188,1.1318,1.1285,
43,2732,Sym,1.1634,1.1767,1.174,
44,2169,Host,1.1733,1.2235,1.2159,
45,1111,Sym,1.1464,1.1646,1.1639,
46,1085,Host,1.1352,1.1861,1.1796,
47,1145,Sym,1.1308,1.1419,1.1406,
48,1492,Host,1.1491,1.2028,1.1925,
49,1048,Sym,1.1518,1.1636,1.1622,
50,1456,Host,1.1516,1.209,1.1956,
51,2382,Host,1.1215,1.1712,1.1628,
52,2744,Sym,1.1223,1.135,1.1317,
53,1606,Host,1.1149,1.1574,1.1521,
54,NA,NA,1.1181,1.1637,1.16,
55,1472,Sym,1.1437,1.155,1.1536,
56,1224,Host,1.1505,1.2048,1.1934,
57,1636,Sym,1.126,1.1414,1.136,
58,2874,Sym,1.1535,1.1664,1.1631,
59,2014,Host,1.1507,1.2007,1.199,
60,1410,Sym,1.1447,1.1564,1.1548,
61,1252,Sym,1.1349,1.1586,1.1468,
62,2874,Host,1.1419,1.1926,1.1827,
63,1495,Sym,1.1416,1.155,1.1506,
64,1756,Host,1.15,1.1944,1.1887,
65,1232,Sym,1.1525,1.1728,1.1656,
66,2867,Host,1.142,1.192,1.1865,
67,2732,Host,1.1542,1.2104,1.2003,
68,1718,Host,1.1382,1.1884,1.1821,
69,1224,Sym,1.1366,1.1506,1.1465,
70,1482,Sym,1.1428,1.1553,1.1531,
71,1456,Sym,1.1415,1.1556,1.1514,
72,2303,Sym,1.127,1.1409,1.1372,
73,1214,Host,1.1418,1.192,1.1837,
74,2382,Sym,1.1496,1.1619,1.159,
75,1170,Sym,1.1297,1.1441,1.1393,
76,2303,Host,1.1354,1.1851,1.18,
77,1188,Sym,1.1524,1.1664,1.1629,
78,1085,Sym,1.147,1.1612,1.1574,
79,1472,Host,1.1391,1.1862,1.179,
80,1498,Host,1.1431,1.1962,1.1891,
81,,,,,,
82,1620,Host,1.1478,1.1978,1.1889,
83,1145,Host,1.1497,1.1936,1.1884,
84,1180,Sym,1.1551,1.1717,1.1652,
85,1764,Sym,1.1472,1.1607,1.1571,
86,2566,Host,1.1475,1.1952,1.1881,
87,1130,Host,1.1526,1.1867,1.1741,
88,1086,Sym,1.1499,1.1643,1.1605,
89,1234,Sym,1.1472,1.1634,1.1583,
90,NA,NA,1.1375,1.1487,1.1467,
91,2871,Sym,1.1521,1.1709,1.1633,
92,1534,Sym,1.153,1.1685,1.1637,
93,2982,Sym,1.1423,1.155,1.1529,
94,2165,Host,1.1357,1.1946,1.1852,
95,NA,NA,1.1598,1.1751,1.1715,
96,1690,Sym,1.1422,1.158,1.1525,
97,1434,Sym,1.1461,1.1582,1.1558,
98,2751,Sym,1.1401,1.1547,1.151,
99,2003,Host,1.1521,1.2065,1.1977,
100,1411,Sym,1.1493,1.1635,1.1592,
101,1741,Sym,1.1602,1.1732,1.1703,
102,1247,Sym,1.1441,1.1577,1.1543,
103,2169,Sym,1.136,1.1485,1.1453,
104,1311,Host,1.1271,1.1795,1.1691,
105,1756,Sym,1.141,1.153,1.1507,
106,2014,Sym,1.148,1.1619,1.1583,
107,2192,Sym,1.1339,1.1487,1.1444,
108,1052,Sym,1.1461,1.1604,1.1568,
109,2540,Sym,1.1408,1.1521,1.1511,
110,1434,Host,1.1303,1.1803,1.1717,
111,1636,Host,1.1309,1.1933,1.174,
112,1410,Host,1.1464,1.1966,1.1907,
113,2165,Sym,1.1452,1.1643,1.1564,
114,1156,Sym,1.1486,1.165,1.1592,
115,1318,Sym,1.15,1.1615,1.1592,
116,NA,NA,NA,NA,NA,
117,NA,NA,NA,NA,NA,
118,NA,NA,NA,NA,NA,
119,NA,NA,NA,NA,NA,
120,1630,Sym,1.1341,1.1483,1.1443,
121,1602,Sym,1.1388,1.1572,1.1501,
122,1253,Sym,1.1474,1.1595,1.1573,
123,1572,Sym,1.1337,1.1481,1.1444,
124,1770,Host,1.1316,1.1895,1.1753,
125,1702,Sym,1.1405,1.1529,1.1506,
126,1077,Sym,1.1321,1.1527,1.1432,
127,1208,Sym,1.118,1.132,1.1288,
128,1046,Sym,1.1407,1.1548,1.1513,
129,2189,Host,1.1555,1.1985,1.1933,
130,1187,Host,1.1476,1.2257,1.1976,
131,2013,Host,1.1315,1.1875,1.1739,
132,1578,Sym,1.1191,1.1361,1.1305,
133,2669,Sym,1.1461,1.1617,1.1566,
134,1578,Host,1.13,1.188,1.1741,
135,2058,Sym,1.129,1.1419,1.1396,
136,2063,Sym,1.1321,1.1491,1.1418,
137,1738,Sym,1.1266,1.1452,1.1375,
138,1423,Sym,1.1232,1.1379,1.1339,
139,1439,Sym,1.1257,1.1454,1.1367,
140,1188,Host,1.1411,1.1874,1.1805,
141,1100,Sym,1.1452,1.1617,1.1561,
142,1084,Sym,1.1295,1.1481,1.1414,
143,1211,Host,1.1362,1.2187,1.1871,
144,NA,NA,1.133,1.1875,1.1783,
145,1778,Host,1.1343,1.1833,1.1742,
146,2401,Sym,1.1219,1.1374,1.1327,
147,1228,Sym,1.1319,1.1513,1.1427,
148,1252,Host,1.1288,1.2084,1.179,
149,1215,Sym,1.1466,1.161,1.1609,
150,1547,Host,1.1314,1.1781,1.1703,
151,2013,Sym,1.1342,1.1501,1.1453,
152,2729,Sym,1.141,1.1594,1.1523,
153,2189,Sym,1.1349,1.1476,1.145,
154,1412,Host,1.1299,1.1798,1.1704,
155,NA,NA,1.1313,1.1808,1.1747,
156,NA,NA,1.1374,1.1544,1.1485,
157,2992,Host,1.1169,1.1638,1.1571,
158,1353,Sym,1.125,1.1533,1.1456,
159,1752,Host,1.1506,1.2082,1.194,
160,1111,Host,1.1416,1.1953,1.1855,
161,2192,Host,1.1389,1.1971,1.1817,
162,1299,Sym,1.1351,1.1506,1.146,
163,2869,Host,1.133,1.1841,1.1757,
164,NA,NA,1.1273,1.1804,1.1711,
165,1772,Host,1.1344,1.1996,1.1801,
166,1077,Host,1.1267,1.193,1.1717,
167,1495,Host,1.1236,1.1738,1.1642,
168,1324,Host,1.1297,1.1895,1.1739,
169,2751,Host,1.124,1.176,1.1637,
170,1702,Host,1.1169,1.1649,1.158,
171,1423,Host,1.1187,1.1756,1.1622,
172,1547,Sym,1.128,1.1397,1.1386,
173,1211,Sym,1.1103,1.143,1.1231,
174,NA,NA,1.1219,1.1435,1.1424,
175,1038,Host,1.1268,1.1809,1.1717,
176,1046,Host,1.1313,1.1828,1.1729,
177,1772,Sym,1.1321,1.1479,1.143,
178,1253,Host,1.1212,1.1636,1.1589,
179,1100,Host,1.143,1.171,1.1571,
180,1084,Host,1.1164,1.1905,1.166,
181,2060,Host,1.1227,1.1809,1.1663,
182,2058,Host,1.1271,1.1737,1.1669,
183,2062,Host,1.1266,1.1759,1.1631,
184,2062,Sym,1.1308,1.146,1.1412,
185,1187,Sym,1.132,1.1537,1.1439,
186,1778,Sym,1.1193,1.1328,1.1297,
187,1534,Host,1.1184,1.1697,1.1622,
188,2060,Sym,1.1194,1.1372,1.1301,
189,1098,Sym,1.1337,1.1562,1.153,
190,1770,Sym,1.1511,1.1672,1.1619,
191,1234,Host,1.1228,1.1752,1.1668,
192,2001,Host,1.1455,1.2003,1.1904,
193,1572,Host,1.1522,1.2038,1.1929,
194,1299,Host,1.1328,1.1861,1.1774,
195,1695,Host,1.1299,1.1818,1.1743,
196,NA,NA,1.1369,1.1508,1.1476,
197,1215,Host,1.1224,1.174,1.1633,
198,1439,Host,1.1258,1.1923,1.1698,
199,2871,Host,1.1226,1.1783,1.1633,
200,1412,Sym,1.1242,1.1375,1.1346,
201,1208,Host,1.1216,1.1691,1.1632,
202,1228,Host,1.1206,1.1824,1.1634,
203,1738,Host,1.1272,1.1873,1.1673,
204,1630,Host,1.1212,1.1754,1.1633,
205,2063,Host,1.123,1.1796,1.165,
206,2982,Host,1.1172,1.1633,1.1578,
207,1695,Sym,1.1251,1.1402,1.1359,
208,1602,Host,1.1244,1.1908,1.1715,
209,2168,Host,1.1274,1.1792,1.1713,
210,NA,NA,1.1317,1.1422,1.1456,
211,1233,Host,1.1288,1.1979,1.1784,
212,2015,Host,1.1142,1.1693,1.1557,
213,2729,Host,1.1418,1.1923,1.1796,
214,2669,Host,1.1397,1.1956,1.1822,
215,1549,Host,1.1366,1.1897,1.1817,
216,2011,Host,1.1389,1.1592,1.1539,
217,1560,Host,1.1472,1.2249,1.216,
218,2872,Sym,1.1403,1.1528,1.1491,
219,1210,Host,1.1245,1.1709,1.1673,
220,2010,Host,1.141,1.1902,1.1853,
221,2532,Host,1.1298,1.1775,1.1726,
222,2978,Host,1.1335,1.1537,1.1471,
223,1565,Host,1.1344,1.1862,1.1797,
224,1629,Host,1.1278,1.1859,1.176,
225,1443,Host,1.1248,1.1775,1.1702,
226,1217,Host,1.138,1.1857,1.1789,
227,1175,Host,1.1358,1.1858,1.1792,
228,2565,Host,1.1226,1.1859,1.1772,
229,2301,Host,1.1302,1.1543,1.1482,
230,1067,Host,1.134,1.1839,1.1776,
231,1272,Host,1.1429,1.1809,1.1735,
232,2394,Host,1.1228,1.1748,1.1674,
233,1638,Host,1.1287,1.2008,1.1888,
234,1127,Host,1.1189,1.1939,1.1873,
235,1585,Host,1.1183,1.1723,1.1632,
236,1333,Host,1.1211,1.1713,1.1658,
237,1568,Host,1.143,1.2054,1.1944,
238,1063,Host,1.1291,1.1655,1.1602,
239,1824,Host,1.1415,1.1929,1.188,
240,1567,Host,1.1327,1.1816,1.1765,
1116,2208,Sym,1.1467,1.1715,1.1673,
1117,NA,NA,1.1438,1.1658,1.1646,
1118,1092,Sym,1.1513,1.1731,1.1713,
1119,1242,Sym,1.157,1.1802,1.1794,
1120,2198,Host,1.1373,1.1882,1.1836,
1121,1256,Sym,1.1318,1.1569,1.1521,
1122,NA,NA,1.1451,1.1684,1.1657,
1123,1494,Sym,1.1521,1.1873,1.1817,
1124,1748,Sym,1.153,1.1648,1.1631,
1125,1432,Sym,1.1493,1.1749,1.1698,
1126,2022,Sym,1.1446,1.1711,1.1643,
1127,2864,Sym,1.1313,1.1642,1.1545,
1128,1727,Sym,1.1493,1.1852,1.1753,
1129,2198,Sym,1.1341,1.1584,1.1546,
1130,2552,Host,1.1391,1.1898,1.185,
1131,1256,Host,1.1476,1.1995,1.1927,
1132,2525,Sym,1.1262,1.1497,1.1475,
1133,2396,Host,1.1448,1.1993,1.191,
1134,1092,Host,1.1304,1.1792,1.1744,
1135,1162,Sym,1.1421,1.1638,1.1608,
1136,1408,Sym,1.1442,1.1656,1.164,
1137,1626,Sym,1.1426,1.1689,1.163,
1138,NA,NA,1.1446,1.1963,1.1873,
1139,2552,Sym,1.1395,1.162,1.1599,
1140,1288,Sym,1.1474,1.1724,1.1688,
1141,2376,Sym,1.1458,1.1705,1.1657,
1142,1422,Host,1.143,1.2041,1.19,
1143,2728,Sym,1.1315,1.1445,1.142,
1144,2407,Sym,1.1398,1.16,1.1589,
1145,1226,Sym,1.1467,1.167,1.1645,
1146,1541,Sym,1.1417,1.1649,1.1646,
1147,1344,Sym,1.1516,1.1666,1.1625,
