Species,Plug_ID,Airbrush_Date,Airbrush_Tech,vol_mL,Notes
Mcapitata,1036,20200224,AM,34.5,
Mcapitata,1038,20200302,AM,55,
Mcapitata,1042,20200218,SG,27.5,
Mcapitata,1044,20200213,AF,28,
Pacuta,1045,20200211,DC,20,
Pacuta,1046,20200203,AM,40,
Pacuta,1048,20200127,AF,18.5,10 mL added to original 20201109 ES
Mcapitata,1052,20200210,ES,67.5,
Pacuta,1054,20200127,AM,22,
Mcapitata,1061,20200220,DC,43,
Mcapitata,1063,20200217,AF,20,
Mcapitata,1065,20200218,SG,38,
Mcapitata,1066,20200219,AF,24,
Mcapitata,1067,20200212,AM,50,
Mcapitata,1071,,,,
Pacuta,1075,20200210,AF,10,
Pacuta,1077,20200206,AF,12.5,
Pacuta,1080,20200128,AM,37.5,
Pacuta,1084,20200205,AF,15,5 mL added to original 20200728 ES
Mcapitata,1085,20200302,AM,43.5,
Pacuta,1086,20200205,AF,17.5,5 mL added to original 20201109 ES
Pacuta,1088,20200127,AM,17.5,
Mcapitata,1091,20200219,AF,19.5,
Mcapitata,1092,20200225,SG,37.5,
Pacuta,1094,20200129,AM,12.5,
Pacuta,1098,20200205,AM,22.5,
Mcapitata,1099,20200224,AF,13,
Pacuta,1100,20200204,AM,19.5,
Mcapitata,1102,20200213,AF,17.5,
Mcapitata,1104,20200218,DC,46,
Pacuta,1111,20200210,AM,16,
Pacuta,1116,20200204,AM,32,
Mcapitata,1117,20200225,DC,52.5,
Pacuta,1118,20200127,AM,17,
Mcapitata,1122,20200224,AM,40,
Mcapitata,1127,20200218,SG,27,
Pacuta,1130,20200204,SG,15,
Mcapitata,1133,20200302,AM/AF,27.5,
Mcapitata,1135,20200211,SG,19,
Mcapitata,1136,20200226,AM,32.5,
Mcapitata,1142,20200213,AF,24.5,
Mcapitata,1146,20200220,DC,82.5,
Pacuta,1149,20200211,DC,27,
Pacuta,1156,20200129,AF,12.5,
Mcapitata,1162,20200226,AM,55,
Mcapitata,1163,20200219,AF,32.5,
Pacuta,1165,20200129,AF,12,
Mcapitata,1166,20200220,DC,42.5,
Pacuta,1170,20200204,DC,46,
Mcapitata,1171,20200224,AM,33,
Pacuta,1174,20200204,EC,5,
Mcapitata,1175,20200219,SG,21,
Pacuta,1180,20200206,AF,18,
Pacuta,1181,20200203,AF,22.5,
Mcapitata,1182,20200217,AF,20,
Mcapitata,1185,20200213,AF,18,
Pacuta,1187,20200206,AF,14,5 mL added to original 20200728 ES
Pacuta,1188,20200205,SG,17,5 mL added to original 20200728 ES
Mcapitata,1189,20200221,EC,38.5,
Pacuta,1191,20200211,DC,15,5 mL added to original 20201109 ES
Pacuta,1194,20200203,AM,52,
Mcapitata,1197,20200217,AF,15.5,
Mcapitata,1208,20200210,AM,67,
Mcapitata,1210,20200214,ES,60,
Pacuta,1211,20200205,AF,13,
Pacuta,1213,20200205,SG,16,5 mL added to original 20201109 ES
Pacuta,1214,20200205,AM,39,
Pacuta,1215,20200206,EC,18,
Mcapitata,1216,20200224,AM,28,
Pacuta,1217,20200203,AM,30,
Pacuta,1222,20200128,AM,47,
Pacuta,1224,20200204,DC,27.5,
Mcapitata,1226,20200225,SG,42.5,
Pacuta,1228,20200203,AF,14.5,5 mL added to original 20200728 ES
Mcapitata,1232,20200122,ES,24,
Pacuta,1233,20200203,AF,13,
Mcapitata,1234,20200302,AM/AF,61,
Pacuta,1240,20200127,AF,7.5,
Mcapitata,1241,20200211,EC,26,
Mcapitata,1242,20200225,DC,50,
Mcapitata,1243,20200302,AM/AF,33,
Pacuta,1247,20200206,EC,32.5,
Pacuta,1249,20200205,SG,17.5,
Pacuta,1252,20200206,AF,15,
Pacuta,1253,20200205,AF,14.5,10 mL added to original 20200728 ES
Pacuta,1256,20200204,SG,13,
Pacuta,1258,20200127,AF,19,10 mL added to original 20201109 ES
Mcapitata,1264,20200224,AM,55,
Mcapitata,1265,20200224,AM,53,
Pacuta,1271,20200128,DC,17.5,
Mcapitata,1272,20200217,AF,18.5,
Mcapitata,1273,20200211,SG,22,
Pacuta,1275,20200204,DC,13,
Pacuta,1281,20200214,ES,42.5,
Mcapitata,1284,20200213,AF,27.5,
Mcapitata,1285,20200218,EC,44,
Mcapitata,1286,20200124,AF,15,
Pacuta,1288,20200124,AF,17,
Pacuta,1294,20200127,AM,18,10 mL added to original 20201109 ES
Mcapitata,1295,20200225,DC,59,
Mcapitata,1297,20200218,EC,34,
Pacuta,1298,20200127,AF,17,
Mcapitata,1299,20200225,EC/AM,22.5,
Mcapitata,1300,20200219,AF,29.5,
Mcapitata,1304,20200218,DC,27.5,
Mcapitata,1305,20200219,AF,32.5,
Mcapitata,1309,20200221,AM,42,
Pacuta,1311,20200122,ES,17.5,5 mL added to original 20201109 ES
Mcapitata,1316,20200225,DC,57.5,
Mcapitata,1318,20200210,AM,47,
Pacuta,1319,20200127,AF,16,
