PLUG.ID,Sample,Surface_area,weight1.g,weight2.g,Notes
Standard1,Standard,5.56,0.4693,0.5433,the entire cylinder
Standard2,Standard,15.66869,2.7,2.9944,
Standard3,Standard,21.26269,4.22,4.7456,
Standard4,Standard,23.12998,4.02,4.5214,
Standard5,Standard,31.61228,6.16,6.8663,
Standard6,Standard,29.42298,5.65,6.3237,
Standard7,Standard,41.15683,8.69,9.59,
Standard8,Standard,50.46183,11.55,12.7442,
Standard9,Standard,46.70763,9.12,10.2525,
Standard10,Standard,67.05926,13.66,15.072,
Standard11,Standard,70.88218,14.89,16.4618,
Standard12,Standard,61.33174,11.72,13.0865,
Standard13,Standard,89.73174,19.44,21.4002,
