PLUG.ID,Sample,weight1.g,weight2.g,Notes
1036,Coral,3.1098,3.5861,
1038,Coral,4.0563,4.6568,
1042,Coral,3.0994,3.5041,
1044,Coral,5.4517,6.0528,
1045,Coral,4.0218,4.4706,
1046,Coral,4.1557,4.7642,
1048,Coral,3.1175,3.4977,
1052,Coral,7.1047,7.9869,
1054,Coral,3.5242,4.0375,
1061,Coral,5.4458,6.1822,
1063,Coral,2.8719,3.1551,
1065,Coral,3.3611,3.9396,
1066,Coral,4.2243,4.8764,
1067,Coral,3.6458,4.2809,
1075,Coral,4.6603,5.1831,
1077,Coral,5.6115,6.2734,
1080,Coral,5.4032,6.0614,
1084,Coral,9.4939,10.5492,
1085,Coral,3.7206,4.2938,
1086,Coral,6.6607,7.5288,
1088,Coral,3.2382,3.6369,
1091,Coral,2.6298,3.0293,
1092,Coral,2.3665,2.7049,
1094,Coral,2.9491,3.2442,
1098,Coral,3.5447,3.9657,
1099,Coral,1.2408,1.4561,
1100,Coral,2.6236,2.9836,
1102,Coral,1.6698,1.9076,
1104,Coral,3.9866,4.4851,
1111,Coral,2.3346,2.6263,
1116,Coral,4.8974,5.5163,
1117,Coral,1.8339,2.1862,
1118,Coral,3.3078,3.6586,
1122,Coral,2.2842,2.7235,
1127,Coral,2.4506,2.7561,
1130,Coral,4.1878,4.6777,
1133,Coral,1.4495,1.743,
1135,Coral,1.8689,2.0471,
1136,Coral,2.5237,2.8773,
1142,Coral,3.2281,3.6858,
1146,Coral,4.2745,5.0422,
1149,Coral,3.6209,4.1182,
1156,Coral,2.3728,2.6714,
1162,Coral,1.8139,2.0942,
1163,Coral,3.2804,3.6905,
1165,Coral,2.4181,2.7798,
1166,Coral,1.8767,2.2285,
1170,Coral,12.6962,14.0717,
1171,Coral,1.8516,2.1904,
1174,Coral,2.9513,3.2812,
1175,Coral,1.9772,2.2653,
1180,Coral,2.6987,3.2936,
1181,Coral,6.3108,7.065,
1182,Coral,4.2811,5.1957,
1185,Coral,2.9833,3.4286,
1187,Coral,6.4022,7.2887,
1188,Coral,2.5634,2.818,
1189,Coral,3.5213,4.0075,
1191,Coral,3.6554,4.0435,
1194,Coral,11.639,13.0398,
1197,Coral,3.223,3.3393,
1208,Coral,3.0047,3.4771,
1210,Coral,2.9836,3.4493,
1211,Coral,6.588,7.4277,
1213,Coral,2.6019,2.9571,
1214,Coral,10.1828,11.2626,
1215,Coral,2.1815,2.5267,
1216,Coral,1.5794,1.8559,
1217,Coral,3.4277,4.1067,
1222,Coral,10.1648,11.3815,
1224,Coral,5.1658,5.7169,
1226,Coral,1.7677,2.0165,
1228,Coral,6.9076,7.7466,
1232,Coral,3.4592,4.0648,
1233,Coral,4.9339,5.5827,
1234,Coral,3.135,3.9384,
1240,Coral,1.7036,1.9297,
1241,Coral,1.7337,2.0051,
1242,Coral,3.1763,3.6782,
1243,Coral,3.135,3.557,
1247,Coral,7.2888,8.0457,
1249,Coral,5.1097,5.8438,
1252,Coral,7.3945,8.3575,
1253,Coral,1.7615,2.0244,
1256,Coral,2.5859,2.9093,
1258,Coral,2.5092,2.8818,
1264,Coral,4.2383,4.7086,
1265,Coral,3.4611,3.7747,
1271,Coral,4.998,5.6155,
1272,Coral,2.886,3.2507,
1273,Coral,4.3612,4.5846,
1275,Coral,3.1267,3.4968,
1281,Coral,7.137,7.851,
1284,Coral,5.3633,6.2174,
1285,Coral,3.945,4.5247,
1286,Coral,8.2257,9.1196,
1288,Coral,4.0732,4.6354,
1294,Coral,1.4581,1.6769,
1295,Coral,5.6024,6.3779,
1297,Coral,1.9586,2.2789,
1298,Coral,10.012,11.2237,
1299,Coral,2.5177,2.883,
1300,Coral,6.0124,6.8271,
1304,Coral,3.449,3.9066,
1305,Coral,4.9091,5.5193,
1309,Coral,2.9956,3.3885,
1311,Coral,3.3064,3.7863,
1316,Coral,3.7808,4.3976,
1318,Coral,3.7267,4.1327,
1319,Coral,4.1338,4.7547,
1324,Coral,6.163,6.9122,
1325,Coral,3.6282,4.0538,
1326,Coral,3.2098,3.6446,
1327,Coral,2.8484,3.1434,
1333,Coral,2.3084,2.6976,
1336,Coral,3.8494,4.3162,
1337,Coral,4.3739,5.2524,
1338,Coral,3.4114,3.8076,
1339,Coral,4.1809,4.6457,
1344,Coral,4.6136,5.3297,
1353,Coral,2.1526,2.4158,
1409,Coral,5.4074,6.1375,
1410,Coral,3.1375,3.635,
1411,Coral,3.769,4.1784,
1412,Coral,2.5332,2.8339,
1413,Coral,2.0642,2.4248,
1414,Coral,5.4558,6.2322,
1422,Coral,5.824,6.5677,
1423,Coral,9.7411,10.7924,
1426,Coral,4.4075,5.1201,
1430,Coral,4.8816,5.6145,
1432,Coral,4.2193,4.8,
1434,Coral,9.7927,10.5061,
1437,Coral,8.9786,9.8557,
1438,Coral,3.0111,3.4614,
1439,Coral,8.1651,9.2178,
1441,Coral,7.417,8.8547,
1443,Coral,2.9428,3.4762,
1444,Coral,5.7096,6.6316,
1446,Coral,6.1327,6.9039,
1447,Coral,1.7341,2.0621,
1448,Coral,7.2282,7.571,
1454,Coral,2.322,2.6876,
1456,Coral,9.7171,10.8575,
1461,Coral,3.0839,3.613,
1469,Coral,2.4111,2.6715,
1470,Coral,4.1684,4.7198,
1472,Coral,2.5863,2.944,
1473,Coral,3.307,3.6054,
1479,Coral,2.8023,3.1584,
1480,Coral,2.9642,3.4301,
1482,Coral,3.0393,3.1277,
1483,Coral,3.5835,4.075,
1484,Coral,6.4519,7.2912,
1488,Coral,5.0065,5.7651,
1489,Coral,1.559,1.772,
1490,Coral,2.5319,2.8132,
1491,Coral,5.7059,6.3815,
1492,Coral,5.9965,6.5952,
1494,Coral,4.8737,5.3597,
1495,Coral,2.4715,2.7455,
1498,Coral,2.3202,2.7092,
1500,Coral,3.5165,3.9697,
1533,Coral,2.9188,3.3675,
1534,Coral,1.3855,1.6019,
1537,Coral,2.9103,3.2709,
1538,Coral,2.5478,2.8754,
1540,Coral,3.6207,4.1312,
1541,Coral,3.3901,3.7482,
1547,Coral,2.2845,2.6563,
1549,Coral,3.792,4.3041,
1550,Coral,2.3406,2.7264,
1551,Coral,5.9417,6.8263,
1553,Coral,6.4282,7.351,
1560,Coral,5.7104,6.5189,
1564,Coral,1.9693,2.3102,
1565,Coral,2.5378,2.8576,
1566,Coral,3.492,3.8821,
1567,Coral,2.7661,3.0447,
1568,Coral,3.6215,3.9796,
1570,Coral,6.9732,7.9944,
1572,Coral,3.802,4.2193,
1573,Coral,3.8956,4.5906,
1574,Coral,4.9302,5.7724,
1576,Coral,5.7097,6.3016,
1578,Coral,4.4311,4.9758,
1584,Coral,8.1375,8.8365,
1585,Coral,3.3275,3.5614,
1586,Coral,6.307,6.755,
1587,Coral,4.0334,4.5937,
1592,Coral,3.6798,4.28,
1593,Coral,3.3551,3.8035,
1597,Coral,2.3343,2.6335,
1598,Coral,2.573,2.9602,
1599,Coral,3.1697,3.725,
1602,Coral,5.5257,6.124,
1606,Coral,3.0702,3.4593,
1608,Coral,2.7327,3.1167,
1615,Coral,7.83,8.9671,
1616,Coral,3.5212,4.1257,
1618,Coral,4.8054,5.4871,
1620,Coral,3.2471,3.6453,
1621,Coral,2.843,3.1814,
1622,Coral,5.2058,5.7708,
1625,Coral,5.0467,5.6739,
1626,Coral,6.7139,7.475,
1629,Coral,2.4711,2.8023,
1630,Coral,3.7362,4.1472,
1634,Coral,2.6411,3.0564,
1636,Coral,5.8022,6.7724,
1638,Coral,5.8215,6.4326,
1639,Coral,1.8009,2.105,
1640,Coral,3.9281,4.3175,
1643,Coral,3.3141,3.9168,
1646,Coral,5.2257,5.864,
1649,Coral,1.9262,2.2416,
1650,Coral,2.2955,2.6352,
1655,Coral,3.6615,4.185,
1679,Coral,4.75,5.2469,
1686,Coral,1.641,1.825,
1687,Coral,3.3338,3.8754,
1688,Coral,2.1154,2.4083,
1690,Coral,5.6661,6.2905,
1691,Coral,1.6793,1.9038,
1693,Coral,5.1922,5.8833,
1695,Coral,5.3892,6.1229,
1702,Coral,3.887,4.2898,
1708,Coral,2.194,2.5695,
1710,Coral,7.1731,8.5204,
1713,Coral,4.2229,4.6812,
1717,Coral,2.6222,3.0312,
1718,Coral,3.4157,4.0846,
1723,Coral,2.8329,3.2808,
1724,Coral,3.8693,4.4452,
1725,Coral,3.0037,3.4207,
1727,Coral,5.4512,6.3292,
1730,Coral,2.7172,3.0752,
1731,Coral,5.0298,5.7223,
1735,Coral,5.6715,6.4051,
1737,Coral,2.556,2.9534,
1738,Coral,5.732,6.4585,
1741,Coral,3.7445,4.186,
1743,Coral,3.3432,3.8137,
1748,Coral,1.6143,1.8843,
1749,Coral,10.1837,11.6384,
1752,Coral,3.818,4.2629,
1753,Coral,2.7434,3.0522,
1756,Coral,2.8807,3.1919,
1758,Coral,5.0083,5.7551,
1760,Coral,3.0707,3.6781,
1761,Coral,2.7925,3.2301,
1764,Coral,4.7129,5.2274,
1770,Coral,3.8749,4.2885,
1772,Coral,5.0998,5.8595,
1774,Coral,3.7971,4.2879,
1778,Coral,2.5832,2.83,
1811,Coral,5.296,5.8833,
1822,Coral,2.9905,3.4261,
1824,Coral,2.867,3.0303,
1825,Coral,7.8397,8.9951,
1908,Coral,2.8065,3.3184,
1998,Coral,2.5392,2.9549,
2001,Coral,1.8001,2.0786,
2003,Coral,4.1572,4.8073,
2004,Coral,1.8678,2.1719,
2010,Coral,2.7011,3.0264,
2011,Coral,3.2018,3.7429,
2013,Coral,3.1745,3.6373,
2014,Coral,2.9053,3.2725,
2015,Coral,3.4136,3.826,
2018,Coral,1.7896,2.0856,
2022,Coral,3.5008,3.9393,
2023,Coral,3.3702,3.8163,
2044,Coral,2.5971,2.9317,
2058,Coral,2.8833,3.208,
2060,Coral,2.7866,3.2296,
2062,Coral,3.0615,3.4188,
2063,Coral,5.9339,6.6569,
2070,Coral,3.5772,4.0225,
2074,Coral,6.2976,7.0986,
2075,Coral,3.6237,3.9568,
2079,Coral,4.0469,4.6228,
2153,Coral,2.3322,2.6917,
2156,Coral,1.9444,2.1929,
2164,Coral,3.3873,3.7577,
2165,Coral,2.9697,3.5296,
2168,Coral,2.3745,2.7579,
2169,Coral,3.503,3.8797,
2172,Coral,9.1987,10.1864,
2184,Coral,2.1671,2.5053,
2189,Coral,3.2301,3.5728,
2192,Coral,4.8554,5.5436,
2193,Coral,3.2224,3.6288,
2198,Coral,5.6798,6.4034,
2203,Coral,4.9994,5.6721,
2208,Coral,8.708,9.2095,
2211,Coral,4.03,4.4917,
2279,Coral,6.0261,6.8226,
2297,Coral,3.2688,3.8442,
2301,Coral,9.3954,10.4199,
2303,Coral,4.6311,5.3417,
2360,Coral,2.4001,2.7894,
2372,Coral,8.79,9.8435,
2376,Coral,3.5365,4.0571,
2378,Coral,4.1037,4.7247,
2382,Coral,2.8396,3.2485,
2384,Coral,3.8691,4.4173,
2388,Coral,5.9857,6.5651,
2389,Coral,1.555,1.7701,
2391,Coral,3.2321,3.6926,
2393,Coral,5.7289,6.6203,
2394,Coral,6.7822,7.6747,
2396,Coral,4.7312,5.2793,
2397,Coral,4.4389,5.0062,
2398,Coral,3.8323,4.4524,
2401,Coral,3.9074,4.4699,
2404,Coral,8.1916,9.0363,
2407,Coral,5.6515,6.1047,
2416,Coral,2.7509,3.0077,
2515,Coral,4.0122,4.5529,
2517,Coral,2.4751,2.8744,
