observed	shannon	simperson	invsimperson	chao1	chao2	evenness	Gini
77	1	0	0	1	1	1	0	0.916666666666667
109	1	0	0	1	1	1	0	0.916666666666667
63	1	0	0	1	1	1	0	0.916666666666667
212	1	0	0	1	1	1	0	0.916666666666667
115	1	0	0	1	1	1	0	0.916666666666667
111	1	0	0	1	1	1	0	0.916666666666667
176	1	0	0	1	1	1	0	0.916666666666667
106	1	0	0	1	1	1	0	0.916666666666667
191	1	0	0	1	1	1	0	0.916666666666667
80	1	0	0	1	1	1	0	0.916666666666667
311	1	0	0	1	1	1	0	0.916666666666667
62	1	0	0	1	1	1	0	0.916666666666667
217	1	0	0	1	1	1	0	0.916666666666667
102	1	0	0	1	1	1	0	0.916666666666667
205	1	0	0	1	1	1	0	0.916666666666667
130	1	0	0	1	1	1	0	0.916666666666667
153	1	0	0	1	1	1	0	0.916666666666667
169	1	0	0	1	1	1	0	0.916666666666667
68	1	0	0	1	1	1	0	0.916666666666667
222	1	0	0	1	1	1	0	0.916666666666667
134	1	0	0	1	1	1	0	0.916666666666667
231	1	0	0	1	1	1	0	0.916666666666667
244	1	0	0	1	1	1	0	0.916666666666667
223	1	0	0	1	1	1	0	0.916666666666667
271	1	0	0	1	1	1	0	0.916666666666667
171	1	0	0	1	1	1	0	0.916666666666667
269	1	0	0	1	1	1	0	0.916666666666667
94	1	0	0	1	1	1	0	0.916666666666667
272	1	0	0	1	1	1	0	0.916666666666667
188	1	0	0	1	1	1	0	0.916666666666667
65	1	0	0	1	1	1	0	0.916666666666667
221	1	0	0	1	1	1	0	0.916666666666667
131	1	0	0	1	1	1	0	0.916666666666667
79	1	0	0	1	1	1	0	0.916666666666667
145	1	0	0	1	1	1	0	0.916666666666667
141	1	0	0	1	1	1	0	0.916666666666667
110	1	0	0	1	1	1	0	0.916666666666667
91	1	0	0	1	1	1	0	0.916666666666667
150	1	0	0	1	1	1	0	0.916666666666667
107	1	0	0	1	1	1	0	0.916666666666667
237	1	0	0	1	1	1	0	0.916666666666667
73	1	0	0	1	1	1	0	0.916666666666667
84	1	0	0	1	1	1	0	0.916666666666667
258	1	0	0	1	1	1	0	0.916666666666667
158	1	0	0	1	1	1	0	0.916666666666667
178	1	0	0	1	1	1	0	0.916666666666667
78	1	0	0	1	1	1	0	0.916666666666667
177	1	0	0	1	1	1	0	0.916666666666667
148	1	0	0	1	1	1	0	0.916666666666667
74	1	0	0	1	1	1	0	0.916666666666667
301	1	0	0	1	1	1	0	0.916666666666667
182	1	0	0	1	1	1	0	0.916666666666667
263	1	0	0	1	1	1	0	0.916666666666667
289	1	0	0	1	1	1	0	0.916666666666667
174	1	0	0	1	1	1	0	0.916666666666667
140	1	0	0	1	1	1	0	0.916666666666667
197	1	0	0	1	1	1	0	0.916666666666667
66	1	0	0	1	1	1	0	0.916666666666667
313	1	0	0	1	1	1	0	0.916666666666667
135	1	0	0	1	1	1	0	0.916666666666667
189	1	0	0	1	1	1	0	0.916666666666667
213	1	0	0	1	1	1	0	0.916666666666667
82	1	0	0	1	1	1	0	0.916666666666667
175	1	0	0	1	1	1	0	0.916666666666667
85	1	0	0	1	1	1	0	0.916666666666667
97	1	0	0	1	1	1	0	0.916666666666667
296	1	0	0	1	1	1	0	0.916666666666667
105	1	0	0	1	1	1	0	0.916666666666667
206	1	0	0	1	1	1	0	0.916666666666667
121	1	0	0	1	1	1	0	0.916666666666667
181	1	0	0	1	1	1	0	0.916666666666667
83	1	0	0	1	1	1	0	0.916666666666667
226	1	0	0	1	1	1	0	0.916666666666667
216	1	0	0	1	1	1	0	0.916666666666667
137	1	0	0	1	1	1	0	0.916666666666667
123	1	0	0	1	1	1	0	0.916666666666667
273	1	0	0	1	1	1	0	0.916666666666667
246	2	0.0564061976948261	0.0199727562519125	1.02037979696924	2	2	0.0282030988474131	0.914985308521058
233	2	0.284553357473967	0.15119354226692	1.17812487274274	2	2	0.142276678736983	0.90293602103418
220	1	0	0	1	1	1	0	0.916666666666667
147	1	0	0	1	1	1	0	0.916666666666667
155	1	0	0	1	1	1	0	0.916666666666667
203	1	0	0	1	1	1	0	0.916666666666667
236	1	0	0	1	1	1	0	0.916666666666667
239	1	0	0	1	1	1	0	0.916666666666667
194	1	0	0	1	1	1	0	0.916666666666667
200	1	0	0	1	1	1	0	0.916666666666667
196	1	0	0	1	1	1	0	0.916666666666667
95	1	0	0	1	1	1	0	0.916666666666667
61	1	0	0	1	1	1	0	0.916666666666667
204	1	0	0	1	1	1	0	0.916666666666667
165	1	0	0	1	1	1	0	0.916666666666667
101	1	0	0	1	1	1	0	0.916666666666667
201	1	0	0	1	1	1	0	0.916666666666667
112	1	0	0	1	1	1	0	0.916666666666667
118	1	0	0	1	1	1	0	0.916666666666667
187	1	0	0	1	1	1	0	0.916666666666667
295	1	0	0	1	1	1	0	0.916666666666667
276	1	0	0	1	1	1	0	0.916666666666667
166	1	0	0	1	1	1	0	0.916666666666667
160	1	0	0	1	1	1	0	0.916666666666667
142	1	0	0	1	1	1	0	0.916666666666667
71	1	0	0	1	1	1	0	0.916666666666667
180	1	0	0	1	1	1	0	0.916666666666667
90	2	0.0357023640461031	0.0115518649945154	1.01168687014059	2	2	0.0178511820230515	0.915698385843947
195	1	0	0	1	1	1	0	0.916666666666667
300	1	0	0	1	1	1	0	0.916666666666667
256	1	0	0	1	1	1	0	0.916666666666667
228	1	0	0	1	1	1	0	0.916666666666667
288	1	0	0	1	1	1	0	0.916666666666667
75	3	0.105920360849723	0.0395134533608975	1.04113899720841	3	3	0.0353067869499077	0.912907979773397
255	1	0	0	1	1	1	0	0.916666666666667
286	1	0	0	1	1	1	0	0.916666666666667
224	3	0.0848738266157583	0.030895473102203	1.0318804341995	3	3	0.0282912755385861	0.913857971468882
207	2	0.0586649956513353	0.0209425833189698	1.02139055683778	2	2	0.0293324978256676	0.914902783691179
254	2	0.0919360958764509	0.0362154175306315	1.03757625738092	2	2	0.0459680479382254	0.913591993515876
268	3	0.0929962627196851	0.0336712579288537	1.03484451663591	3	3	0.030998754239895	0.913457323564406
219	1	0	0	1	1	1	0	0.916666666666667
261	2	0.0662028318153931	0.0242447095756959	1.02484712080337	2	2	0.0331014159076966	0.914621169858881
99	1	0	0	1	1	1	0	0.916666666666667
192	1	0	0	1	1	1	0	0.916666666666667
279	1	0	0	1	1	1	0	0.916666666666667
159	1	0	0	1	1	1	0	0.916666666666667
278	1	0	0	1	1	1	0	0.916666666666667
129	1	0	0	1	1	1	0	0.916666666666667
306	1	0	0	1	1	1	0	0.916666666666667
225	1	0	0	1	1	1	0	0.916666666666667
257	1	0	0	1	1	1	0	0.916666666666667
262	2	0.0639720750806066	0.023257161986066	1.02381093680027	2	2	0.0319860375403033	0.914705492612469
232	2	0.152405937389526	0.0679380330690289	1.0728900389453	2	2	0.076202968694763	0.910798555541877
230	2	0.19130930712375	0.0906215487106858	1.0996521839529	2	2	0.0956546535618748	0.9087376556462
235	2	0.187733880186675	0.0884690264147958	1.097055425409	2	2	0.0938669400933375	0.90893563466379
64	3	0.131834386432547	0.0516881211573996	1.05450540303311	3	3	0.0439447954775156	0.911736466715435
307	2	0.193674855046657	0.0920529899780713	1.10138586168795	2	2	0.0968374275233285	0.908605710037866
266	2	0.0606451825407217	0.0218003760670249	1.02228622413427	2	2	0.0303225912703609	0.914829722477353
133	2	0.269421061225466	0.140808969457744	1.16388552074255	2	2	0.134710530612733	0.90396451846488
249	2	0.306758828600186	0.166799756910916	1.2001916805647	2	2	0.153379414300093	0.901361130254997
139	2	0.281227276930099	0.148893406050446	1.17494096169495	2	2	0.140613638465049	0.903165134624161
87	2	0.188644309149237	0.0890158682297473	1.09771396133626	2	2	0.0943221545746185	0.908885387847115
211	2	0.331163265912689	0.184443246008844	1.22615623634556	2	2	0.165581632956345	0.89953554397861
162	2	0.295328666980155	0.158712516110906	1.18865431751963	2	2	0.147664333490078	0.902181746117537
245	2	0.456860483184057	0.283011417146139	1.39472234832479	2	2	0.228430241592028	0.888230786074009
210	2	0.505444992463957	0.32437425235852	1.48010937044787	2	2	0.252722496231979	0.882722061754103
251	2	0.465313101074215	0.290081181115433	1.40861176432992	2	2	0.232656550537107	0.88732906604597
248	3	0.690977995254977	0.433790170737	1.76612970725294	3	3	0.230325998418326	0.862698776320562
287	2	0.622569458593434	0.431099002086641	1.75777508506374	2	2	0.311284729296717	0.864268076008071
241	2	0.662350488519978	0.469520775909572	1.88508796308587	2	2	0.331175244259989	0.853908137264635
259	2	0.675512980932516	0.482469701680923	1.9322540211616	2	2	0.337756490466258	0.848937062552425
253	2	0.68764299170211	0.494505917276229	1.97826252408666	2	2	0.343821495851055	0.842068704218237
146	1	0	0	1	1	1	0	0.916666666666667
252	1	0	0	1	1	1	0	0.916666666666667
202	1	0	0	1	1	1	0	0.916666666666667
284	1	0	0	1	1	1	0	0.916666666666667
250	1	0	0	1	1	1	0	0.916666666666667
122	1	0	0	1	1	1	0	0.916666666666667
167	1	0	0	1	1	1	0	0.916666666666667
215	1	0	0	1	1	1	0	0.916666666666667
302	1	0	0	1	1	1	0	0.916666666666667
209	1	0	0	1	1	1	0	0.916666666666667
184	1	0	0	1	1	1	0	0.916666666666667
275	1	0	0	1	1	1	0	0.916666666666667
81	1	0	0	1	1	1	0	0.916666666666667
238	1	0	0	1	1	1	0	0.916666666666667
294	1	0	0	1	1	1	0	0.916666666666667
281	1	0	0	1	1	1	0	0.916666666666667
