Well,Chl:630,Chl:663,Chl:750
A1,0.027,0.027,0.027
B1,0.047,0.115,0.029
C1,0.029,0.029,0.029
D1,0.028,0.028,0.028
E1,0.029,0.029,0.029
F1,0.03,0.03,0.03
G1,0.029,0.029,0.029
H1,0.029,0.029,0.029
A2,0.027,0.026,0.027
B2,0.051,0.133,0.029
C2,0.066,0.215,0.028
D2,0.029,0.03,0.03
E2,0.028,0.028,0.028
F2,0.028,0.028,0.028
G2,0.029,0.028,0.028
H2,0.028,0.029,0.028
A3,0.065,0.195,0.029
B3,0.051,0.116,0.028
C3,0.071,0.241,0.029
D3,0.028,0.028,0.028
E3,0.028,0.028,0.028
F3,0.028,0.028,0.028
G3,0.028,0.028,0.028
H3,0.029,0.029,0.029
A4,0.073,0.234,0.03
B4,0.053,0.124,0.028
C4,0.029,0.029,0.028
D4,0.028,0.028,0.028
E4,0.028,0.028,0.028
F4,0.028,0.028,0.028
G4,0.028,0.029,0.028
H4,0.028,0.028,0.028
A5,0.062,0.171,0.028
B5,0.149,0.486,0.028
C5,0.028,0.028,0.028
D5,0.028,0.028,0.028
E5,0.029,0.029,0.028
F5,0.028,0.028,0.028
G5,0.029,0.029,0.028
H5,0.028,0.028,0.028
A6,0.065,0.183,0.028
B6,0.158,0.522,0.028
C6,0.029,0.028,0.028
D6,0.029,0.028,0.028
E6,0.028,0.028,0.028
F6,0.028,0.028,0.028
G6,0.028,0.028,0.028
H6,0.028,0.028,0.028
A7,0.052,0.126,0.029
B7,0.083,0.259,0.028
C7,0.028,0.028,0.028
D7,0.028,0.028,0.028
E7,0.028,0.028,0.028
F7,0.028,0.028,0.028
G7,0.028,0.028,0.028
H7,0.028,0.028,0.028
A8,0.055,0.137,0.029
B8,0.088,0.278,0.031
C8,0.028,0.028,0.028
D8,0.028,0.028,0.028
E8,0.028,0.028,0.028
F8,0.028,0.028,0.028
G8,0.028,0.028,0.028
H8,0.028,0.028,0.028
A9,0.06,0.154,0.028
B9,0.093,0.317,0.028
C9,0.028,0.028,0.028
D9,0.028,0.028,0.028
E9,0.028,0.028,0.028
F9,0.028,0.028,0.028
G9,0.028,0.028,0.028
H9,0.028,0.028,0.028
A10,0.063,0.164,0.028
B10,0.098,0.337,0.029
C10,0.028,0.028,0.028
D10,0.028,0.028,0.028
E10,0.028,0.028,0.028
F10,0.028,0.028,0.028
G10,0.031,0.031,0.03
H10,0.029,0.029,0.028
A11,0.093,0.29,0.029
B11,0.139,0.462,0.028
C11,0.03,0.03,0.03
D11,0.028,0.028,0.028
E11,0.028,0.028,0.028
F11,0.028,0.028,0.028
G11,0.029,0.029,0.029
H11,0.029,0.029,0.029
A12,0.097,0.309,0.03
B12,0.151,0.502,0.029
C12,0.028,0.028,0.028
D12,0.028,0.028,0.028
E12,0.029,0.028,0.028
F12,0.029,0.029,0.028
G12,0.029,0.029,0.028
H12,0.03,0.03,0.03
