Well,Chl:630,Chl:663,Chl:750
A1,0.027,0.027,0.027
B1,0.137,0.434,0.029
C1,0.035,0.057,0.028
D1,0.168,0.572,0.028
E1,0.102,0.258,0.028
F1,0.053,0.131,0.029
G1,0.107,0.314,0.029
H1,0.046,0.091,0.03
A2,0.027,0.027,0.027
B2,0.141,0.446,0.029
C2,0.036,0.059,0.028
D2,0.175,0.6,0.029
E2,0.084,0.267,0.028
F2,0.054,0.137,0.028
G2,0.111,0.327,0.028
H2,0.047,0.094,0.029
A3,0.063,0.166,0.029
B3,0.084,0.248,0.029
C3,0.125,0.4,0.03
D3,0.062,0.16,0.029
E3,0.058,0.147,0.028
F3,0.082,0.232,0.029
G3,0.096,0.297,0.028
H3,0.07,0.207,0.031
A4,0.064,0.173,0.029
B4,0.086,0.26,0.028
C4,0.13,0.421,0.029
D4,0.064,0.168,0.029
E4,0.06,0.157,0.028
F4,0.084,0.242,0.028
G4,0.102,0.314,0.03
H4,0.071,0.218,0.03
A5,0.097,0.291,0.029
B5,0.122,0.418,0.029
C5,0.176,0.605,0.029
D5,0.101,0.326,0.029
E5,0.049,0.105,0.028
F5,0.059,0.148,0.028
G5,0.162,0.531,0.029
H5,0.059,0.155,0.027
A6,0.101,0.303,0.029
B6,0.127,0.44,0.029
C6,0.182,0.628,0.029
D6,0.104,0.342,0.029
E6,0.051,0.111,0.029
F6,0.063,0.16,0.029
G6,0.167,0.551,0.029
H6,0.061,0.163,0.028
A7,0.123,0.38,0.029
B7,0.273,1.001,0.03
C7,0.065,0.183,0.028
D7,0.03,0.043,0.028
E7,0.167,0.509,0.04
F7,0.046,0.079,0.034
G7,0.07,0.214,0.028
H7,0.261,0.922,0.03
A8,0.128,0.401,0.029
B8,0.283,1.04,0.029
C8,0.068,0.191,0.029
D8,0.031,0.043,0.028
E8,0.159,0.527,0.029
F8,0.042,0.079,0.029
G8,0.074,0.225,0.029
H8,0.276,0.975,0.029
A9,0.123,0.402,0.03
B9,0.087,0.276,0.029
C9,0.175,0.606,0.029
D9,0.1,0.317,0.028
E9,0.077,0.217,0.028
F9,0.111,0.355,0.029
G9,0.031,0.039,0.029
H9,0.079,0.221,0.028
A10,0.129,0.424,0.03
B10,0.09,0.292,0.029
C10,0.181,0.628,0.029
D10,0.103,0.328,0.028
E10,0.08,0.224,0.028
F10,0.113,0.373,0.028
G10,0.03,0.038,0.028
H10,0.085,0.242,0.029
A11,0.126,0.439,0.031
B11,0.23,0.79,0.031
C11,0.143,0.494,0.028
D11,0.066,0.162,0.031
E11,0.055,0.128,0.028
F11,0.04,0.076,0.028
G11,0.085,0.27,0.028
H11,0.028,0.028,0.028
A12,0.128,0.457,0.029
B12,0.238,0.828,0.029
C12,0.15,0.521,0.028
D12,0.065,0.166,0.028
E12,0.057,0.136,0.028
F12,0.04,0.078,0.028
G12,0.088,0.286,0.028
H12,0.029,0.029,0.029
