Well,colony_id
A1,BK
A2,BK
A3,1211
A4,1211
A5,1572
A6,1572
A7,1718
A8,1718
A9,1294
A10,1294
A11,2541
A12,2541
B1,1622
B2,1622
B3,2521
B4,2521
B5,1327
B6,1327
B7,1086
B8,1086
B9,1537
B10,1537
B11,1222
B12,1222
C1,1574
C2,1574
C3,1233
C4,1233
C5,1286
C6,1286
C7,1046
C8,1046
C9,1772
C10,1772
C11,1098
C12,1098
D1,1690
D2,1690
D3,2074
D4,2074
D5,1566
D6,1566
D7,1194
D8,1194
D9,1423
D10,1423
D11,2530
D12,2530
E1,1130
E2,1130
E3,2540
E4,2540
E5,1908
E6,1908
E7,1549
E8,1549
E9,1256
E10,1256
E11,1553
E12,1553
F1,1550
F2,1550
F3,1272
F4,1272
F5,1339
F6,1339
F7,1116
F8,1116
F9,2882
F10,2882
F11,2666
F12,2666
G1,2874
G2,2874
G3,2381
G4,2381
G5,1638
G6,1638
G7,1213
G8,1213
G9,1646
G10,1646
G11,1630
G12,1630
H1,1727
H2,1727
H3,1691
H4,1691
H5,1693
H6,1693
H7,2996
H8,2996
H9,2864
H10,2864
H11,1170
H12,1170
