Date,Well,Plug_ID
20200717 Plate 1,A1,BK
20200717 Plate 1,A2,BK
20200717 Plate 1,A3,2303
20200717 Plate 1,A4,2303
20200717 Plate 1,A5,1472
20200717 Plate 1,A6,1472
20200717 Plate 1,A7,2382
20200717 Plate 1,A8,2382
20200717 Plate 1,A9,1318
20200717 Plate 1,A10,1318
20200717 Plate 1,A11,1434
20200717 Plate 1,A12,1434
20200717 Plate 1,B1,NA
20200717 Plate 1,B2,NA
20200717 Plate 1,B3,1606
20200717 Plate 1,B4,1606
20200717 Plate 1,B5,1456
20200717 Plate 1,B6,1456
20200717 Plate 1,B7,1085
20200717 Plate 1,B8,1085
20200717 Plate 1,B9,2732
20200717 Plate 1,B10,2732
20200717 Plate 1,B11,1224
20200717 Plate 1,B12,1224
20200717 Plate 1,C1,2867
20200717 Plate 1,C2,2867
20200717 Plate 1,C3,NA
20200717 Plate 1,C4,NA
20200717 Plate 1,C5,NA
20200717 Plate 1,C6,NA
20200717 Plate 1,C7,NA
20200717 Plate 1,C8,NA
20200717 Plate 1,C9,NA
20200717 Plate 1,C10,NA
20200717 Plate 1,C11,NA
20200717 Plate 1,C12,NA
20200717 Plate 1,D1,NA
20200717 Plate 1,D2,NA
20200717 Plate 1,D3,NA
20200717 Plate 1,D4,NA
20200717 Plate 1,D5,NA
20200717 Plate 1,D6,NA
20200717 Plate 1,D7,NA
20200717 Plate 1,D8,NA
20200717 Plate 1,D9,NA
20200717 Plate 1,D10,NA
20200717 Plate 1,D11,NA
20200717 Plate 1,D12,NA
20200717 Plate 1,E1,NA
20200717 Plate 1,E2,NA
20200717 Plate 1,E3,NA
20200717 Plate 1,E4,NA
20200717 Plate 1,E5,NA
20200717 Plate 1,E6,NA
20200717 Plate 1,E7,NA
20200717 Plate 1,E8,NA
20200717 Plate 1,E9,NA
20200717 Plate 1,E10,NA
20200717 Plate 1,E11,NA
20200717 Plate 1,E12,NA
20200717 Plate 1,F1,NA
20200717 Plate 1,F2,NA
20200717 Plate 1,F3,NA
20200717 Plate 1,F4,NA
20200717 Plate 1,F5,NA
20200717 Plate 1,F6,NA
20200717 Plate 1,F7,NA
20200717 Plate 1,F8,NA
20200717 Plate 1,F9,NA
20200717 Plate 1,F10,NA
20200717 Plate 1,F11,NA
20200717 Plate 1,F12,NA
20200717 Plate 1,G1,NA
20200717 Plate 1,G2,NA
20200717 Plate 1,G3,NA
20200717 Plate 1,G4,NA
20200717 Plate 1,G5,NA
20200717 Plate 1,G6,NA
20200717 Plate 1,G7,NA
20200717 Plate 1,G8,NA
20200717 Plate 1,G9,NA
20200717 Plate 1,G10,NA
20200717 Plate 1,G11,NA
20200717 Plate 1,G12,NA
20200717 Plate 1,H1,NA
20200717 Plate 1,H2,NA
20200717 Plate 1,H3,NA
20200717 Plate 1,H4,NA
20200717 Plate 1,H5,NA
20200717 Plate 1,H6,NA
20200717 Plate 1,H7,NA
20200717 Plate 1,H8,NA
20200717 Plate 1,H9,NA
20200717 Plate 1,H10,NA
20200717 Plate 1,H11,NA
20200717 Plate 1,H12,NA
20200723 Plate 2,A1,BK
20200723 Plate 2,A2,BK
20200723 Plate 2,A3,1620
20200723 Plate 2,A4,1620
20200723 Plate 2,A5,NA
20200723 Plate 2,A6,NA
20200723 Plate 2,A7,1461
20200723 Plate 2,A8,1461
20200723 Plate 2,A9,1175
20200723 Plate 2,A10,1175
20200723 Plate 2,A11,1650
20200723 Plate 2,A12,1650
20200723 Plate 2,B1,1162
20200723 Plate 2,B2,1162
20200723 Plate 2,B3,1410
20200723 Plate 2,B4,1410
20200723 Plate 2,B5,1413
20200723 Plate 2,B6,1413
20200723 Plate 2,B7,1133
20200723 Plate 2,B8,1133
20200723 Plate 2,B9,1760
20200723 Plate 2,B10,1760
20200723 Plate 2,B11,1311
20200723 Plate 2,B12,1311
20200723 Plate 2,C1,1426
20200723 Plate 2,C2,1426
20200723 Plate 2,C3,1038
20200723 Plate 2,C4,1038
