Well,Plug_ID
A1,BK
A2,BK 
A3,1748
A4,1748
A5,NA
A6,NA
A7,1537
A8,1537
A9,1327
A10,1327
A11,NA
A12,NA
B1,1294
B2,1294
B3,1253
B4,1253
B5,1213
B6,1213
B7,2189
B8,2189
B9,2018
B10,2018
B11,1188
B12,1188
C1,2738
C2,2738
C3,2193
C4,2193
C5,2401
C6,2401
C7,1258
C8,1258
C9,2728
C10,2728
C11,1567
C12,1567
D1,2391
D2,2391
D3,1686
D4,1686
D5,2982
D6,2982
D7,1495
D8,1495
D9,1489
D10,1489
D11,1615
D12,1615
E1,2517
E2,2517
E3,1240
E4,1240
E5,2998
E6,2998
E7,2858
E8,2858
E9,2393
E10,2393
E11,2058
E12,2058
F1,1208
F2,1208
F3,1412
F4,1412
F5,1048
F6,1048
F7,2384
F8,2384
F9,1547
F10,1547
F11,2992
F12,2992
G1,1422
G2,1422
G3,1541
G4,1541
G5,NA
G6,NA
G7,NA
G8,NA
G9,NA
G10,NA
G11,NA
G12,NA
H1,NA
H2,NA
H3,NA
H4,NA
H5,NA
H6,NA
H7,NA
H8,NA
H9,NA
H10,NA
H11,NA
H12,NA
