Well,Plug_ID
A1,BK
A2,BK 
A3,2997
A4,2997
A5,NA
A6,NA
A7,NA
A8,NA
A9,1080
A10,1080
A11,2014
A12,2014
B1,NA
B2,NA
B3,2022
B4,2022
B5,2388
B6,2388
B7,1811
B8,1811
B9,1298
B10,1298
B11,2015
B12,2015
C1,NA
C2,NA
C3,NA
C4,NA
C5,1723
C6,1723
C7,1146
C8,1146
C9,1297
C10,1297
C11,1490
C12,1490
D1,1166
D2,1166
D3,1171
D4,1171
D5,2396
D6,2396
D7,2075
D8,2075
D9,2013
D10,2013
D11,NA
D12,NA
E1,1724
E2,1724
E3,2872
E4,2872
E5,2853
E6,2853
E7,1273
E8,1273
E9,2168
E10,2168
E11,1643
E12,1643
F1,1042
F2,1042
F3,NA
F4,NA
F5,2535
F6,2535
F7,2060
F8,2060
F9,1639
F10,1639
F11,2010
F12,2010
G1,1432
G2,1432
G3,2203
G4,2203
G5,1743
G6,1743
G7,1749
G8,1749
G9,1592
G10,1592
G11,NA
G12,NA
H1,1181
H2,1181
H3,1324
H4,1324
H5,1118
H6,1118
H7,2532
H8,2532
H9,1135
H10,1135
H11,1216
H12,1216
