Well,Chl:630,Chl:663,Chl:750
A1,0.031,0.031,0.031
B1,0.119,0.374,0.032
C1,0.148,0.459,0.032
D1,0.103,0.328,0.028
E1,0.063,0.16,0.028
F1,0.056,0.158,0.028
G1,0.075,0.222,0.028
H1,0.111,0.33,0.029
A2,0.029,0.029,0.03
B2,0.131,0.415,0.037
C2,0.155,0.499,0.033
D2,0.115,0.364,0.033
E2,0.072,0.182,0.033
F2,0.065,0.173,0.033
G2,0.081,0.242,0.028
H2,0.118,0.355,0.029
A3,0.192,0.642,0.041
B3,0.102,0.292,0.03
C3,0.154,0.489,0.032
D3,0.111,0.344,0.03
E3,0.174,0.592,0.03
F3,0.072,0.244,0.029
G3,0.079,0.212,0.035
H3,0.081,0.235,0.028
A4,0.205,0.695,0.032
B4,0.108,0.323,0.028
C4,0.161,0.525,0.03
D4,0.119,0.375,0.029
E4,0.184,0.639,0.031
F4,0.088,0.282,0.041
G4,0.082,0.228,0.032
H4,0.084,0.258,0.03
A5,0.105,0.26,0.03
B5,0.071,0.184,0.03
C5,0.098,0.279,0.03
D5,0.094,0.282,0.029
E5,0.053,0.135,0.028
F5,0.136,0.467,0.03
G5,0.12,0.441,0.03
H5,0.104,0.332,0.028
A6,0.101,0.284,0.033
B6,0.1,0.201,0.03
C6,0.104,0.301,0.029
D6,0.106,0.323,0.032
E6,0.056,0.146,0.028
F6,0.145,0.508,0.029
G6,0.135,0.491,0.035
H6,0.117,0.367,0.034
A7,0.067,0.176,0.029
B7,0.222,0.776,0.031
C7,0.074,0.205,0.029
D7,0.102,0.292,0.028
E7,0.095,0.277,0.029
F7,0.095,0.294,0.032
G7,0.067,0.18,0.031
H7,0.086,0.248,0.03
A8,0.076,0.193,0.035
B8,0.249,0.871,0.036
C8,0.093,0.241,0.046
D8,0.106,0.319,0.035
E8,0.1,0.292,0.028
F8,0.098,0.319,0.028
G8,0.067,0.19,0.028
H8,0.086,0.26,0.028
A9,0.092,0.276,0.028
B9,0.116,0.35,0.029
C9,0.222,0.737,0.032
D9,0.1,0.314,0.031
E9,0.089,0.281,0.029
F9,0.136,0.44,0.029
G9,0.115,0.382,0.03
H9,0.225,0.835,0.029
A10,0.105,0.314,0.031
B10,0.126,0.381,0.031
C10,0.237,0.796,0.031
D10,0.11,0.365,0.029
E10,0.099,0.302,0.033
F10,0.144,0.472,0.029
G10,0.126,0.423,0.036
H10,0.243,0.904,0.031
A11,0.114,0.37,0.03
B11,0.093,0.273,0.028
C11,0.072,0.194,0.03
D11,0.081,0.249,0.028
E11,0.189,0.648,0.029
F11,0.09,0.273,0.028
G11,0.088,0.274,0.029
H11,0.085,0.231,0.027
A12,0.121,0.397,0.029
B12,0.096,0.302,0.028
C12,0.072,0.202,0.029
D12,0.087,0.275,0.029
E12,0.201,0.697,0.029
F12,0.096,0.291,0.028
G12,0.097,0.297,0.03
H12,0.087,0.246,0.028
