sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
C1d-noName-C42.2-C1-noName,10,-0.4643074885966737,-0.01212994273169038,0.007069276961149748,0.1343019852382263,0.03605090545745751,-0.004576785192147905,0.0007206004191408923,-0.006578049085714738,-0.0008213813283410501,-0.0,0.0
C1d/C42.2-C1-C3cg,11,-0.47358745729349894,-0.015241125965034566,0.01928990798333489,0.012228683028132056,-0.01411961636275108,-0.0026970771982877543,0.0075759637954723,0.026318757488405117,-0.002338575945740831,-0.0,0.0
C31-C17d-C31.1-C21-C31a-noName,12,0.5059648273904213,-0.07404356081948564,-0.17615154622635423,-0.0020237380457184197,-0.010816335176817654,0.008205974928047356,-0.01327775741045115,0.0012844597201059447,-0.002771411592907829,-0.0,0.0
C1d-noName-C42.2-C1,13,-0.47229506045383596,-0.014871201758140308,0.01843831536266304,-0.025200162714782662,-0.04465333622716922,0.004087824183199632,0.019450047677098622,-0.016883475533605283,-0.002734842272096895,-0.0,0.0
C31/C17d-C21-C21ac-C31.9,14,0.5100622801472168,0.1475617238231098,0.06560171585052314,0.0002768540144605799,0.011136768270775413,0.05252487084714587,0.011349520291735624,0.00197631319513594,0.00046225310257219334,-0.0,0.0
C1d-C31-C42.2-C1,15,-0.3919748730736513,-0.01889621919240382,0.01930419109796857,0.0027719248853200662,-0.03506140970048736,0.006161447301914373,-0.02111684207416867,0.0015185426570048152,0.005347575108976355,-0.0,0.0
C1d/C31/C17d-2099_C,16,-0.22235993917384472,0.11985324085662204,-0.10398112596967295,0.0015352757225198367,0.012552864974653157,0.004233731823915182,-0.005613555290093593,-0.004014367085074817,0.0019505151843284786,-0.0,0.0
C31-C17d-C21-C21ac-C31a-C17e,18,0.522865571910411,0.03593476864659431,-0.03584092017776517,-0.0009257498735290583,1.1233183180065479e-05,-0.033602620663315146,0.0315323769476255,0.002174475115325014,0.003250121056160859,-0.0,0.0
C31/C17d-C21-C21ac-C17e-C17f-C31.9,19,0.49395687421975604,0.21948671772065606,0.09834671261847738,0.0005691123922042602,-0.008228352724005796,-0.028876153583180998,-0.022649847282217847,-0.0024278478322338716,-0.0022579183034766924,-0.0,0.0
C1d,20,-0.465182616979646,-0.012434163037766913,0.009511983538978069,-0.12493809550577853,0.04599630221634325,-0.005715803578013528,-0.003095829542920945,-0.0011735238429711127,-0.0004025038898939649,-0.0,0.0
C31,21,0.45685788190334503,-0.37522023754245987,0.07841148896069706,0.0014039108589455809,0.0071309760888250175,0.00025459113072118217,-0.004874677531215061,-0.002195284796386619,0.0003161688804342674,-0.0,0.0
proportion_explained,0,0.8697666342513676,0.08717204492738219,0.02412308699831833,0.012888740365856013,0.0027518621317283876,0.001841812891975342,0.001032421825135469,0.00039726560478429865,2.613100345252133e-05,0.0,0.0
