"","Date.x","Timepoint","Date.Num","Species.x","Treatment","Plug.ID","Tank.x","Light.or.Dark.x","Vol.ml","Surface.Area","umol.L.sec","umol.sec","Group","Date.y","Species.y","Tank.y","Light.or.Dark.y","Blank.umol.sec","umol.sec.corr","Rdark_umol.cm2.hr"
"14",20180922,"Day1","9/22/18","Montipora","ATAC","1066",1,"Resp",588,29.4129793,-0.0059417467948718,-0.00349374711538462,"20180922_1_Resp",20180922,"Blank",1,"Resp",-0.000169218058132348,-0.00332452905725227,-0.406905552954582
"16",20180922,"Day1","9/22/18","Montipora","ATHC","1146",3,"Resp",593,34.5857605,-0.00629557223264545,-0.00373327433395875,"20180922_3_Resp",20180922,"Blank",3,"Resp",-0.000340336687808317,-0.00339293764615043,-0.353167758914585
"18",20180922,"Day1","9/22/18","Montipora","HTHC","1163",2,"Resp",599,18.5841466,-0.00421804013721204,-0.00252660604219001,"20180922_2_Resp",20180922,"Blank",2,"Resp",-0.000402179512955394,-0.00212442652923462,-0.411530089051526
"20",20180922,"Day1","9/22/18","Montipora","ATHC","1175",3,"Resp",595,13.1249831,-0.00266152565525482,-0.00158360776487662,"20180922_3_Resp",20180922,"Blank",3,"Resp",-0.000340336687808317,-0.0012432710770683,-0.341011934517911
"22",20180922,"Day1","9/22/18","Montipora","HTAC","1232",4,"Resp",590,27.33223,-0.00720498827594718,-0.00425094308280884,"20180922_4_Resp",20180922,"Blank",4,"Resp",-0.000434591171171121,-0.00381635191163771,-0.502661761659981
"24",20180922,"Day1","9/22/18","Montipora","ATAC","1305",1,"Resp",596,27.5380699,-0.0026779029391661,-0.001596030151743,"20180922_1_Resp",20180922,"Blank",1,"Resp",-0.000169218058132348,-0.00142681209361065,-0.18652445707527
"26",20180922,"Day1","9/22/18","Montipora","HTHC","1426",2,"Resp",592,32.1201875,-0.00636083451872925,-0.00376561403508772,"20180922_2_Resp",20180922,"Blank",2,"Resp",-0.000402179512955394,-0.00336343452213232,-0.376970535420329
"28",20180922,"Day1","9/22/18","Montipora","ATAC","1549",8,"Resp",598,21.14836,-0.00460343891402713,-0.00275285647058822,"20180922_8_Resp",20180922,"Blank",8,"Resp",-0.000201831356007698,-0.00255102511458053,-0.43425071317539
"30",20180922,"Day1","9/22/18","Montipora","HTAC","1585",7,"Resp",586,10.6996825,-0.00629493908153702,-0.00368883430178069,"20180922_7_Resp",20180922,"Blank",7,"Resp",-0.000254349303213874,-0.00343448499856682,-1.15556195194021
"32",20180922,"Day1","9/22/18","Montipora","HTAC","1640",7,"Resp",596,17.6578787,-0.00691246654234032,-0.00411983005923483,"20180922_7_Resp",20180922,"Blank",7,"Resp",-0.000254349303213874,-0.00386548075602096,-0.788074884763788
"34",20180922,"Day1","9/22/18","Montipora","ATAC","2001",8,"Resp",596,12.69541,-0.00274705882352944,-0.00163724705882355,"20180922_8_Resp",20180922,"Blank",8,"Resp",-0.000201831356007698,-0.00143541570281585,-0.407036600640472
