PLUG.ID,Species,Tank,Temperature,CO2,Treatment,Analysis,Date,Date.Format,TimePoint,Mass.g,Temp.C
1038,Mcapitata,Tank1,Ambient,Ambient,ATAC,Phys,20180928,9/28/18,Time1_Init,3.058,28.43
1045,Pacuta,Tank1,Ambient,Ambient,ATAC,Phys,20180927,9/27/18,Time1_Init,2.759,27.55
1046,Pacuta,Tank1,Ambient,Ambient,ATAC,Phys,20180927,9/27/18,Time1_Init,2.941,27.58
1048,Pacuta,Tank1,Ambient,Ambient,ATAC,Phys,20180928,9/28/18,Time1_Init,2.389,28.4
1049,Mcapitata,Tank1,Ambient,Ambient,ATAC,Phys,20180927,9/27/18,Time1_Init,3.125,27.54
1052,Mcapitata,Tank1,Ambient,Ambient,ATAC,Phys,20180928,9/28/18,Time1_Init,4.174,28.4
1053,Mcapitata,Tank1,Ambient,Ambient,ATAC,Phys,20180927,9/27/18,Time1_Init,1.939,27.54
1055,Mcapitata,Tank1,Ambient,Ambient,ATAC,Phys,20180928,9/28/18,Time1_Init,2.01,28.4
1056,Pacuta,Tank1,Ambient,Ambient,ATAC,Phys,20180928,9/28/18,Time1_Init,1.943,28.42
1057,Mcapitata,Tank1,Ambient,Ambient,ATAC,Phys,20180927,9/27/18,Time1_Init,3.402,27.55
1063,Mcapitata,Tank1,Ambient,Ambient,ATAC,Phys,20180928,9/28/18,Time1_Init,1.797,28.08
1064,Mcapitata,Tank1,Ambient,Ambient,ATAC,Phys,20180928,9/28/18,Time1_Init,1.799,28.39
1065,Mcapitata,Tank1,Ambient,Ambient,ATAC,Phys,20180928,9/28/18,Time1_Init,2.563,28.4
1071,Mcapitata,Tank2,High,High,HTHC,Phys,20180928,9/28/18,Time1_Init,2.688,28.63
1074,Mcapitata,Tank2,High,High,HTHC,Phys,20180928,9/28/18,Time1_Init,2.843,28.61
1075,Pacuta,Tank1,Ambient,Ambient,ATAC,Phys,20180928,9/28/18,Time1_Init,3.183,28.4
1076,Mcapitata,Tank1,Ambient,Ambient,ATAC,Phys,20180928,9/28/18,Time1_Init,3.393,28.4
1078,Mcapitata,Tank2,High,High,HTHC,Phys,20180928,9/28/18,Time1_Init,2.565,28.6
1081,Mcapitata,Tank1,Ambient,Ambient,ATAC,Phys,20180928,9/28/18,Time1_Init,2.351,28.4
1084,Pacuta,Tank1,Ambient,Ambient,ATAC,Phys,20180928,9/28/18,Time1_Init,6.148,28.4
1085,Mcapitata,Tank2,High,High,HTHC,Phys,20180928,9/28/18,Time1_Init,2.953,28.63
1086,Pacuta,Tank1,Ambient,Ambient,ATAC,Phys,20180928,9/28/18,Time1_Init,4.604,27.48
1087,Pacuta,Tank1,Ambient,Ambient,ATAC,Phys,20180927,9/27/18,Time1_Init,3.254,27.58
1088,Pacuta,Tank1,Ambient,Ambient,ATAC,Phys,20180928,9/28/18,Time1_Init,2.479,28.39
1091,Mcapitata,Tank2,High,High,HTHC,Phys,20180928,9/28/18,Time1_Init,2.133,28.56
1092,Mcapitata,Tank2,High,High,HTHC,Phys,20180928,9/28/18,Time1_Init,2.097,28.58
1094,Pacuta,Tank2,High,High,HTHC,Phys,20180928,9/28/18,Time1_Init,2.512,28.63
1096,Mcapitata,Tank2,High,High,HTHC,Phys,20180928,9/28/18,Time1_Init,2.522,28.59
1097,Pacuta,Tank2,High,High,HTHC,Phys,20180928,9/28/18,Time1_Init,1.619,28.63
1102,Mcapitata,Tank1,Ambient,Ambient,ATAC,Phys,20180928,9/28/18,Time1_Init,1.584,28.39
1103,Pacuta,Tank1,Ambient,Ambient,ATAC,Phys,20180927,9/27/18,Time1_Init,2.483,27.55
1105,Mcapitata,Tank1,Ambient,Ambient,ATAC,Phys,20180927,9/27/18,Time1_Init,2.032,27.58
1106,Mcapitata,Tank1,Ambient,Ambient,ATAC,Phys,20180928,9/28/18,Time1_Init,1.957,28.39
1111,Pacuta,Tank1,Ambient,Ambient,ATAC,Phys,20180927,9/27/18,Time1_Init,1.764,27.58
1112,Pacuta,Tank1,Ambient,Ambient,ATAC,Phys,20180927,9/27/18,Time1_Init,5.224,27.54
1113,Pacuta,Tank1,Ambient,Ambient,ATAC,Phys,20180928,9/28/18,Time1_Init,3.179,28.4
1115,Mcapitata,Tank1,Ambient,Ambient,ATAC,Phys,20180927,9/27/18,Time1_Init,2.016,27.58
1119,Mcapitata,Tank1,Ambient,Ambient,ATAC,Phys,20180927,9/27/18,Time1_Init,2.591,27.54
1120,Mcapitata,Tank1,Ambient,Ambient,ATAC,Phys,20180928,9/28/18,Time1_Init,2.852,28.4
1122,Mcapitata,Tank2,High,High,HTHC,Phys,20180928,9/28/18,Time1_Init,2.118,28.6
1123,Mcapitata,Tank1,Ambient,Ambient,ATAC,Phys,20180928,9/28/18,Time1_Init,2.655,28.41
1129,Pacuta,Tank1,Ambient,Ambient,ATAC,Phys,20180928,9/28/18,Time1_Init,3.67,28.4
1130,Pacuta,Tank2,High,High,HTHC,Phys,20180928,9/28/18,Time1_Init,3.18,28.59
1131,Pacuta,Tank2,High,High,HTHC,Phys,20180928,9/28/18,Time1_Init,2.417,29.01
1132,Pacuta,Tank2,High,High,HTHC,Phys,20180928,9/28/18,Time1_Init,1.931,28.56
1133,Mcapitata,Tank2,High,High,HTHC,Phys,20180928,9/28/18,Time1_Init,1.522,28.59
1134,Mcapitata,Tank2,High,High,HTHC,Phys,20180928,9/28/18,Time1_Init,2.231,28.58
1135,Mcapitata,Tank2,High,High,HTHC,Phys,20180928,9/28/18,Time1_Init,1.595,28.57
1136,Mcapitata,Tank3,Ambient,High,ATHC,Phys,20180928,9/28/18,Time1_Init,2.18,28.31
1139,Pacuta,Tank2,High,High,HTHC,Phys,20180928,9/28/18,Time1_Init,NA,NA
1141,Pacuta,Tank1,Ambient,Ambient,ATAC,Phys,20180927,9/27/18,Time1_Init,3.522,27.58
1142,Mcapitata,Tank3,Ambient,High,ATHC,Phys,20180928,9/28/18,Time1_Init,2.279,28.29
1144,Mcapitata,Tank2,High,High,HTHC,Phys,20180928,9/28/18,Time1_Init,1.969,28.6
1148,Mcapitata,Tank3,Ambient,High,ATHC,Phys,20180928,9/28/18,Time1_Init,2.811,28.33
1149,Pacuta,Tank3,Ambient,High,ATHC,Phys,20180928,9/28/18,Time1_Init,2.63,28.33
1150,Pacuta,Tank3,Ambient,High,ATHC,Phys,20180928,9/28/18,Time1_Init,2.71,28.3
1151,Mcapitata,Tank3,Ambient,High,ATHC,Phys,20180928,9/28/18,Time1_Init,2.364,28.3
1154,Mcapitata,Tank3,Ambient,High,ATHC,Phys,20180928,9/28/18,Time1_Init,2.329,28.32
1155,Mcapitata,Tank3,Ambient,High,ATHC,Phys,20180928,9/28/18,Time1_Init,2.808,28.32
1159,Pacuta,Tank1,Ambient,Ambient,ATAC,Phys,20180927,9/27/18,Time1_Init,3.324,27.58
1160,Pacuta,Tank2,High,High,HTHC,Phys,20180928,9/28/18,Time1_Init,4.452,28.58
1161,Pacuta,Tank2,High,High,HTHC,Phys,20180928,9/28/18,Time1_Init,2.855,28.62
1162,Mcapitata,Tank2,High,High,HTHC,Phys,20180928,9/28/18,Time1_Init,1.746,28.58
1166,Mcapitata,Tank1,Ambient,Ambient,ATAC,Phys,20180927,9/27/18,Time1_Init,1.729,27.48
1170,Pacuta,Tank2,High,High,HTHC,Phys,20180928,9/28/18,Time1_Init,8.338,28.64
