Pan.ID,colony_id,partner,initial.mass.g,dry.pan.mass.g,burnt.pan.mass.g
97,1434,Sym,1.1461,1.1582,1.1558
98,2751,Sym,1.1401,,
99,2003,Host,1.1521,1.2065,1.1977
100,1411,Sym,1.1493,1.1635,1.1592
101,1741,Sym,1.1602,1.1732,1.1703
102,1247,Sym,1.1441,1.1577,1.1543
103,2169,Sym,1.136,1.1485,1.1453
104,1311,Host,1.1271,1.1795,1.1691
105,1756,Sym,1.141,1.153,1.1507
106,2014,Sym,1.148,1.1619,1.1583
107,2192,Sym,1.1339,,
108,1052,Sym,1.1461,1.1604,1.1568
109,2540,Sym,1.1408,1.1521,1.1511
110,1434,Host,1.1303,1.1803,1.1717
111,1636,Host,1.1309,1.1933,1.174
112,1410,Host,1.1464,1.1966,1.1907
113,2165,Sym,1.1452,1.1643,1.1564
114,,,1.1486,,
115,1318,Sym,1.15,1.1615,1.1592
116,,,,,
117,,,,,
118,,,,,
119,,,,,
120,1630,Sym,1.1341,,
121,1602,Sym,1.1388,,
122,1253,Sym,1.1474,,
123,1572,Sym,1.1337,,
124,1770,Host,1.1316,,
125,1702,Sym,1.1405,,
126,1077,Sym,1.1321,,
127,1208,Sym,1.118,,
128,1046,Sym,1.1407,,
129,2189,Host,1.1555,,
130,1187,Host,1.1476,,
131,2013,Host,1.1315,,
132,1578,Sym,1.1191,,
133,2669,Sym,1.1461,,
134,1578,Host,1.13,,
135,2058,Sym,1.129,,
136,2063,Sym,1.1321,,
137,1738,Sym,1.1266,,
138,1423,Sym,1.1232,,
139,1439,Sym,1.1257,,
140,1188,Host,1.1411,,
141,1100,Sym,1.1452,,
142,1084,Sym,1.1295,,
143,1211,Host,1.1362,,
144,1316,Host,1.133,,
145,1778,Host,1.1343,,
146,,,1.1219,,
147,1228,Sym,1.1319,,
148,1252,Host,1.1288,,
149,1215,Sym,1.1466,,
150,1547,Host,1.1314,,
151,2013,Sym,1.1342,,
152,2729,Sym,1.141,,
153,2189,Sym,1.1349,,
154,1412,Host,1.1299,,
155,2407,Host,1.1313,,
156,1316,Sym,1.1374,,
157,2992,Host,1.1169,,
158,,,1.125,,
159,1752,Host,1.1506,,
160,1111,Host,1.1416,,
161,2192,Host,1.1389,,
162,1299,Sym,1.1351,,
163,2869,Host,1.133,,
164,1488,Host,1.1273,,
165,1772,Host,1.1344,,
166,1077,Host,1.1267,,
167,1495,Host,1.1236,,
168,1324,Host,1.1297,,
169,2751,Host,1.124,,
170,1702,Host,1.1169,,
171,1423,Host,1.1187,,
172,1547,Sym,1.128,,
173,1211,Sym,1.1103,,
174,,,1.1219,,
175,1038,Host,1.1268,,
176,1046,Host,1.1313,,
177,1772,Sym,1.1321,,
178,1253,Host,1.1212,,
179,1100,Host,1.143,,
180,1084,Host,1.1164,,
181,2060,Host,1.1227,,
182,2058,Host,1.1271,,
183,2062,Host,1.1266,,
184,2062,Sym,1.1308,,
185,1187,Sym,1.132,,
186,1778,Sym,1.1193,,
187,1534,Host,1.1184,,
188,2060,Sym,1.1194,,
189,,,1.1337,,
190,1770,Sym,1.1511,,
191,1234,Host,1.1228,,
192,2001,Host,1.1455,,
193,1572,Host,1.1522,,
194,1299,Host,1.1328,,
195,1695,Host,1.1299,,
196,1488,Sym,1.1369,,
197,1215,Host,1.1224,,
198,1439,Host,1.1258,,
199,2871,Host,1.1226,,
200,1412,Sym,1.1242,,
201,1208,Host,1.1216,,
202,1228,Host,1.1206,,
203,1738,Host,1.1272,,
204,1630,Host,1.1212,,
205,2063,Host,1.123,,
206,2982,Host,1.1172,,
207,1695,Sym,1.1251,,
208,1602,Sym,1.1244,,
209,2168,Host,1.1274,,
210,,,1.1317,,
211,1233,Host,1.1288,,
212,2015,Host,1.1142,,
213,2729,Host,1.1418,,
214,2669,Host,1.1397,,
215,1549,Host,1.1366,,
216,,,,,
217,,,,,
218,,,,,
219,,,,,
220,,,,,
221,,,,,
222,,,,,
223,,,,,
224,,,,,
225,,,,,
226,,,,,
227,,,,,
228,,,,,
229,,,,,
230,,,,,
231,,,,,
232,,,,,
233,,,,,
234,,,,,
235,,,,,
236,,,,,
237,,,,,
238,,,,,
239,,,,,
240,,,,,
1116,,,,,
1117,,,,,
1118,,,,,
1119,,,,,
1120,,,,,
1121,,,,,
1122,,,,,
1123,,,,,
1124,,,,,
1125,,,,,
1126,,,,,
1127,,,,,
1128,,,,,
1129,,,,,
1130,,,,,
1131,,,,,
1132,,,,,
1133,,,,,
1134,,,,,
1135,,,,,
1136,,,,,
1137,,,,,
1138,,,,,
1139,,,,,
1140,,,,,
1141,,,,,
1142,,,,,
1143,,,,,
1144,,,,,
1145,,,,,
1146,,,,,
1147,,,,,
1148,,,,,
1149,,,,,
1150,,,,,
1151,,,,,
1152,,,,,
1153,,,,,
1154,,,,,
1155,,,,,
1156,,,,,
1157,,,,,
1158,,,,,
1159,,,,,
1160,,,,,
1161,,,,,
1162,,,,,
1163,,,,,
1164,,,,,
1165,,,,,
1166,,,,,
1167,,,,,
1168,,,,,
1169,,,,,
1170,,,,,
1171,,,,,
1172,,,,,
1173,,,,,
1174,,,,,
1175,,,,,
1176,,,,,
1177,,,,,
1178,,,,,
1179,,,,,
1180,,,,,
1181,,,,,
1182,,,,,
1183,,,,,
1184,,,,,
1185,,,,,
1186,,,,,
1187,,,,,
1188,,,,,
1189,,,,,
1190,,,,,
1191,,,,,
1192,,,,,
1193,,,,,
1194,,,,,
1195,,,,,
1196,,,,,
1197,,,,,
1198,,,,,
1199,,,,,
