Well,Plug_ID
A1,StandardA
A2,NA
A3,StandardB
A4,StandardB
A5,StandardC
A6,StandardC
A7,StandardD
A8,StandardD
A9,StandardE
A10,StandardE
A11,StandardF
A12,StandardF
B1,StandardG
B2,StandardG
B3,StandardH
B4,StandardH
B5,StandardI
B6,StandardI
B7,2404
B8,2404
B9,1551
B10,1551
B11,2184
B12,2184
C1,2388
C2,2388
C3,1409
C4,1409
C5,1724
C6,1724
C7,2530
C8,2530
C9,2279
C10,2279
C11,1753
C12,1753
D1,1710
D2,1710
D3,2394
D4,2394
D5,2741
D6,2741
D7,1194
D8,1194
D9,2164
D10,2164
D11,2389
D12,2389
E1,2074
E2,2074
E3,2022
E4,2022
E5,1092
E6,1092
E7,1461
E8,1461
E9,1233
E10,1233
E11,1094
E12,1094
F1,1598
F2,1598
F3,1693
F4,1693
F5,1646
F6,1646
F7,1576
F8,1576
F9,2165
F10,2165
F11,2303
F12,2303
G1,2666
G2,2666
G3,2168
G4,2168
G5,2063
G6,2063
G7,1432
G8,1432
G9,1275
G10,1275
G11,1226
G12,1226
H1,1319
H2,1319
H3,1717
H4,1717
H5,1046
H6,1046
H7,1165
H8,1165
H9,1490
H10,1490
H11,NA
H12,NA
