Well,Plug_ID
A1,StandardA
A2,StandardA
A3,StandardB
A4,StandardB
A5,StandardC
A6,StandardC
A7,StandardD
A8,StandardD
A9,NA
A10,NA
A11,NA
A12,NA
B1,StandardE
B2,StandardE
B3,StandardF
B4,StandardF
B5,StandardG
B6,StandardG
B7,StandardH
B8,StandardH
B9,NA
B10,NA
B11,NA
B12,NA
C1,StandardI
C2,StandardI
C3,1182
C4,1182
C5,1774
C6,1774
C7,NA
C8,NA
C9,NA
C10,NA
C11,NA
C12,NA
D1,1337
D2,1337
D3,1687
D4,1687
D5,1295
D6,1295
D7,NA
D8,NA
D9,NA
D10,NA
D11,NA
D12,NA
E1,2178
E2,2178
E3,1541
E4,1541
E5,1454
E6,1454
E7,NA
E8,NA
E9,NA
E10,NA
E11,NA
E12,NA
F1,1284
F2,1284
F3,1725
F4,1725
F5,2863
F6,2863
F7,NA
F8,NA
F9,NA
F10,NA
F11,NA
F12,NA
G1,1749
G2,1749
G3,1038
G4,1038
G5,2079
G6,2079
G7,NA
G8,NA
G9,NA
G10,NA
G11,NA
G12,NA
H1,3002
H2,3002
H3,1215
H4,1215
H5,1265
H6,1265
H7,NA
H8,NA
H9,NA
H10,NA
H11,NA
H12,NA
