Well,Plug_ID
A1,StandardA
A2,StandardA
A3,StandardB
A4,StandardB
A5,StandardC
A6,StandardC
A7,StandardD
A8,StandardD
A9,StandardE
A10,StandardE
A11,StandardF
A12,StandardF
B1,StandardG
B2,StandardG
B3,StandardH
B4,StandardH
B5,StandardI
B6,StandardI
B7,1042
B8,1042
B9,2384
B10,2384
B11,1191
B12,1191
C1,1540
C2,1540
C3,1091
C4,1091
C5,1174
C6,1174
C7,1702
C8,1702
C9,1077
C10,1077
C11,2853
C12,2853
D1,1256
D2,1256
D3,2382
D4,2382
D5,1336
D6,1336
D7,1743
D8,1743
D9,2540
D10,2540
D11,2989
D12,2989
E1,1048
E2,1048
E3,1044
E4,1044
E5,1252
E6,1252
E7,1630
E8,1630
E9,1430
E10,1430
E11,1597
E12,1597
F1,1084
F2,1084
F3,1271
F4,1271
F5,2565
F6,2565
F7,1116
F8,1116
F9,2998
F10,2998
F11,1620
F12,1620
G1,2018
G2,2018
G3,2397
G4,2397
G5,1599
G6,1599
G7,1491
G8,1491
G9,1686
G10,1686
G11,1473
G12,1473
H1,1208
H2,1208
H3,2566
H4,2566
H5,2169
H6,2169
H7,2858
H8,2858
H9,1325
H10,1325
H11,1636
H12,1636
