"Sample.ID","TA","Mass","Tank","Type"
"20180929_JUNK",1092.96416771781,59.1,"Junk","Junk"
"20180929_CRM1",2243.13660118297,59.56,"CRM1","CRM"
"20180929_CRM2",2237.6165918058,59.17,"CRM2","CRM"
