"Plot Title: Tank8"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 20444038, SEN S/N: 20444038, LBL: Tank 8)","Coupler Detached (LGR S/N: 20444038)","Coupler Attached (LGR S/N: 20444038)","Host Connected (LGR S/N: 20444038)","End Of File (LGR S/N: 20444038)"
1,12/19/18 11:00:00 AM,22.034,Logged,,,
2,12/19/18 11:10:00 AM,22.345,,,,
3,12/19/18 11:20:00 AM,22.393,,,,
4,12/19/18 11:30:00 AM,22.393,,,,
5,12/19/18 11:40:00 AM,22.417,,,,
6,12/19/18 11:50:00 AM,22.513,,,,
7,12/19/18 12:00:00 PM,22.585,,,,
8,12/19/18 12:10:00 PM,22.633,,,,
9,12/19/18 12:20:00 PM,22.681,,,,
10,12/19/18 12:30:00 PM,22.729,,,,
11,12/19/18 12:40:00 PM,22.776,,,,
12,12/19/18 12:50:00 PM,22.824,,,,
13,12/19/18 01:00:00 PM,22.896,,,,
14,12/19/18 01:10:00 PM,22.920,,,,
15,12/19/18 01:20:00 PM,22.968,,,,
16,12/19/18 01:30:00 PM,22.992,,,,
17,12/19/18 01:40:00 PM,23.016,,,,
18,12/19/18 01:50:00 PM,23.040,,,,
19,12/19/18 02:00:00 PM,23.040,,,,
20,12/19/18 02:10:00 PM,23.064,,,,
21,12/19/18 02:20:00 PM,23.064,,,,
22,12/19/18 02:30:00 PM,23.064,,,,
23,12/19/18 02:40:00 PM,23.064,,,,
24,12/19/18 02:50:00 PM,23.064,,,,
25,12/19/18 03:00:00 PM,23.064,,,,
26,12/19/18 03:10:00 PM,23.040,,,,
27,12/19/18 03:20:00 PM,23.040,,,,
28,12/19/18 03:30:00 PM,23.040,,,,
29,12/19/18 03:40:00 PM,23.016,,,,
30,12/19/18 03:50:00 PM,23.016,,,,
31,12/19/18 04:00:00 PM,23.016,,,,
32,12/19/18 04:10:00 PM,22.992,,,,
33,12/19/18 04:20:00 PM,22.992,,,,
34,12/19/18 04:30:00 PM,22.992,,,,
35,12/19/18 04:40:00 PM,22.992,,,,
36,12/19/18 04:50:00 PM,22.968,,,,
37,12/19/18 05:00:00 PM,22.968,,,,
38,12/19/18 05:10:00 PM,22.944,,,,
39,12/19/18 05:20:00 PM,22.920,,,,
40,12/19/18 05:30:00 PM,22.920,,,,
41,12/19/18 05:40:00 PM,22.896,,,,
42,12/19/18 05:50:00 PM,22.872,,,,
43,12/19/18 06:00:00 PM,22.848,,,,
44,12/19/18 06:10:00 PM,22.848,,,,
45,12/19/18 06:20:00 PM,22.824,,,,
46,12/19/18 06:30:00 PM,22.800,,,,
47,12/19/18 06:40:00 PM,22.800,,,,
48,12/19/18 06:50:00 PM,22.776,,,,
49,12/19/18 07:00:00 PM,22.776,,,,
50,12/19/18 07:10:00 PM,22.753,,,,
51,12/19/18 07:20:00 PM,22.729,,,,
52,12/19/18 07:30:00 PM,22.729,,,,
53,12/19/18 07:40:00 PM,22.753,,,,
54,12/19/18 07:50:00 PM,22.753,,,,
55,12/19/18 08:00:00 PM,22.729,,,,
56,12/19/18 08:10:00 PM,22.729,,,,
57,12/19/18 08:20:00 PM,22.705,,,,
58,12/19/18 08:30:00 PM,22.705,,,,
59,12/19/18 08:40:00 PM,22.705,,,,
60,12/19/18 08:50:00 PM,22.705,,,,
61,12/19/18 09:00:00 PM,22.681,,,,
62,12/19/18 09:10:00 PM,22.705,,,,
63,12/19/18 09:20:00 PM,22.705,,,,
64,12/19/18 09:30:00 PM,22.705,,,,
65,12/19/18 09:40:00 PM,22.705,,,,
66,12/19/18 09:50:00 PM,22.705,,,,
67,12/19/18 10:00:00 PM,22.681,,,,
68,12/19/18 10:10:00 PM,22.681,,,,
69,12/19/18 10:20:00 PM,22.681,,,,
70,12/19/18 10:30:00 PM,22.657,,,,
71,12/19/18 10:40:00 PM,22.657,,,,
72,12/19/18 10:50:00 PM,22.633,,,,
73,12/19/18 11:00:00 PM,22.633,,,,
74,12/19/18 11:10:00 PM,22.633,,,,
75,12/19/18 11:20:00 PM,22.633,,,,
76,12/19/18 11:30:00 PM,22.633,,,,
77,12/19/18 11:40:00 PM,22.633,,,,
78,12/19/18 11:50:00 PM,22.633,,,,
79,12/20/18 12:00:00 AM,22.633,,,,
80,12/20/18 12:10:00 AM,22.609,,,,
81,12/20/18 12:20:00 AM,22.633,,,,
82,12/20/18 12:30:00 AM,22.633,,,,
83,12/20/18 12:40:00 AM,22.609,,,,
84,12/20/18 12:50:00 AM,22.609,,,,
85,12/20/18 01:00:00 AM,22.609,,,,
86,12/20/18 01:10:00 AM,22.609,,,,
87,12/20/18 01:20:00 AM,22.609,,,,
88,12/20/18 01:30:00 AM,22.585,,,,
89,12/20/18 01:40:00 AM,22.585,,,,
90,12/20/18 01:50:00 AM,22.561,,,,
91,12/20/18 02:00:00 AM,22.561,,,,
92,12/20/18 02:10:00 AM,22.561,,,,
93,12/20/18 02:20:00 AM,22.561,,,,
94,12/20/18 02:30:00 AM,22.561,,,,
95,12/20/18 02:40:00 AM,22.561,,,,
96,12/20/18 02:50:00 AM,22.585,,,,
97,12/20/18 03:00:00 AM,22.561,,,,
98,12/20/18 03:10:00 AM,22.585,,,,
99,12/20/18 03:20:00 AM,22.585,,,,
100,12/20/18 03:30:00 AM,22.585,,,,
101,12/20/18 03:40:00 AM,22.585,,,,
102,12/20/18 03:50:00 AM,22.585,,,,
103,12/20/18 04:00:00 AM,22.585,,,,
104,12/20/18 04:10:00 AM,22.585,,,,
105,12/20/18 04:20:00 AM,22.585,,,,
106,12/20/18 04:30:00 AM,22.609,,,,
107,12/20/18 04:40:00 AM,22.609,,,,
108,12/20/18 04:50:00 AM,22.609,,,,
109,12/20/18 05:00:00 AM,22.609,,,,
110,12/20/18 05:10:00 AM,22.609,,,,
111,12/20/18 05:20:00 AM,22.609,,,,
112,12/20/18 05:30:00 AM,22.633,,,,
113,12/20/18 05:40:00 AM,22.633,,,,
114,12/20/18 05:50:00 AM,22.633,,,,
115,12/20/18 06:00:00 AM,22.633,,,,
116,12/20/18 06:10:00 AM,22.633,,,,
117,12/20/18 06:20:00 AM,22.633,,,,
118,12/20/18 06:30:00 AM,22.609,,,,
119,12/20/18 06:40:00 AM,22.609,,,,
120,12/20/18 06:50:00 AM,22.609,,,,
121,12/20/18 07:00:00 AM,22.585,,,,
122,12/20/18 07:10:00 AM,22.561,,,,
123,12/20/18 07:20:00 AM,22.561,,,,
124,12/20/18 07:30:00 AM,22.561,,,,
125,12/20/18 07:40:00 AM,22.537,,,,
126,12/20/18 07:50:00 AM,22.561,,,,
127,12/20/18 08:00:00 AM,22.537,,,,
128,12/20/18 08:10:00 AM,22.561,,,,
129,12/20/18 08:20:00 AM,22.585,,,,
130,12/20/18 08:30:00 AM,22.609,,,,
131,12/20/18 08:40:00 AM,22.633,,,,
132,12/20/18 08:50:00 AM,22.633,,,,
133,12/20/18 09:00:00 AM,22.657,,,,
134,12/20/18 09:10:00 AM,22.681,,,,
135,12/20/18 09:20:00 AM,22.705,,,,
136,12/20/18 09:30:00 AM,22.753,,,,
137,12/20/18 09:40:00 AM,22.800,,,,
138,12/20/18 09:50:00 AM,22.824,,,,
139,12/20/18 10:00:00 AM,22.848,,,,
140,12/20/18 10:10:00 AM,22.896,,,,
141,12/20/18 10:20:00 AM,22.968,,,,
142,12/20/18 10:30:00 AM,23.064,,,,
143,12/20/18 10:40:00 AM,23.136,,,,
144,12/20/18 10:50:00 AM,23.160,,,,
145,12/20/18 11:00:00 AM,23.184,,,,
146,12/20/18 11:10:00 AM,23.232,,,,
147,12/20/18 11:20:00 AM,23.256,,,,
148,12/20/18 11:30:00 AM,23.256,,,,
149,12/20/18 11:40:00 AM,23.280,,,,
150,12/20/18 11:50:00 AM,23.304,,,,
151,12/20/18 12:00:00 PM,23.304,,,,
152,12/20/18 12:10:00 PM,23.352,,,,
153,12/20/18 12:20:00 PM,23.376,,,,
154,12/20/18 12:30:00 PM,23.424,,,,
155,12/20/18 12:40:00 PM,23.448,,,,
156,12/20/18 12:50:00 PM,23.497,,,,
157,12/20/18 01:00:00 PM,23.545,,,,
158,12/20/18 01:10:00 PM,23.617,,,,
159,12/20/18 01:20:00 PM,23.689,,,,
160,12/20/18 01:30:00 PM,23.737,,,,
161,12/20/18 01:40:00 PM,23.785,,,,
162,12/20/18 01:50:00 PM,23.833,,,,
163,12/20/18 02:00:00 PM,23.857,,,,
164,12/20/18 02:10:00 PM,23.905,,,,
165,12/20/18 02:20:00 PM,23.905,,,,
166,12/20/18 02:30:00 PM,23.905,,,,
167,12/20/18 02:40:00 PM,23.905,,,,
168,12/20/18 02:50:00 PM,23.881,,,,
169,12/20/18 03:00:00 PM,23.881,,,,
