partner,Timepoint,Treatment,Temperature,CO2,Species,Measurement,N,Value,sd,se,ci
Host,Day 1,ATHC,Ambient,High,Montipora capitata,AFDW.mg.cm2,2,2.296396234871521,0.26077180028443253,0.1843935083233463,2.3429416687779705
Host,Day 1,ATHC,Ambient,High,Pocillopora acuta,AFDW.mg.cm2,2,1.6545971071991645,0.733288300292513,0.5185131297015934,6.588333984383148
Host,Day 1,HTHC,High,High,Montipora capitata,AFDW.mg.cm2,2,1.4991445714444893,0.550923873319621,0.3895620067418625,4.949854615097171
Host,Day 1,HTHC,High,High,Pocillopora acuta,AFDW.mg.cm2,2,1.6980642782749253,0.4326973686090673,0.30596324354504667,3.887631614227443
Host,12 week,HTAC,High,Ambient,Pocillopora acuta,AFDW.mg.cm2,2,0.9396351950730107,0.6327411404402281,0.4474155511409949,5.684953594945919
Host,Day 1,HTAC,High,Ambient,Pocillopora acuta,AFDW.mg.cm2,3,1.8866138283126308,0.46971458013888956,0.27118983928547996,1.1668357022819882
Host,Day 1,ATAC,Ambient,Ambient,Montipora capitata,AFDW.mg.cm2,4,1.8717277872087639,0.6875449747997794,0.3437724873998897,1.094037482383969
Host,Day 1,ATAC,Ambient,Ambient,Pocillopora acuta,AFDW.mg.cm2,4,1.947988778691634,1.3123695780646383,0.6561847890323191,2.0882728574392733
Host,Day 1,HTAC,High,Ambient,Montipora capitata,AFDW.mg.cm2,4,3.254648581322779,1.2567817127254868,0.6283908563627434,1.999820159105678
Host,Day 2,ATHC,Ambient,High,Montipora capitata,AFDW.mg.cm2,4,2.467682153784307,0.6418029201235829,0.32090146006179143,1.0212516659337953
Host,Day 2,ATHC,Ambient,High,Pocillopora acuta,AFDW.mg.cm2,4,1.7999353389966206,0.2608766761103965,0.13043833805519825,0.4151130070111129
Host,Day 2,HTHC,High,High,Montipora capitata,AFDW.mg.cm2,4,4.356267968730231,3.5203393152291422,1.7601696576145711,5.601645423547981
Host,Day 2,HTHC,High,High,Pocillopora acuta,AFDW.mg.cm2,4,1.933189517261071,0.5513565640105904,0.2756782820052952,0.8773313300147118
Host,1 week,ATHC,Ambient,High,Montipora capitata,AFDW.mg.cm2,4,2.1322428704211176,0.3427866479454555,0.17139332397272775,0.5454500506273009
Host,1 week,ATHC,Ambient,High,Pocillopora acuta,AFDW.mg.cm2,4,2.0224638384535716,0.7871569044821342,0.3935784522410671,1.2525422911738642
Host,1 week,HTHC,High,High,Montipora capitata,AFDW.mg.cm2,4,2.9053113327846996,1.4208308313305176,0.7104154156652588,2.2608589148004925
Host,1 week,HTHC,High,High,Pocillopora acuta,AFDW.mg.cm2,4,2.067051386756931,0.48861681732549805,0.24430840866274903,0.7774983924985078
Host,16 week,HTAC,High,Ambient,Montipora capitata,AFDW.mg.cm2,4,1.4928668151601932,0.5041636401522138,0.2520818200761069,0.8022368569303988
Host,8 week,HTAC,High,Ambient,Pocillopora acuta,AFDW.mg.cm2,5,1.5966628530602907,0.6412230593300149,0.2867636698804588,0.7961835875881558
Host,8 week,HTHC,High,High,Pocillopora acuta,AFDW.mg.cm2,5,1.3046117698931763,0.642117243422835,0.2871635611636478,0.797293863783977
Host,12 week,ATAC,Ambient,Ambient,Montipora capitata,AFDW.mg.cm2,5,1.8797791415469742,0.873241451331473,0.39052544918954957,1.0842724718574945
Host,12 week,HTHC,High,High,Montipora capitata,AFDW.mg.cm2,5,2.042460840171629,1.1365289954044127,0.5082712184247625,1.4111871365083504
Host,16 week,ATHC,Ambient,High,Montipora capitata,AFDW.mg.cm2,5,1.9222173537874885,0.7296397309987088,0.32630480751955465,0.9059673856401756
Host,16 week,HTHC,High,High,Montipora capitata,AFDW.mg.cm2,5,1.9639856590907454,1.309304045662518,0.5855385698633757,1.6257156962016857
Host,Day 2,ATAC,Ambient,Ambient,Montipora capitata,AFDW.mg.cm2,6,2.1348514097018194,0.8032472094653578,0.32792430008410084,0.8429562492599413
Host,Day 2,ATAC,Ambient,Ambient,Pocillopora acuta,AFDW.mg.cm2,6,1.8380309945137434,0.7106444016468642,0.29011936210004713,0.7457755623807756
Host,Day 2,HTAC,High,Ambient,Montipora capitata,AFDW.mg.cm2,6,2.1873400074519913,0.49315285572638073,0.20132881028766703,0.5175321827157463
Host,Day 2,HTAC,High,Ambient,Pocillopora acuta,AFDW.mg.cm2,6,1.7586874276062097,0.3798888301168535,0.15508896546152232,0.3986688775230169
Host,1 week,ATAC,Ambient,Ambient,Montipora capitata,AFDW.mg.cm2,6,2.356718553545692,0.8519730329564755,0.3478165342257936,0.8940908650148013
Host,1 week,ATAC,Ambient,Ambient,Pocillopora acuta,AFDW.mg.cm2,6,2.1834193302389,0.37655115179438964,0.15372636399225817,0.3951661989369151
Host,1 week,HTAC,High,Ambient,Montipora capitata,AFDW.mg.cm2,6,1.8044945610131067,0.39442407477340147,0.16102295424403204,0.41392268130020604
Host,1 week,HTAC,High,Ambient,Pocillopora acuta,AFDW.mg.cm2,6,1.5677121112201107,1.0127195949518648,0.41344104335835463,1.062784036163512
Host,2 week,ATAC,Ambient,Ambient,Montipora capitata,AFDW.mg.cm2,6,2.6598756583352983,1.0574934366922404,0.43171988770636255,1.1097713014209247
Host,2 week,ATAC,Ambient,Ambient,Pocillopora acuta,AFDW.mg.cm2,6,2.367935565863465,0.4075220494390923,0.16637018000983933,0.4276681627248367
