Plug_ID,uae.mmol.L,vol_mL,Species,Tank,Timepoint,Temperature,Treatment,CO2,prot_ug,surface.area.cm2,cre.umol.L,cre.umol,cre.umol.mgprot,cre.umol.cm2
1602,0.07882394922935616,18,Pacuta,8,Day 1,Ambient,ATAC,Ambient,21043.647141835267,27.0055776650375,172.54562486306065,3.1058212475350917,0.14758949466324428,0.11500665847840803
1727,0.05302056407788704,15,Mcapitata,9,6 week,High,HTAC,Ambient,10743.229684078377,39.5213813793201,116.06201476649474,1.7409302214974212,0.1620490553299354,0.04405033834187734
2165,0.05690874540208102,29,Mcapitata,5,1 week,High,HTHC,High,13445.535623641814,25.2872835548178,124.57324368515535,3.6126240668695053,0.268685768123457,0.14286327193025913
2001,0.03464007054533369,17,Mcapitata,8,Day 1,Ambient,ATAC,Ambient,10473.109945061196,12.6954095283641,75.82711442373545,1.2890609452035027,0.12308291920599812,0.10153756303201414
2864,0.07776353614093962,16,Pacuta,11,1 week,Ambient,ATHC,High,22905.16172617188,24.477358466407,170.22438061251682,2.723590089800269,0.11890726301610186,0.1112697717581803
1423,0.051253208930526144,35,Pacuta,6,6 week,Ambient,ATAC,Ambient,26743.12282578096,47.2760784965356,112.19327434892173,3.926764602212261,0.1468326877079132,0.0830602860281657
2871,0.0692802314336073,17,Pacuta,11,1 week,Ambient,ATHC,High,19968.102357228112,23.7748267598849,151.65442660816637,2.5781252523388285,0.12911218132881772,0.10843928657721626
1549,0.027924120985362285,32.5,Mcapitata,8,Day 1,Ambient,ATAC,Ambient,13512.370563707424,23.148365365534,61.12590083695804,1.9865917772011363,0.14702022623157474,0.08581995945851999
2168,0.031458831280084074,55,Mcapitata,5,1 week,High,HTHC,High,19477.39561475001,17.3893952617507,68.86338167210404,3.787485991965722,0.1944554634962337,0.2178043534553836
2192,0.05514139025472012,20,Pacuta,9,6 week,High,HTAC,Ambient,18110.197163763445,31.0283547616196,120.70450326758234,2.414090065351647,0.1333000432586113,0.07780270929278359
1753,0.06433163702099681,12.5,Pacuta,8,2 week,Ambient,ATAC,Ambient,11621.52439088109,14.0512509747094,140.82195343896203,1.7602744179870253,0.1514667404018217,0.12527528126537005
1718,0.03393312848638934,40,Mcapitata,11,1 week,Ambient,ATHC,High,12360.477144591076,30.1647329822644,74.27961825670626,2.9711847302682504,0.24037783456995718,0.09849862526597476
1232,0.056555274372608835,24,Mcapitata,4,Day 1,High,HTAC,Ambient,17981.563268128437,27.3322325349491,123.79949560164074,2.9711878944393777,0.16523523845703023,0.10870637408196304
1439,0.09331626143771551,19,Pacuta,5,1 week,High,HTHC,High,24983.37248311173,47.3387246359706,204.26929628715925,3.8811166294560255,0.1553479872294897,0.08198608347185883
1288,0.07316841275780128,17,Pacuta,4,6 week,High,HTAC,Ambient,16572.356302433443,25.3902022124612,160.165655526827,2.7228161439560594,0.16429867269727044,0.10723885226167024
1088,0.056908745402081025,17.5,Pacuta,1,6 week,Ambient,ATAC,Ambient,14931.590592171457,18.0740280712914,124.57324368515536,2.180031764490219,0.14600130850314078,0.12061681855816961
1655,0.05938304260838628,18,Pacuta,5,Day 2,High,HTHC,High,14932.294737921866,23.6584839295054,129.98948026975756,2.339810644855636,0.15669464646404832,0.09889943294031485
1156,0.04595114348844344,12.5,Pacuta,3,2 week,Ambient,ATHC,High,9324.12692227507,13.5948291016823,100.58705309620268,1.2573381637025336,0.13484781730059778,0.09248650014636399
1570,0.08589336981879975,30,Pacuta,8,Day 2,Ambient,ATAC,Ambient,34197.80823637209,45.929186498681,188.02058653335266,5.640617596000579,0.16494090957564156,0.1228111801231787
1621,0.04347684628213819,17,Pacuta,5,2 week,High,HTHC,High,10370.208549461358,15.375769351337,95.17081651160049,1.6179038806972086,0.15601459440092405,0.10522425536752239
1710,0.05302056407788704,49,Pacuta,9,1 week,High,HTAC,Ambient,37143.77381583499,60.5212622628124,116.06201476649474,5.687038723558243,0.1531088023461355,0.09396761585808287
1752,0.06291775290310808,12.5,Pacuta,6,6 week,Ambient,ATAC,Ambient,11298.237920747906,20.1413506726495,137.72696110490358,1.7215870138112948,0.15237659411029036,0.08547525147601374
2666,0.06327122393258026,37,Pacuta,11,2 week,Ambient,ATHC,High,33951.7884749852,47.8130454059792,138.5007091884182,5.124526239971473,0.150935384265459,0.10717841117333705
2063,0.07210799966938475,34.5,Pacuta,9,1 week,High,HTAC,Ambient,33651.11933113202,32.5855587990062,157.8444112762832,5.445632189031771,0.16182618282161557,0.16711796236552043
