PLUG.ID,Species,Tank,Temperature,CO2,Treatment,Analysis,Date,Date.Format,TimePoint,Mass.g,Temp.C
1049,Mcapitata,Tank1,Ambient,Ambient,ATAC,Phys,20181227,12/27/18,Time7_Fin,3.416,24.4
1055,Mcapitata,Tank1,Ambient,Ambient,ATAC,Phys,20181227,12/27/18,Time7_Fin,2.259,24.41
1063,Mcapitata,Tank1,Ambient,Ambient,ATAC,Phys,20181227,12/27/18,Time7_Fin,2.17,24.42
1064,Mcapitata,Tank1,Ambient,Ambient,ATAC,Phys,20181227,12/27/18,Time7_Fin,3.113,24.39
1081,Mcapitata,Tank1,Ambient,Ambient,ATAC,Phys,20181227,12/27/18,Time7_Fin,2.816,24.39
1102,Mcapitata,Tank1,Ambient,Ambient,ATAC,Phys,20181227,12/27/18,Time7_Fin,1.784,24.4
1106,Mcapitata,Tank1,Ambient,Ambient,ATAC,Phys,20181227,12/27/18,Time7_Fin,2.381,24.39
1120,Mcapitata,Tank1,Ambient,Ambient,ATAC,Phys,20181227,12/27/18,Time7_Fin,3.343,24.41
1433,Mcapitata,Tank6,Ambient,Ambient,ATAC,Phys,20181227,12/27/18,Time7_Fin,2.109,24.58
1452,Mcapitata,Tank6,Ambient,Ambient,ATAC,Phys,20181227,12/27/18,Time7_Fin,4.648,24.58
1460,Mcapitata,Tank6,Ambient,Ambient,ATAC,Phys,20181227,12/27/18,Time7_Fin,2.337,24.54
1532,Mcapitata,Tank6,Ambient,Ambient,ATAC,Phys,20181227,12/27/18,Time7_Fin,3.88,24.57
1540,Mcapitata,Tank6,Ambient,Ambient,ATAC,Phys,20181227,12/27/18,Time7_Fin,2.694,24.54
1543,Mcapitata,Tank8,Ambient,Ambient,ATAC,Phys,20181227,12/27/18,Time7_Fin,4.166,24.6
1546,Mcapitata,Tank8,Ambient,Ambient,ATAC,Phys,20181227,12/27/18,Time7_Fin,2.878,24.6
1616,Mcapitata,Tank6,Ambient,Ambient,ATAC,Phys,20181227,12/27/18,Time7_Fin,2.677,24.54
1649,Mcapitata,Tank8,Ambient,Ambient,ATAC,Phys,20181227,12/27/18,Time7_Fin,1.795,24.64
1680,Mcapitata,Tank8,Ambient,Ambient,ATAC,Phys,20181227,12/27/18,Time7_Fin,3.419,24.6
2301,Mcapitata,Tank6,Ambient,Ambient,ATAC,Phys,20181227,12/27/18,Time7_Fin,6.027,24.57
2403,Mcapitata,Tank8,Ambient,Ambient,ATAC,Phys,20181227,12/27/18,Time7_Fin,4.49,24.64
1154,Mcapitata,Tank3,Ambient,High,ATHC,Phys,20181227,12/27/18,Time7_Fin,2.426,24.72
1155,Mcapitata,Tank3,Ambient,High,ATHC,Phys,20181227,12/27/18,Time7_Fin,3.06,24.7
1183,Mcapitata,Tank3,Ambient,High,ATHC,Phys,20181227,12/27/18,Time7_Fin,4.359,24.7
1186,Mcapitata,Tank3,Ambient,High,ATHC,Phys,20181227,12/27/18,Time7_Fin,3.226,24.74
1259,Mcapitata,Tank3,Ambient,High,ATHC,Phys,20181227,12/27/18,Time7_Fin,3.896,24.69
1704,Mcapitata,Tank11,Ambient,High,ATHC,Phys,20181227,12/27/18,Time7_Fin,2.495,24.48
1720,Mcapitata,Tank12,Ambient,High,ATHC,Phys,20181227,12/27/18,Time7_Fin,3.825,24.45
1747,Mcapitata,Tank12,Ambient,High,ATHC,Phys,20181227,12/27/18,Time7_Fin,1.926,24.44
2066,Mcapitata,Tank11,Ambient,High,ATHC,Phys,20181227,12/27/18,Time7_Fin,4.453,24.48
2086,Mcapitata,Tank11,Ambient,High,ATHC,Phys,20181227,12/27/18,Time7_Fin,NA,NA
2152,Mcapitata,Tank11,Ambient,High,ATHC,Phys,20181227,12/27/18,Time7_Fin,6.205,24.49
2155,Mcapitata,Tank11,Ambient,High,ATHC,Phys,20181227,12/27/18,Time7_Fin,4.047,24.48
2556,Mcapitata,Tank12,Ambient,High,ATHC,Phys,20181227,12/27/18,Time7_Fin,NA,NA
2736,Mcapitata,Tank11,Ambient,High,ATHC,Phys,20181227,12/27/18,Time7_Fin,3.773,24.5
2755,Mcapitata,Tank12,Ambient,High,ATHC,Phys,20181227,12/27/18,Time7_Fin,3.984,24.45
2852,Mcapitata,Tank11,Ambient,High,ATHC,Phys,20181227,12/27/18,Time7_Fin,1.624,24.49
2854,Mcapitata,Tank11,Ambient,High,ATHC,Phys,20181227,12/27/18,Time7_Fin,2.31,24.5
2856,Mcapitata,Tank12,Ambient,High,ATHC,Phys,20181227,12/27/18,Time7_Fin,3.096,24.46
2857,Mcapitata,Tank12,Ambient,High,ATHC,Phys,20181227,12/27/18,Time7_Fin,2.825,24.42
2872,Mcapitata,Tank12,Ambient,High,ATHC,Phys,20181227,12/27/18,Time7_Fin,1.894,24.47
2978,Mcapitata,Tank12,Ambient,High,ATHC,Phys,20181227,12/27/18,Time7_Fin,2.41,24.45
2990,Mcapitata,Tank12,Ambient,High,ATHC,Phys,20181227,12/27/18,Time7_Fin,6.115,24.44
2994,Mcapitata,Tank11,Ambient,High,ATHC,Phys,20181227,12/27/18,Time7_Fin,3.075,24.49
3002,Mcapitata,Tank12,Ambient,High,ATHC,Phys,20181227,12/27/18,Time7_Fin,3.069,24.45
