PLUG.ID,Species,Tank,Temperature,CO2,Treatment,Analysis,Date,Date.Format,TimePoint,Mass.g,Temp.C
1038,Mcapitata,Tank1,Ambient,Ambient,ATAC,Phys,20181004,10/4/18,Time2_Init,3.103,28
1049,Mcapitata,Tank1,Ambient,Ambient,ATAC,Phys,20181004,10/4/18,Time2_Init,3.155,28.01
1052,Mcapitata,Tank1,Ambient,Ambient,ATAC,Phys,20181004,10/4/18,Time2_Init,4.239,28.03
1053,Mcapitata,Tank1,Ambient,Ambient,ATAC,Phys,20181004,10/4/18,Time2_Init,1.967,27.98
1055,Mcapitata,Tank1,Ambient,Ambient,ATAC,Phys,20181004,10/4/18,Time2_Init,2.053,28.02
1057,Mcapitata,Tank1,Ambient,Ambient,ATAC,Phys,20181004,10/4/18,Time2_Init,3.452,27.99
1063,Mcapitata,Tank1,Ambient,Ambient,ATAC,Phys,20181004,10/4/18,Time2_Init,1.825,28.03
1064,Mcapitata,Tank1,Ambient,Ambient,ATAC,Phys,20181004,10/4/18,Time2_Init,2.419,28.03
1065,Mcapitata,Tank1,Ambient,Ambient,ATAC,Phys,20181004,10/4/18,Time2_Init,2.59,28.02
1076,Mcapitata,Tank1,Ambient,Ambient,ATAC,Phys,20181004,10/4/18,Time2_Init,3.443,27.99
1081,Mcapitata,Tank1,Ambient,Ambient,ATAC,Phys,20181004,10/4/18,Time2_Init,2.36,27.99
1102,Mcapitata,Tank1,Ambient,Ambient,ATAC,Phys,20181004,10/4/18,Time2_Init,1.591,28.03
1105,Mcapitata,Tank1,Ambient,Ambient,ATAC,Phys,20181004,10/4/18,Time2_Init,2.036,27.99
1106,Mcapitata,Tank1,Ambient,Ambient,ATAC,Phys,20181004,10/4/18,Time2_Init,1.591,28.03
1115,Mcapitata,Tank1,Ambient,Ambient,ATAC,Phys,20181004,10/4/18,Time2_Init,2.038,27.98
1119,Mcapitata,Tank1,Ambient,Ambient,ATAC,Phys,20181004,10/4/18,Time2_Init,2.626,28
1120,Mcapitata,Tank1,Ambient,Ambient,ATAC,Phys,20181004,10/4/18,Time2_Init,2.871,28
1123,Mcapitata,Tank1,Ambient,Ambient,ATAC,Phys,20181004,10/4/18,Time2_Init,2.686,28
1166,Mcapitata,Tank1,Ambient,Ambient,ATAC,Phys,20181004,10/4/18,Time2_Init,1.74,27.99
1210,Mcapitata,Tank1,Ambient,Ambient,ATAC,Phys,20181004,10/4/18,Time2_Init,2.154,27.99
1424,Mcapitata,Tank6,Ambient,Ambient,ATAC,Phys,20181004,10/4/18,Time2_Init,3.751,28.05
1433,Mcapitata,Tank6,Ambient,Ambient,ATAC,Phys,20181004,10/4/18,Time2_Init,1.669,28.07
1438,Mcapitata,Tank6,Ambient,Ambient,ATAC,Phys,20181004,10/4/18,Time2_Init,2.257,28.07
1443,Mcapitata,Tank6,Ambient,Ambient,ATAC,Phys,20181004,10/4/18,Time2_Init,2.215,28.06
1444,Mcapitata,Tank6,Ambient,Ambient,ATAC,Phys,20181004,10/4/18,Time2_Init,3.795,28.06
1448,Mcapitata,Tank6,Ambient,Ambient,ATAC,Phys,20181004,10/4/18,Time2_Init,4.162,28.07
