"","Date.x","Timepoint","Date.Num","Species.x","Treatment","Plug.ID","Tank.x","Light.or.Dark.x","Vol.ml","Surface.Area","umol.L.sec","umol.sec","Group","Date.y","Species.y","Tank.y","Light.or.Dark.y","Blank.umol.sec","umol.sec.corr","Pnet_umol.cm2.hr"
"13",20180922,"Day1","9/22/18","Montipora","ATAC","1066",1,"Photo",588,29.4129793,0.0256316923076923,0.0150714350769231,"20180922_1_Photo",20180922,"Blank",1,"Photo",-7.62957587485974e-05,0.0151477308356717,1.8540056908964
"15",20180922,"Day1","9/22/18","Montipora","ATHC","1146",3,"Photo",593,34.5857605,0.0212004496235401,0.0125718666267593,"20180922_3_Photo",20180922,"Blank",3,"Photo",3.79724742658776e-05,0.0125338941524934,1.30464151421439
"17",20180922,"Day1","9/22/18","Montipora","HTHC","1163",2,"Photo",599,18.5841466,0.00998863065226091,0.00598318976070429,"20180922_2_Photo",20180922,"Blank",2,"Photo",-0.000157180741621251,0.00614037050232554,1.18947263407683
"19",20180922,"Day1","9/22/18","Montipora","ATHC","1175",3,"Photo",595,13.1249831,0.00928197627323719,0.00552277588257613,"20180922_3_Photo",20180922,"Blank",3,"Photo",3.79724742658776e-05,0.00548480340831025,1.50440515766583
"21",20180922,"Day1","9/22/18","Montipora","HTAC","1232",4,"Photo",590,27.33223,0.012611359079517,0.00744070185691503,"20180922_4_Photo",20180922,"Blank",4,"Photo",-0.000204037103777699,0.00764473896069273,1.00690870296693
"23",20180922,"Day1","9/22/18","Montipora","ATAC","1305",1,"Photo",596,27.5380699,0.0137216668204702,0.00817811342500024,"20180922_1_Photo",20180922,"Blank",1,"Photo",-7.62957587485974e-05,0.00825440918374884,1.07908336239265
"25",20180922,"Day1","9/22/18","Montipora","HTHC","1426",2,"Photo",592,32.1201875,0.0166853459972863,0.00987772483039349,"20180922_2_Photo",20180922,"Blank",2,"Photo",-0.000157180741621251,0.0100349055720147,1.12470265185261
"27",20180922,"Day1","9/22/18","Montipora","ATAC","1549",8,"Photo",598,21.14836,0.013416334841629,0.00802296823529414,"20180922_8_Photo",20180922,"Blank",8,"Photo",5.22958644621343e-05,0.00797067237083201,1.35681540010645
"29",20180922,"Day1","9/22/18","Montipora","HTAC","1585",7,"Photo",586,10.6996825,0.0122131092436976,0.00715688201680679,"20180922_7_Photo",20180922,"Blank",7,"Photo",8.44438358081776e-05,0.00707243818099862,2.37958252047152
"31",20180922,"Day1","9/22/18","Montipora","HTAC","1640",7,"Photo",596,17.6578787,0.0083242568402946,0.00496125707681558,"20180922_7_Photo",20180922,"Blank",7,"Photo",8.44438358081776e-05,0.0048768132410074,0.994260293997073
